source,target,support_weighted,support_unweighted
L24H6,Residual Output: <tool_call>,1.0,1.0
MLP27,Residual Output: <tool_call>,1.0,1.0
L23H6,L24H6,1.0,1.0
L23H6,Residual Output: <tool_call>,1.0,1.0
L21H12,L23H6,1.0,1.0
MLP19,L21H1,1.0,1.0
L24H6,MLP27,1.0,1.0
L21H12,L24H6,1.0,1.0
MLP19,L21H12,1.0,1.0
L10H4,L11H1,0.5049453946012775,0.5
MLP12,MLP17,0.5049453946012775,0.5
L23H6,MLP27,0.5049453946012775,0.5
L17H8,MLP19,0.5049453946012775,0.5
L6H13,L11H1,0.5049453946012775,0.5
MLP17,L18H14,0.5049453946012775,0.5
MLP16,L17H8,0.5049453946012775,0.5
Input Embed,L6H13,0.5049453946012775,0.5
L11H1,MLP16,0.5049453946012775,0.5
MLP19,MLP20,0.5049453946012775,0.5
MLP12,MLP16,0.5049453946012775,0.5
MLP19,L23H6,0.5049453946012775,0.5
L10H4,MLP12,0.5049453946012775,0.5
MLP12,L17H8,0.5049453946012775,0.5
Input Embed,L6H3,0.5049453946012775,0.5
MLP16,MLP19,0.5049453946012775,0.5
L6H13,L10H4,0.5049453946012775,0.5
L6H3,L10H4,0.5049453946012775,0.5
L11H1,MLP12,0.5049453946012775,0.5
MLP20,L21H1,0.5049453946012775,0.5
MLP16,MLP20,0.5049453946012775,0.5
MLP20,L21H12,0.5049453946012775,0.5
MLP16,MLP17,0.5049453946012775,0.5
L21H1,MLP27,0.5049453946012775,0.5
L18H14,MLP19,0.5049453946012775,0.5
MLP16,L18H14,0.5049453946012775,0.5
MLP11,L17H12,0.4950546053987225,0.5
L0H4,MLP5,0.4950546053987225,0.5
MLP5,MLP11,0.4950546053987225,0.5
Input Embed,L0H4,0.4950546053987225,0.5
L21H1,MLP22,0.4950546053987225,0.5
L4H15,L11H8,0.4950546053987225,0.5
L13H9,L17H12,0.4950546053987225,0.5
L21H1,L23H6,0.4950546053987225,0.5
MLP19,L20H5,0.4950546053987225,0.5
L21H12,MLP27,0.4950546053987225,0.5
L0H4,L4H15,0.4950546053987225,0.5
MLP22,MLP27,0.4950546053987225,0.5
L4H15,MLP11,0.4950546053987225,0.5
MLP21,MLP27,0.4950546053987225,0.5
L17H12,L20H5,0.4950546053987225,0.5
L17H12,MLP19,0.4950546053987225,0.5
Input Embed,L4H15,0.4950546053987225,0.5
L20H5,L21H1,0.4950546053987225,0.5
L21H12,MLP22,0.4950546053987225,0.5
MLP11,L13H9,0.4950546053987225,0.5
L20H5,L21H12,0.4950546053987225,0.5
L11H8,L13H9,0.4950546053987225,0.5
MLP5,L11H8,0.4950546053987225,0.5
L20H5,MLP21,0.4950546053987225,0.5
MLP19,MLP21,0.4950546053987225,0.5
MLP11,MLP19,0.4950546053987225,0.5
L4H15,MLP5,0.4950546053987225,0.5
