node,layer,support_weighted,support_unweighted,median_score_norm,mean_score_norm
MLP19,19,1.0,1.0,0.4327543424317618,0.4327543424317618
MLP27,27,1.0,1.0,0.5415632754342432,0.5415632754342432
L21H12,21,1.0,1.0,0.5515377101472234,0.5515377101472234
L23H6,23,1.0,1.0,0.4102427167868792,0.4102427167868792
L24H6,24,1.0,1.0,0.37577853569617636,0.37577853569617636
L21H1,21,1.0,1.0,0.423666253101737,0.423666253101737
MLP20,20,0.5049453946012775,0.5,0.22580645161290322,0.22580645161290322
L10H4,10,0.5049453946012775,0.5,0.051587700843811035,0.051587700843811035
L11H1,11,0.5049453946012775,0.5,0.1015373045398343,0.1015373045398343
MLP12,12,0.5049453946012775,0.5,0.24193548387096775,0.24193548387096775
L17H8,17,0.5049453946012775,0.5,0.20851815131402784,0.20851815131402784
L6H13,6,0.5049453946012775,0.5,0.04078250931155297,0.04078250931155297
L6H3,6,0.5049453946012775,0.5,0.035092261529737906,0.035092261529737906
MLP17,17,0.5049453946012775,0.5,0.27419354838709675,0.27419354838709675
MLP16,16,0.5049453946012775,0.5,0.43548387096774194,0.43548387096774194
L18H14,18,0.5049453946012775,0.5,0.23578628416984312,0.23578628416984312
L13H9,13,0.4950546053987225,0.5,0.1621634556696965,0.1621634556696965
MLP5,5,0.4950546053987225,0.5,0.09230769230769231,0.09230769230769231
L17H12,17,0.4950546053987225,0.5,0.30269229595477765,0.30269229595477765
L20H5,20,0.4950546053987225,0.5,0.27658653259277344,0.27658653259277344
L11H8,11,0.4950546053987225,0.5,0.11602164048414965,0.11602164048414965
L0H4,0,0.4950546053987225,0.5,0.08884622133695162,0.08884622133695162
MLP22,22,0.4950546053987225,0.5,0.27692307692307694,0.27692307692307694
MLP11,11,0.4950546053987225,0.5,0.26153846153846155,0.26153846153846155
MLP21,21,0.4950546053987225,0.5,0.3153846153846154,0.3153846153846154
L4H15,4,0.4950546053987225,0.5,0.09732272074772762,0.09732272074772762
