sample_id,sample_rank,q_index,node,node_type,gap,full_ratio,top1_ratio,top3_ratio,contrast_ratio,tool_call_tags_ratio,tools_block_ratio,user_block_ratio,attn_contrast_clean,attn_tool_call_tags_clean,attn_tools_block_clean,attn_user_block_clean,attn_recent_32_clean,attn_prefix_16_clean,attn_contrast_corrupt,attn_tool_call_tags_corrupt,attn_tools_block_corrupt,attn_user_block_corrupt,attn_recent_32_corrupt,attn_prefix_16_corrupt,top1_pos,top1_token,top1_category,target_logit_delta,distractor_logit_delta,top_positive_tokens
codecontests_cpp_186,456,,L6H3,head,7.5,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.00029773401911370456,8.298664033645764e-05,0.011667964980006218,0.012190040200948715,0.04425607621669769,0.9193925857543945,0.00028688021120615304,8.357460319530219e-05,0.010834421031177044,0.01237765233963728,0.046495117247104645,0.9178751707077026,0,<|im_start|>,other,0.25,-0.125,_cursor | 习 |  reputed |  prepared | 	     
codecontests_cpp_186,456,,L6H13,head,7.5,-0.18333333333333332,-0.18333333333333332,-0.18333333333333332,-0.18333333333333332,-0.18333333333333332,-0.18333333333333332,-0.18333333333333332,0.0012533168774098158,0.0030278312042355537,0.09093254059553146,0.07339832186698914,0.028653351590037346,0.5127750635147095,0.0005646540084853768,0.0032188475597649813,0.09456333518028259,0.0741807371377945,0.0310418289154768,0.4868799149990082,0,<|im_start|>,other,-0.5,0.875,hed | ewe | Gab | ober | izu
codecontests_cpp_186,456,,L10H4,head,7.5,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0014632754027843475,0.0007638673996552825,0.04904772713780403,0.19101496040821075,0.19495870172977448,0.5488121509552002,0.0027856396045535803,0.0007981595117598772,0.047290198504924774,0.20644444227218628,0.19909611344337463,0.5384653806686401,0,<|im_start|>,other,0.5,-0.5," ""{\"" |  ""{"" | .redirect | (),"" |  �"
codecontests_cpp_186,456,,L11H1,head,7.5,0.26666666666666666,0.25,0.25,0.2833333333333333,0.25,0.25,0.2,0.01432185247540474,0.001333446241915226,0.02003219723701477,0.15139442682266235,0.42757290601730347,0.24226835370063782,0.03719986602663994,0.0011356465984135866,0.0169233251363039,0.2965806722640991,0.3621056079864502,0.200247660279274,0,<|im_start|>,other,0.75,-1.25,.extra |  []\n\n\n |  '</ |  {}\n\n\n | .opts
codecontests_cpp_186,456,,L17H8,head,7.5,0.18333333333333332,0.0,0.1,-0.016666666666666666,0.016666666666666666,0.1,0.0,0.006713257171213627,0.017580807209014893,0.24785101413726807,0.2089516967535019,0.15254715085029602,0.21668562293052673,0.02021118439733982,0.010216250084340572,0.2225012332201004,0.23870784044265747,0.12065103650093079,0.2983418405056,0,<|im_start|>,other,0.625,-0.75,<tool_call> | 扺 |  either |  τ |  �
codecontests_cpp_186,456,,L18H14,head,7.5,0.23333333333333334,0.15,0.2,0.1,0.06666666666666667,0.05,0.05,0.0004128635046072304,0.00024315944756381214,0.0020912515465170145,0.024778515100479126,0.5580731630325317,0.20943190157413483,0.00021871856006328017,0.0002450629253871739,0.0027035470120608807,0.029485132545232773,0.515242338180542,0.28226879239082336,234,\n\n,other,0.875,-0.875,<tool_call> |  either |  τ | .major |  carried
codecontests_cpp_186,456,,L21H1,head,7.5,0.23333333333333334,-0.06666666666666667,0.2,-0.05,0.0,-0.05,-0.06666666666666667,0.016931409016251564,0.030714867636561394,0.12297782301902771,0.2509652078151703,0.14078617095947266,0.43391773104667664,0.03820391744375229,0.012819579802453518,0.07942050695419312,0.24491006135940552,0.11464148759841919,0.5785712003707886,0,<|im_start|>,other,0.875,-0.875, τ | τ | <tool_call> | 扺 | 闪电
codecontests_cpp_186,456,,L21H12,head,7.5,0.31666666666666665,0.2833333333333333,0.2833333333333333,-0.05,-0.016666666666666666,-0.03333333333333333,-0.05,0.0014499049866572022,0.01915862411260605,0.2894868552684784,0.09483599662780762,0.06882217526435852,0.09501762688159943,0.01665371097624302,0.010919613763689995,0.2689734101295471,0.18739010393619537,0.14392119646072388,0.15202397108078003,112,\n,other,1.125,-1.25, τ | 扺 | <tool_call> |  � | 闪电
codecontests_cpp_186,456,,L23H6,head,7.5,0.26666666666666666,0.2833333333333333,0.3,-0.016666666666666666,-0.016666666666666666,-0.03333333333333333,-0.03333333333333333,0.0005050910403952003,0.002943960251286626,0.01934250444173813,0.055397700518369675,0.07472874224185944,0.33810338377952576,0.00034979835618287325,0.0029926851857453585,0.02234809286892414,0.07436782121658325,0.11025330424308777,0.4150693416595459,236,\n\n,other,1.0,-1.0,<tool_call> | 变得 | MouseClicked | .Cursors | .Panel
codecontests_cpp_186,456,,L24H6,head,7.5,0.2833333333333333,0.31666666666666665,0.35,-0.016666666666666666,0.3333333333333333,0.0,-0.05,0.0012991145486012101,0.9194982647895813,0.010345990769565105,0.02640707790851593,0.011029562912881374,0.029612617567181587,0.0035165157169103622,0.6499766707420349,0.02869461476802826,0.07642912864685059,0.036269210278987885,0.20399893820285797,106,<tool_call>,tool_call_tags,0.5,-1.625,旗下 | 有任何 |  Mag | 间 | 委组织部
