node,layer,support_weighted,support_unweighted,median_score_norm,mean_score_norm
L23H6,23,1.0,1.0,0.38253799656188814,0.38253799656188814
MLP27,27,1.0,1.0,0.5415632754342432,0.5415632754342432
MLP19,19,1.0,1.0,0.4327543424317618,0.4327543424317618
L21H1,21,1.0,1.0,0.40694788466612103,0.40694788466612103
L21H12,21,1.0,1.0,0.5324992603462919,0.5324992603462919
L24H6,24,1.0,1.0,0.36752170936641265,0.36752170936641265
L13H9,13,1.0,1.0,0.09898098177708704,0.09898098177708704
L11H1,11,0.5154240913490081,0.5,0.11040826766721663,0.11040826766721663
L4H11,4,0.5154240913490081,0.5,0.03831905318844703,0.03831905318844703
MLP17,17,0.5154240913490081,0.5,0.27419354838709675,0.27419354838709675
L1H5,1,0.5154240913490081,0.5,0.03548312187194824,0.03548312187194824
L18H14,18,0.5154240913490081,0.5,0.24465725498814736,0.24465725498814736
MLP16,16,0.5154240913490081,0.5,0.43548387096774194,0.43548387096774194
MLP12,12,0.5154240913490081,0.5,0.24193548387096775,0.24193548387096775
MLP20,20,0.5154240913490081,0.5,0.22580645161290322,0.22580645161290322
L17H8,17,0.5154240913490081,0.5,0.20851815131402784,0.20851815131402784
MLP5,5,0.4845759086509918,0.5,0.09230769230769231,0.09230769230769231
MLP21,21,0.4845759086509918,0.5,0.3153846153846154,0.3153846153846154
L1H10,1,0.4845759086509918,0.5,0.0597175488105187,0.0597175488105187
MLP22,22,0.4845759086509918,0.5,0.27692307692307694,0.27692307692307694
L0H11,0,0.4845759086509918,0.5,0.06342287797194261,0.06342287797194261
L20H5,20,0.4845759086509918,0.5,0.20466346740722657,0.20466346740722657
L10H2,10,0.4845759086509918,0.5,0.07088341346153847,0.07088341346153847
L17H12,17,0.4845759086509918,0.5,0.23923077216515173,0.23923077216515173
MLP11,11,0.4845759086509918,0.5,0.26153846153846155,0.26153846153846155
