node,role,full_ratio_median,target_logit_delta_median
L1H5,Format Router / Weak Writer,0.005059523809523809,0.25
L4H11,Query Reader / Target Booster,0.20535714285714285,1.125
L11H1,Schema Reader / Weak Writer,0.16458333333333333,0.6875
MLP12,Support Suppressor MLP,0.2788690476190476,1.3125
L13H9,Query Reader / Target Booster,0.15982142857142856,0.9375
MLP16,Primary Writer MLP,0.3633928571428572,1.5625
MLP17,Support Suppressor MLP,0.28214285714285714,1.5
L17H8,Format Router / Target Booster,0.15416666666666667,0.8125
L18H14,Instruction Gate / Target Booster,0.16130952380952382,0.9375
MLP19,Primary Writer MLP,0.41875,2.375
MLP20,Support Writer MLP,0.18928571428571428,1.3125
L21H1,Instruction Gate / Target+Suppressor,0.3086309523809524,1.9375
L21H12,Format Router / Target+Suppressor,0.3949404761904762,2.375
L23H6,Format Router / Target+Suppressor,0.3029761904761905,1.8125
L24H6,Tool-Tag Reader / Target+Suppressor,0.32916666666666666,1.375
MLP27,Primary Writer MLP,0.5413690476190476,2.5
