sample_id,sample_rank,q_index,group,n_nodes,suff_ratio,nec_ratio,suff_minus_ratio,nec_minus_ratio,delta_full_suff_drop,delta_full_nec_drop,gap
codecontests_cpp_186,456,,full_core,16,0.95,1.0,nan,nan,0.0,0.0,7.5
codecontests_cpp_186,456,,tool_tag_reader,1,0.2833333333333333,0.15,0.95,1.0,0.0,0.0,7.5
codecontests_cpp_186,456,,query_reader,2,0.0,0.016666666666666666,0.95,0.9833333333333333,0.0,0.01666666666666672,7.5
codecontests_cpp_186,456,,format_router,4,0.6166666666666667,0.36666666666666664,0.9333333333333333,0.9333333333333333,0.016666666666666607,0.06666666666666665,7.5
codecontests_cpp_186,456,,primary_writer_mlp,3,0.8333333333333334,0.8166666666666667,0.9333333333333333,1.0,0.016666666666666607,0.0,7.5
codecontests_cpp_186,456,,support_mlp,3,0.5833333333333334,0.48333333333333334,0.9833333333333333,1.0333333333333334,-0.033333333333333326,-0.03333333333333344,7.5
codecontests_cpp_186,456,,all_heads,10,0.8,0.8166666666666667,0.8666666666666667,0.8666666666666667,0.08333333333333326,0.1333333333333333,7.5
codecontests_cpp_186,456,,all_mlps,6,0.8666666666666667,0.8666666666666667,0.8,0.8166666666666667,0.1499999999999999,0.18333333333333335,7.5
codecontests_cpp_284,621,,full_core,16,1.0089285714285714,1.0267857142857142,nan,nan,0.0,0.0,14.0
codecontests_cpp_284,621,,tool_tag_reader,1,0.4017857142857143,0.14285714285714285,1.0089285714285714,1.0089285714285714,0.0,0.017857142857142794,14.0
codecontests_cpp_284,621,,query_reader,2,0.08035714285714286,0.026785714285714284,1.0178571428571428,1.0178571428571428,-0.008928571428571397,0.008928571428571397,14.0
codecontests_cpp_284,621,,format_router,4,0.6607142857142857,0.21428571428571427,0.9910714285714286,0.9464285714285714,0.017857142857142794,0.0803571428571428,14.0
codecontests_cpp_284,621,,primary_writer_mlp,3,0.8392857142857143,0.6696428571428571,0.8928571428571429,0.8035714285714286,0.11607142857142849,0.2232142857142856,14.0
codecontests_cpp_284,621,,support_mlp,3,0.5,0.24107142857142858,0.9642857142857143,0.9464285714285714,0.044642857142857095,0.0803571428571428,14.0
codecontests_cpp_284,621,,all_heads,10,0.8125,0.5714285714285714,0.9553571428571429,0.8214285714285714,0.05357142857142849,0.2053571428571428,14.0
codecontests_cpp_284,621,,all_mlps,6,0.9553571428571429,0.8214285714285714,0.8125,0.5714285714285714,0.1964285714285714,0.4553571428571428,14.0
