sample_id,sample_rank,q_index,filename,status,clean_obj,corrupt_obj,gap,detailed_ratio_vs_gap,necessity_ratio_vs_gap,rough_ratio_vs_gap,rough_necessity_ratio_vs_gap,probe_head,target_token_str,distractor_token_str,ap_mode,error
apps_python_1,1,,apps_python_1.txt,ok,3.0,-3.625,6.625,1.0188679245283019,1.0,0.9622641509433962,0.9433962264150944,L23H6,<tool_call>,I,full,
codecontests_cpp_1,2,,codecontests_cpp_1.txt,ok,6.5,-5.0,11.5,0.8913043478260869,0.8695652173913043,0.8804347826086957,0.8043478260869565,L21H1,<tool_call>,I,full,
codecontests_java_1,3,,codecontests_java_1.txt,ok,6.875,-12.125,19.0,0.9736842105263158,0.9868421052631579,0.9210526315789473,0.9046052631578947,L21H12,<tool_call>,I,full,
mbpp_python_1,4,,mbpp_python_1.txt,ok,2.25,-3.625,5.875,1.0,0.9787234042553191,1.0,1.0,L21H1,<tool_call>,I,full,
codecontests_java_2,5,,codecontests_java_2.txt,ok,4.875,-7.75,12.625,0.9702970297029703,0.900990099009901,0.9405940594059405,0.8217821782178217,L21H1,<tool_call>,I,full,
codecontests_cpp_3,6,,codecontests_cpp_3.txt,ok,3.25,-2.625,5.875,1.0,0.9574468085106383,0.9361702127659575,0.9574468085106383,L21H1,<tool_call>,I,full,
codecontests_java_3,7,,codecontests_java_3.txt,ok,6.125,-9.5,15.625,0.976,0.944,0.952,0.864,L21H12,<tool_call>,I,full,
apps_python_4,8,,apps_python_4.txt,ok,4.625,-5.0,9.625,1.025974025974026,1.0389610389610389,0.935064935064935,0.7662337662337663,L21H1,<tool_call>,I,full,
codecontests_cpp_4,9,,codecontests_cpp_4.txt,ok,1.25,-6.875,8.125,0.9692307692307692,0.9846153846153847,0.9384615384615385,0.9384615384615385,L21H12,<tool_call>,I,full,
codecontests_java_4,10,,codecontests_java_4.txt,ok,6.5,-12.25,18.75,0.9666666666666667,0.9433333333333334,0.9466666666666667,0.9066666666666666,L21H12,<tool_call>,I,full,
mbpp_python_4,11,,mbpp_python_4.txt,ok,1.75,-5.375,7.125,1.1228070175438596,1.105263157894737,1.0175438596491229,0.9649122807017544,L21H1,<tool_call>,I,full,
apps_python_5,12,,apps_python_5.txt,ok,1.125,-5.875,7.0,1.0178571428571428,1.0178571428571428,0.9107142857142857,0.8571428571428571,L16H8,<tool_call>,I,full,
codecontests_cpp_5,13,,codecontests_cpp_5.txt,ok,3.625,-3.75,7.375,0.9830508474576272,1.0,0.8983050847457628,0.864406779661017,L21H1,<tool_call>,I,full,
codecontests_java_5,14,,codecontests_java_5.txt,ok,3.5,-9.3125,12.8125,1.1365853658536584,1.1804878048780487,1.0585365853658537,0.9951219512195122,L21H12,<tool_call>,I,full,
codecontests_cpp_6,15,,codecontests_cpp_6.txt,ok,4.0,-3.25,7.25,1.0,1.0344827586206897,1.0,1.0344827586206897,L21H12,<tool_call>,I,full,
codecontests_java_6,16,,codecontests_java_6.txt,ok,2.75,-10.6875,13.4375,1.0,0.986046511627907,0.9534883720930233,0.9209302325581395,L21H12,<tool_call>,I,full,
codecontests_java_7,17,,codecontests_java_7.txt,ok,3.625,-5.875,9.5,0.9605263157894737,0.9868421052631579,0.9473684210526315,0.9078947368421053,L21H12,<tool_call>,I,full,
apps_python_8,18,,apps_python_8.txt,ok,2.5,-3.5,6.0,1.0,1.0625,0.9166666666666666,0.9375,L21H12,<tool_call>,I,full,
apps_python_9,19,,apps_python_9.txt,ok,3.25,-4.25,7.5,1.0166666666666666,1.0166666666666666,0.9333333333333333,0.8833333333333333,L21H1,<tool_call>,I,full,
codecontests_cpp_9,20,,codecontests_cpp_9.txt,ok,4.125,-2.75,6.875,1.0363636363636364,1.1090909090909091,0.9818181818181818,1.018181818181818,L21H12,<tool_call>,I,full,
codecontests_java_9,21,,codecontests_java_9.txt,ok,5.0,-7.375,12.375,0.9292929292929293,0.9191919191919192,0.8787878787878788,0.8585858585858586,L21H12,<tool_call>,I,full,
apps_python_10,22,,apps_python_10.txt,ok,3.0,-3.125,6.125,1.0816326530612246,1.1020408163265305,1.0,0.9795918367346939,L21H1,<tool_call>,I,full,
codecontests_cpp_11,23,,codecontests_cpp_11.txt,ok,3.5,-2.375,5.875,0.9787234042553191,0.9361702127659575,0.851063829787234,0.8297872340425532,L21H12,<tool_call>,I,full,
codecontests_java_11,24,,codecontests_java_11.txt,ok,3.375,-6.875,10.25,0.9634146341463414,0.926829268292683,0.8902439024390244,0.8048780487804879,L21H12,<tool_call>,I,full,
humaneval_python_11,25,,humaneval_python_11.txt,ok,2.25,-3.5,5.75,0.9347826086956522,0.9130434782608695,0.9347826086956522,0.9130434782608695,L21H1,<tool_call>,I,full,
mbpp_python_11,26,,mbpp_python_11.txt,ok,1.875,-3.875,5.75,1.0,1.065217391304348,0.8913043478260869,0.9347826086956522,L21H1,<tool_call>,I,full,
codecontests_cpp_12,27,,codecontests_cpp_12.txt,ok,3.0,-2.625,5.625,0.9111111111111111,0.9777777777777777,0.9111111111111111,0.8888888888888888,L21H12,<tool_call>,I,full,
codecontests_java_12,28,,codecontests_java_12.txt,ok,6.0,-9.5625,15.5625,0.9919678714859438,0.9879518072289156,0.9518072289156626,0.8995983935742972,L21H12,<tool_call>,I,full,
apps_python_13,29,,apps_python_13.txt,ok,3.625,-3.25,6.875,1.0,1.0,0.8363636363636363,0.8545454545454545,L21H1,<tool_call>,I,full,
codecontests_java_13,30,,codecontests_java_13.txt,ok,4.375,-7.75,12.125,1.092783505154639,1.1237113402061856,1.0309278350515463,1.0515463917525774,L21H12,<tool_call>,I,full,
apps_python_14,31,,apps_python_14.txt,ok,3.5,-4.875,8.375,1.044776119402985,1.0895522388059702,0.8955223880597015,0.8805970149253731,L21H1,<tool_call>,I,full,
