head,layer,role_prior,clean_user_lead_phrase_to_user_lead_phrase,corrupt_user_lead_phrase_to_user_lead_phrase,delta_user_lead_phrase_to_user_lead_phrase,clean_user_lead_phrase_to_function_body_anchor,corrupt_user_lead_phrase_to_function_body_anchor,delta_user_lead_phrase_to_function_body_anchor,clean_user_lead_phrase_to_file_target,corrupt_user_lead_phrase_to_file_target,delta_user_lead_phrase_to_file_target,clean_user_lead_phrase_to_instruction_suffix,corrupt_user_lead_phrase_to_instruction_suffix,delta_user_lead_phrase_to_instruction_suffix,clean_user_lead_phrase_to_task_body,corrupt_user_lead_phrase_to_task_body,delta_user_lead_phrase_to_task_body,clean_function_body_anchor_to_user_lead_phrase,corrupt_function_body_anchor_to_user_lead_phrase,delta_function_body_anchor_to_user_lead_phrase,clean_function_body_anchor_to_function_body_anchor,corrupt_function_body_anchor_to_function_body_anchor,delta_function_body_anchor_to_function_body_anchor,clean_function_body_anchor_to_file_target,corrupt_function_body_anchor_to_file_target,delta_function_body_anchor_to_file_target,clean_function_body_anchor_to_instruction_suffix,corrupt_function_body_anchor_to_instruction_suffix,delta_function_body_anchor_to_instruction_suffix,clean_function_body_anchor_to_task_body,corrupt_function_body_anchor_to_task_body,delta_function_body_anchor_to_task_body,clean_file_target_to_user_lead_phrase,corrupt_file_target_to_user_lead_phrase,delta_file_target_to_user_lead_phrase,clean_file_target_to_function_body_anchor,corrupt_file_target_to_function_body_anchor,delta_file_target_to_function_body_anchor,clean_file_target_to_file_target,corrupt_file_target_to_file_target,delta_file_target_to_file_target,clean_file_target_to_instruction_suffix,corrupt_file_target_to_instruction_suffix,delta_file_target_to_instruction_suffix,clean_file_target_to_task_body,corrupt_file_target_to_task_body,delta_file_target_to_task_body,clean_instruction_suffix_to_user_lead_phrase,corrupt_instruction_suffix_to_user_lead_phrase,delta_instruction_suffix_to_user_lead_phrase,clean_instruction_suffix_to_function_body_anchor,corrupt_instruction_suffix_to_function_body_anchor,delta_instruction_suffix_to_function_body_anchor,clean_instruction_suffix_to_file_target,corrupt_instruction_suffix_to_file_target,delta_instruction_suffix_to_file_target,clean_instruction_suffix_to_instruction_suffix,corrupt_instruction_suffix_to_instruction_suffix,delta_instruction_suffix_to_instruction_suffix,clean_instruction_suffix_to_task_body,corrupt_instruction_suffix_to_task_body,delta_instruction_suffix_to_task_body,clean_task_body_to_user_lead_phrase,corrupt_task_body_to_user_lead_phrase,delta_task_body_to_user_lead_phrase,clean_task_body_to_function_body_anchor,corrupt_task_body_to_function_body_anchor,delta_task_body_to_function_body_anchor,clean_task_body_to_file_target,corrupt_task_body_to_file_target,delta_task_body_to_file_target,clean_task_body_to_instruction_suffix,corrupt_task_body_to_instruction_suffix,delta_task_body_to_instruction_suffix,clean_task_body_to_task_body,corrupt_task_body_to_task_body,delta_task_body_to_task_body,user_offdiag_clean,user_offdiag_corrupt,user_offdiag_delta,bind_to_lead_clean,bind_to_lead_corrupt,bind_file_to_function_clean,bind_file_to_function_corrupt,bind_suffix_to_function_clean,bind_suffix_to_function_corrupt,decision_clean_system_preamble,decision_corrupt_system_preamble,decision_delta_system_preamble,decision_clean_tools_block,decision_corrupt_tools_block,decision_delta_tools_block,decision_clean_tool_instruction,decision_corrupt_tool_instruction,decision_delta_tool_instruction,decision_clean_tool_call_example,decision_corrupt_tool_call_example,decision_delta_tool_call_example,decision_clean_user_lead_phrase,decision_corrupt_user_lead_phrase,decision_delta_user_lead_phrase,decision_clean_function_body_anchor,decision_corrupt_function_body_anchor,decision_delta_function_body_anchor,decision_clean_file_target,decision_corrupt_file_target,decision_delta_file_target,decision_clean_instruction_suffix,decision_corrupt_instruction_suffix,decision_delta_instruction_suffix,decision_clean_task_body,decision_corrupt_task_body,decision_delta_task_body,decision_clean_assistant_prefix,decision_corrupt_assistant_prefix,decision_delta_assistant_prefix,decision_user_clean,decision_user_corrupt,decision_user_delta,decision_protocol_clean,integration_score
L1H0,1,,0.16251585707955418,0.2386241202760795,-0.0761082631965253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3906100198635172,0.44042047914485344,-0.04981045928133626,0.08503850804085862,0.06966533523126485,0.015373172809593771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04412701319520222,0.056179243150739376,-0.012052229955537154,0.14235056546905037,0.14142244057805559,0.0009281248909947803,0.07152482302822649,0.07482745866621136,-0.0033026356379848715,0.0,0.0,0.0,0.0,0.0,0.0,0.12723919908049908,0.12110873151021068,0.0061304675702884,0.04879533651779199,0.04528126317648591,0.00351407334130608,0.01415151857709324,0.015164214871070942,-0.001012696293977702,0.05276510936968487,0.054268096051201586,-0.0015029866815167159,0.0,0.0,0.0,0.0029855412443906162,0.004139260311300556,-0.00115371906690994,0.003357070076855875,0.0032559273695263852,0.00010114270732948993,0.0043551099005168245,0.00432595644556159,2.9153454955234588e-05,0.0025091877479066164,0.002490474540430892,1.8713207475724164e-05,0.011624853767462195,0.011615224553485218,9.629213976977344e-06,0.7804805616728242,0.8337879910982353,-0.05330742942541111,0.5649617733836091,0.621847714117104,0.14235056546905037,0.14142244057805559,0.04879533651779199,0.04528126317648591,0.000117787969100055,0.00011801532248352005,-2.273533834650513e-07,2.9868758934842447e-05,2.998109252631291e-05,-1.1233359147046174e-07,0.0001373992046081377,0.0001381550464260881,-7.558418179504057e-07,0.00011626528488700709,0.00011684329407104894,-5.780091840418533e-07,0.00015523281026076337,0.00020076155811109077,-4.55287478503274e-05,0.00013002093921363165,0.00013624483389586677,-6.223894682235115e-06,5.459799469941693e-05,5.4431768553492265e-05,1.66226145924664e-07,7.918312084363884e-05,7.918257480087176e-05,5.460427670732262e-10,0.00019252234312148835,0.0001925086255646573,1.3717556831052951e-08,0.10800523073796472,0.10799026148313706,1.4969254827662537e-05,0.0006115572081389392,0.0006631293609259789,-5.1572152787039693e-05,0.10840655195549477,1.318646475671629
L1H11,1,,0.1710467748581913,0.19957706683534918,-0.028530291977157868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2780114974519379,0.2905395275001327,-0.012528030048194805,0.03714110622610832,0.03440317163313117,0.002737934592977151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14216129369298203,0.13037752355346144,0.011783770139520588,0.06349481921967522,0.06185798036122779,0.0016368388584474258,0.017896651163801083,0.01730495779131486,0.0005916933724862232,0.0,0.0,0.0,0.0,0.0,0.0,0.16540386187697953,0.16960782597531562,-0.004203964098336094,0.03842776035186894,0.035188490967293304,0.003239269384575638,0.015602199691180119,0.015762974793669032,-0.00016077510248891334,0.010674966427818823,0.011052133284539469,-0.0003771668567206458,0.0,0.0,0.0,0.010114186584276692,0.009854816644924123,0.00025936993935256857,0.002752167508319782,0.002522963597834041,0.00022920391048574093,0.001286531015154992,0.0012803589293234857,6.172085831506434e-06,0.0012099074840553226,0.0012141882524280467,-4.280768372724123e-06,0.010651248802904701,0.010663268016002267,-1.20192130975659e-05,0.7184642248764305,0.7182066505756095,0.0002575743008209619,0.5956908396061761,0.6003796936738338,0.06349481921967522,0.06185798036122779,0.03842776035186894,0.035188490967293304,0.000823550681400307,0.0008279868399660275,-4.436158565720473e-06,0.0004940583722102894,0.0004978392491010034,-3.7808768907140067e-06,0.0003971180660436098,0.0003994054759787147,-2.287409935104918e-06,0.0009137497008164304,0.0009187597175309668,-5.010016714536393e-06,0.0014947541392115312,0.0018680241979037756,-0.0003732700586922444,0.0010669780684398494,0.001044199031401764,2.2779037038085388e-05,0.0005217076540238438,0.0005166851121401706,5.022541883673167e-06,0.0004028800901876305,0.000406327662966275,-3.4475727786444565e-06,0.0017592501792105934,0.0017686599802210143,-9.409801010420906e-06,0.0853746312299395,0.08520809118825245,0.0001665400416870494,0.005245570131073449,0.0056038959846329995,-0.0003583258535595508,0.08800310805041014,1.2947770725355408
L16H1,16,strong_mid_binder,0.12963898666852028,0.15381002907709376,-0.024171042408573484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16365744902143356,0.1740625250941785,-0.010405076072744934,0.027479820620294543,0.04057457231733684,-0.013094751697042297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18620520902194004,0.16679848428776664,0.019406724734173403,0.07065430068887951,0.10353927622558971,-0.0328849755367102,0.024421841689276226,0.026981354959343715,-0.0025595132700674886,0.0,0.0,0.0,0.0,0.0,0.0,0.06515866672700221,0.05727728799149896,0.00788137873550325,0.0571825964534255,0.07948214787682659,-0.022299551423401086,0.037893026542571845,0.036115922806103054,0.0017771037364687908,0.0327491129929163,0.03256731847156181,0.0001817945213544933,0.0,0.0,0.0,0.00529090153521498,0.008916699651287463,-0.0036257981160724836,0.0027500660272675344,0.003059109419149711,-0.0003090433918821766,0.0065870294548191445,0.006667834006760455,-8.080455194131066e-05,0.003488300786865821,0.00286985459148237,0.0006184461953834511,0.010420947567950263,0.010268183845840611,0.0001527637221096518,0.5988675462594202,0.6387891419506435,-0.03992159569122333,0.4203122263055908,0.4070549970247316,0.07065430068887951,0.10353927622558971,0.0571825964534255,0.07948214787682659,0.01141861700707058,0.011639875475572515,-0.00022125846850193538,0.0005699574320188223,0.00048317826043992355,8.67791715788987e-05,0.0004136860581647208,0.00034227113072449693,7.141492744022385e-05,0.0005797654491133715,0.0004924553259950278,8.73101231183437e-05,0.0017329173769129052,0.0012774612912203754,0.0004554560856925298,0.001624335162216526,0.0016883535582363188,-6.40183960197928e-05,0.009401515270767217,0.009006309042723674,0.00039520622804354276,0.0011606463267314858,0.0008759599152629823,0.0002846864114685035,0.00084495891096214,0.0008370225152837597,7.936395678380306e-06,0.049670613906265135,0.05024262929268173,-0.0005720153864165953,0.014764373047590273,0.013685106322727111,0.0010792667248631614,0.06265263985263263,1.0108987991256477
L2H1,2,,0.052448823269235965,0.06416914282143808,-0.011720319552202117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2651443841773043,0.26112007270118226,0.004024311476122033,0.05077666608653487,0.05689131274914561,-0.006114646662610745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06416602555173476,0.07063414915989431,-0.006468123608159557,0.15852546303356704,0.15779709449940027,0.0007283685341667734,0.04830512215364963,0.05022301938510246,-0.0019178972314528309,0.0,0.0,0.0,0.0,0.0,0.0,0.03983269736136155,0.04491485916424227,-0.005082161802880715,0.030651745983506538,0.031943606704897515,-0.001291860721390977,0.037926572767647715,0.037348252612963304,0.0005783201546844113,0.06264253349219742,0.06180623913147031,0.0008362943607271092,0.0,0.0,0.0,0.0014303429834251254,0.002187150250261749,-0.0007568072668366235,0.0018253813560391722,0.0019429791846494304,-0.0001175978286102582,0.0017768930766567086,0.0017525198975276164,2.437317912909226e-05,0.0023678875080462326,0.0023202628508950046,4.762465715122798e-05,0.012210757609264239,0.01219940887121581,1.134873804842923e-05,0.6036473937992891,0.6119609470259137,-0.008313553226624637,0.37057345007382575,0.3788562312755806,0.15852546303356704,0.15779709449940027,0.030651745983506538,0.031943606704897515,0.0004984155787768477,0.0004982876992246577,1.2787955219002636e-07,0.00024338617980993043,0.00024482927882219646,-1.4430990122660302e-06,0.00037862105513019673,0.00037968656846573473,-1.0655133355379947e-06,0.0005989475202611209,0.0006003340746758238,-1.386554414702871e-06,0.0010634736341932052,0.0016799035885578823,-0.0006164299543646771,0.0014713730268046783,0.001537932783632153,-6.655975682747471e-05,0.0010072732829332538,0.001005712825737306,1.5604571959478269e-06,0.001318030800745866,0.0013273570543201822,-9.326253574316098e-06,0.001799110325725866,0.0018058657386002448,-6.755412874378782e-06,0.0873232368297624,0.08714957062358364,0.0001736662061787575,0.006659261070402869,0.007356771990847768,-0.0006975109204448993,0.08904260716374049,0.955289822617381
L2H0,2,,0.07461332720698968,0.10560523356666894,-0.030991906359679258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29245197234738024,0.30099629666158684,-0.008544324314206597,0.055098568315376524,0.05742233413791892,-0.0023237658225423938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024021393208441072,0.039523038445808574,-0.015501645237367502,0.16854024377330254,0.16306748717123346,0.005472756602069084,0.03661083620967523,0.03506813752362191,0.0015426986860533204,0.0,0.0,0.0,0.0,0.0,0.0,0.04445585983066574,0.040784415350869976,0.0036714444797957616,0.024376075487674738,0.02588318268856105,-0.0015071072008863116,0.019055410831816208,0.019435321606596136,-0.0003799107747799284,0.07391174475507731,0.0728790112830586,0.0010327334720187098,0.0,0.0,0.0,0.0016460397565571329,0.002367111265840648,-0.0007210715092835151,0.0017648758263944819,0.0018219150450098482,-5.703921861536631e-05,0.0022115769273353767,0.0021283691277095788,8.320779962579794e-05,0.0014388130821380116,0.0014083580622740487,3.0455019863962884e-05,0.012166611411642287,0.012154932646026767,1.1678765615519976e-05,0.5799622610717055,0.59741549542549,-0.01745323435378454,0.36257526514304417,0.383670861724106,0.16854024377330254,0.16306748717123346,0.024376075487674738,0.02588318268856105,8.397430790359824e-05,8.553176142621672e-05,-1.5574535226184794e-06,5.627697500681379e-05,5.739003312435303e-05,-1.113058117539238e-06,0.0001088060153780492,0.0001108853024250981,-2.0792870470488957e-06,0.00018933124480336266,0.0001925855506413218,-3.254305837959131e-06,0.00039546391256986053,0.0007167675867226699,-0.00032130367415280937,0.0004186682289243386,0.00044207424215529645,-2.3406013230957846e-05,0.0002990632606919722,0.0002982857087049519,7.775519870203106e-07,0.00031314949995541353,0.0003132016155097272,-5.211555431368191e-08,0.0007298902728317389,0.0007380732606684586,-8.182987836719675e-06,0.10278215201768448,0.10263399322464214,0.0001481587930423356,0.002156235174973324,0.0025084024137611042,-0.00035216723878778037,0.1032205405607763,0.9178105086620422
L0H10,0,,0.10947840768329012,0.10818974112142116,0.0012886665618689619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20626373599855605,0.1963353919365057,0.009928344062050343,0.0475108764079182,0.04861582475352024,-0.0011049483456020415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10111318408478047,0.09771727718646518,0.0033959068983152874,0.07951006639865632,0.0809552174074517,-0.0014451510087953728,0.07370797147959228,0.07419996342592539,-0.0004919919463331063,0.0,0.0,0.0,0.0,0.0,0.0,0.036061640603318554,0.034487511327708706,0.001574129275609848,0.027201720364132202,0.027287964276432923,-8.624391230072082e-05,0.11650844781067866,0.11690928768388209,-0.0004008398732034263,0.04425782196734287,0.044487992552531996,-0.00023017058518912809,0.0,0.0,0.0,0.003171807834136264,0.003667281057188584,-0.0004954732230523199,0.002400442577635385,0.002398782914092561,1.6596635428237604e-06,0.004116335936603498,0.004113272523994771,3.063412608727764e-06,0.006137362728652552,0.006135462113314294,1.9006153382577703e-06,0.01151982843189021,0.011511214383586843,8.614048303367053e-06,0.58248474433715,0.5700074484270365,0.012477295910113484,0.34661036852079136,0.3322074615078682,0.07951006639865632,0.0809552174074517,0.027201720364132202,0.027287964276432923,6.147743489964552e-05,6.14786286447158e-05,-1.1937450702822995e-09,1.7905558785803492e-05,1.790493499417938e-05,6.237916241117185e-10,0.00015779053553448714,0.00015778702876851237,3.5067659747713663e-09,0.00018215851971012351,0.00018215842772598427,9.198413924538067e-11,0.00027979035300891277,0.000271563129513646,8.227223495266755e-06,0.0001380441166853758,0.00013804857078277488,-4.454097399068935e-09,0.00019783720108270826,0.00019783877352246417,-1.5724397559046827e-09,0.000283741178993188,0.0002837419952335213,-8.162403332986727e-10,0.002975390727808061,0.002975386661519572,4.066288488650122e-09,0.08435895891035891,0.08435966981776084,-7.109074019323591e-07,0.0038748035775782457,0.0038665791305719788,8.224447006266889e-06,0.08477829095928897,0.9098379419069083
L5H7,5,,0.09290317165082305,0.11511190794381279,-0.022208736292989736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36519480478472827,0.29653932031300284,0.06865548447172543,0.05458693273265983,0.0794792944969962,-0.024892361764336367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01942301634996567,0.012727559316453375,0.006695457033512294,0.05788041180720105,0.06966474739689722,-0.011784335589696174,0.023417743416686957,0.02555764269118352,-0.0021398992744965616,0.0,0.0,0.0,0.0,0.0,0.0,0.020842303561953164,0.018661563184640167,0.0021807403773129973,0.01960245048698648,0.019831273912448915,-0.00022882342546243564,0.01152650076213415,0.011056890453208719,0.0004696103089254309,0.04869215766294631,0.0498367045485738,-0.0011445468856274912,0.0,0.0,0.0,0.0021558800942016254,0.0013577966686600764,0.000798083425541549,0.0018377179866664775,0.0020132277305016204,-0.0001755097438351429,0.0014758797450130103,0.0014789127615609278,-3.033016547917492e-06,0.0007014837755949283,0.0007786367323448877,-7.715295674995946e-05,0.005914338150277461,0.0059114746951133565,2.8634551641048417e-06,0.5006404493544448,0.4341099284697188,0.06653052088472605,0.40761600479084875,0.3292862394827565,0.05788041180720105,0.06966474739689722,0.01960245048698648,0.019831273912448915,0.02622455156772775,0.02616049048602235,6.406108170540006e-05,1.8012875077921613e-05,1.863015652159333e-05,-6.172814436717172e-07,0.0001822325480019293,0.00018167894303477815,5.53604967151142e-07,5.79988745384632e-05,5.833762721964962e-05,-3.387526811864165e-07,0.00031672814964444913,0.00044050821041861373,-0.0001237800607741646,0.00024965900758323444,0.0003743096390668897,-0.00012465063148365526,0.00014233423690224824,0.00015420938118511387,-1.1875144282865634e-05,9.338083730841004e-05,0.00010852878702245719,-1.5147949714047147e-05,4.973291616414923e-05,4.9180747451145825e-05,5.521687130034041e-07,0.0076995204369408815,0.007863991818381051,-0.00016447138144016962,0.0008518351476024911,0.0011267367651442205,-0.00027490161754172937,0.03418231630228694,0.9001367926435231
L2H5,2,,0.21340553454284608,0.21106555555167236,0.002339978991173719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36160963259715234,0.34025082531256406,0.021358807284588277,0.050474116252032165,0.05754989746559961,-0.007075781213567445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013018312296937203,0.012347294172622548,0.0006710181243146547,0.0199909053838073,0.020773032451920324,-0.0007821270681130227,0.07470469424689273,0.0788875665519988,-0.0041828723051060696,0.0,0.0,0.0,0.0,0.0,0.0,0.03581800071428488,0.02533354277697659,0.010484457937308286,0.019572906255609552,0.020289641045656975,-0.0007167347900474234,0.02770327960987955,0.031091798448439744,-0.0033885188385601936,0.04169828401884966,0.04213323062296598,-0.000434946604116318,0.0,0.0,0.0,0.001677825212532451,0.0013852550608401254,0.0002925701516923256,0.0023420674116707662,0.0024303424546768745,-8.82750430061083e-05,0.0014783315326135312,0.0014761142246709092,2.2173079426220273e-06,0.0030826387396779963,0.003093928524588303,-1.128978491030672e-05,0.008520151888297245,0.00851600345994295,4.148428354295436e-06,0.4862938997541656,0.4584717744729564,0.027822125281209198,0.4121237708209069,0.3793169173230033,0.0199909053838073,0.020773032451920324,0.019572906255609552,0.020289641045656975,0.002941408678921725,0.00296343647554175,-2.2027796620025138e-05,0.0011936618338253037,0.0012080378220097512,-1.437598818444753e-05,0.0021154783496040415,0.0021319855612991477,-1.650721169510613e-05,0.004296925047068542,0.0043357778608968806,-3.885281382833873e-05,0.00012656693344295988,7.650245732511774e-05,5.006447611784215e-05,0.00020237133176029119,0.0001733883637581773,2.8982968002113892e-05,6.616333428525198e-05,6.0995899163733793e-05,5.167435121518189e-06,0.00019897478366519853,0.00019641494005337104,2.5598436118274897e-06,0.0031873306122816164,0.0031928249874663877,-5.494375184771257e-06,0.04864545504191542,0.0483180249497104,0.000327430092205018,0.0037814069954353177,0.0037001266477667875,8.128034766853023e-05,0.05919292895133503,0.8855101418349565
L13H10,13,,0.12217319257012228,0.10301372781179577,0.019159464758326514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25043224236137224,0.22981881602958243,0.020613426331789808,0.041274474197122483,0.042289254480581316,-0.0010147802834588326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056379721117066385,0.04724244392178433,0.009137277195282054,0.13859010817922227,0.14733990935152277,-0.008749801172300509,0.08633052743538677,0.08242828398726612,0.0039022434481206514,0.0,0.0,0.0,0.0,0.0,0.0,0.04514041916184932,0.045122354056926293,1.8065104923026265e-05,0.022945185809025194,0.025612717528982167,-0.0026675317199569733,0.020238867762382817,0.02300499323604068,-0.002766125473657864,0.04054375466621296,0.03904323747141436,0.0015005171947986007,0.0,0.0,0.0,0.002283542031896437,0.003065872652858818,-0.0007823306209623813,0.0016764433468935652,0.002002758984220064,-0.00032631563732649863,0.0029821755888406187,0.0030922202886115766,-0.00011004469977095787,0.0028128150707415252,0.0026283272001289292,0.000184487870612596,0.009178189229778297,0.009045311650418126,0.00013287757936017094,0.5434815204292902,0.528930413250658,0.014551107178632172,0.3542359246721844,0.3252494866611519,0.13859010817922227,0.14733990935152277,0.022945185809025194,0.025612717528982167,0.006737608300861616,0.006631140958173817,0.00010646734268779899,1.7638732135730838e-05,1.799804125181765e-05,-3.593091160868104e-07,0.00022759306205239992,0.00021908741293033034,8.505649122069587e-06,0.00012051822429472304,0.00012166732195952721,-1.1490976648041669e-06,6.975955413073722e-05,5.945343574978185e-05,1.0306118380955374e-05,0.00021346264494894905,0.00022432285533688202,-1.0860210387932974e-05,8.869314699688369e-05,0.0001158807797576868,-2.7187632760803114e-05,0.0003127108407387,0.0003393788212293672,-2.6667980490667194e-05,3.332478242690435e-05,3.557033255964958e-05,-2.245550132745229e-06,0.08322341847866255,0.08359507411614528,-0.0003716556374827318,0.0007179509692421743,0.0007746062246333675,-5.6655255391193184e-05,0.09032677679800702,0.875494726386594
L14H4,14,,0.09755987121045381,0.07869293206911122,0.01886693914134259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20401135105185392,0.17653316074633987,0.027478190305514044,0.03501793930932239,0.03460936572480596,0.00040857358451643067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10356778904155295,0.084076156960876,0.019491632080676946,0.06958947250236618,0.07109682940803339,-0.0015073569056672093,0.0429474989149144,0.04056125456244446,0.0023862443524699448,0.0,0.0,0.0,0.0,0.0,0.0,0.060827510583925125,0.056419672899848144,0.00440783768407698,0.01862405127284315,0.018089624054721285,0.0005344272181218648,0.03510917812957927,0.03409424076304619,0.0010149373665330821,0.039129823763204716,0.036135930348399695,0.002993893414805021,0.0,0.0,0.0,0.004616699599970292,0.004874977237208553,-0.00025827763723826076,0.0019425409748657031,0.002215040400791935,-0.00027249942592623183,0.00608380064454782,0.005787430632763199,0.0002963700117846208,0.003779136654247533,0.0035748726316634674,0.0002042640225840657,0.010032479433855528,0.009941629754189017,9.084967966651106e-05,0.5081515304557519,0.4567620057352921,0.05138952472045982,0.37302335027730227,0.32190396784427255,0.06958947250236618,0.07109682940803339,0.01862405127284315,0.018089624054721285,0.024029030521918394,0.024109698711969087,-8.066819005069295e-05,7.902270416497115e-06,6.976854980128508e-06,9.254154363686069e-07,6.914033357418182e-05,5.915729792162571e-05,9.983035652556105e-06,3.2397533821571076e-05,2.6202473241234185e-05,6.19506058033689e-06,1.9537180690602478e-05,1.986769895464436e-05,-3.3051826404188305e-07,7.231187439711004e-05,7.500126495170777e-05,-2.689390554597737e-06,0.0008155752974058692,0.0007386537484315458,7.692154897432333e-05,0.000224016331498064,0.0002152383375931361,8.77799390492791e-06,0.00017921346814875843,0.00017338800052542978,5.825467623328642e-06,0.015453768161782058,0.015257291682929873,0.00019647647885218458,0.001310654152140404,0.0012221490504564637,8.850510168394035e-05,0.0395922388215127,0.8719321481037462
