variant,rank,token,count,attn_median
develop_answer,1, answer,179,0.08658953011035919
develop_answer,1, below,22,0.09134863317012787
develop_answer,1, how,2,0.09484096616506577
develop_answer,1, query,1,0.07604939490556717
develop_answer,1, the,1518,0.09128891304135323
develop_answer,2, answer,1273,0.06786031275987625
develop_answer,2, below,46,0.0765780434012413
develop_answer,2, how,4,0.0707770362496376
develop_answer,2, query,201,0.06811867654323578
develop_answer,2, the,197,0.08044888824224472
develop_answer,2,What,1,0.07701066136360168
develop_answer,3, answer,268,0.06043999083340168
develop_answer,3, below,499,0.053751204162836075
develop_answer,3, how,6,0.05284440703690052
develop_answer,3, query,785,0.05299004167318344
develop_answer,3, the,7,0.08355045318603516
develop_answer,3,\n\n,156,0.04645218886435032
develop_answer,3,assistant,1,0.04507271945476532
develop_answer,4, answer,2,0.04732336662709713
develop_answer,4, below,190,0.04486942104995251
develop_answer,4, how,1,0.05041869729757309
develop_answer,4, minimize,1,0.0409887321293354
develop_answer,4, query,467,0.04462430626153946
develop_answer,4, rank,1,0.041581857949495316
develop_answer,4,\n\n,1042,0.04351910017430782
develop_answer,4,assistant,18,0.04230560548603535
develop_answer,5," """"""\n",1,0.03358009457588196
develop_answer,5, below,477,0.038084954023361206
develop_answer,5, call,1,0.03274122625589371
develop_answer,5, choices,1,0.03586438670754433
develop_answer,5, how,2,0.038871344178915024
develop_answer,5, query,219,0.04033276066184044
develop_answer,5,\n\n,500,0.039290616288781166
develop_answer,5,assistant,452,0.03760019689798355
develop_answer,5,"{""",69,0.03275125101208687
develop_file,1, how,2,0.10456373542547226
develop_file,1, the,1720,0.10364212840795517
develop_file,2, how,9,0.0656358152627945
develop_file,2, query,1295,0.06008206307888031
develop_file,2, the,2,0.08851088210940361
develop_file,2,What,1,0.07702979445457458
develop_file,2,\n\n,379,0.05287468433380127
develop_file,2,assistant,36,0.051152804866433144
develop_file,3, how,2,0.05156753771007061
develop_file,3, query,275,0.049183979630470276
develop_file,3, the,1,0.04489745944738388
develop_file,3,\n\n,1240,0.04841218329966068
develop_file,3,assistant,204,0.048879265785217285
develop_file,4," """"""\n",3,0.03694389387965202
develop_file,4, answer,1,0.04351785406470299
develop_file,4, call,2,0.03552616946399212
develop_file,4, choices,1,0.04184255003929138
develop_file,4, function,1,0.02898324653506279
develop_file,4, query,149,0.045909080654382706
develop_file,4, rank,1,0.038514625281095505
develop_file,4,Develop,7,0.0338301807641983
develop_file,4,\n\n,100,0.047388624399900436
develop_file,4,assistant,1424,0.04307773895561695
develop_file,4,"{""",33,0.03721519559621811
develop_file,5," """"""\n",4,0.026611996814608574
develop_file,5, ->,1,0.029634926468133926
develop_file,5, answer,1,0.04019097983837128
develop_file,5, assist,142,0.025948258116841316
develop_file,5, call,135,0.029353735968470573
develop_file,5, compute,2,0.028053484857082367
develop_file,5, decide,1,0.023224765434861183
develop_file,5, determine,3,0.024261442944407463
develop_file,5, find,1,0.022890212014317513
develop_file,5, function,101,0.02659974806010723
develop_file,5, how,12,0.03483249060809612
develop_file,5, minimize,2,0.03418766334652901
develop_file,5, query,2,0.044493770226836205
develop_file,5, return,1,0.023271840065717697
develop_file,5, the,2,0.02429677452892065
develop_file,5, to,8,0.02281020302325487
develop_file,5, treat,1,0.023876816034317017
develop_file,5, which,1,0.035203881561756134
develop_file,5,.cpp,6,0.022483425214886665
develop_file,5,<|im_start|>,1,0.020119983702898026
develop_file,5,Develop,164,0.029241640120744705
develop_file,5,\n\n,13,0.02208401821553707
develop_file,5,assistant,49,0.03529781103134155
develop_file,5,"{""",1069,0.028562653809785843
write_answer,1, answer,1,0.09952865540981293
write_answer,1, the,1721,0.13159656524658203
write_answer,2, answer,1482,0.062285903841257095
write_answer,2, how,6,0.06748399138450623
write_answer,2, query,230,0.062470266595482826
write_answer,2, the,1,0.08910917490720749
write_answer,2,What,1,0.06401126086711884
write_answer,2,\n\n,2,0.04787694662809372
write_answer,3, answer,232,0.05205587297677994
write_answer,3, below,204,0.04934072867035866
write_answer,3, how,5,0.047098372131586075
write_answer,3, query,790,0.04882756993174553
write_answer,3,Write,24,0.043467627838253975
write_answer,3,\n\n,467,0.04516967386007309
write_answer,4, answer,6,0.04302211292088032
write_answer,4, below,72,0.04004248417913914
write_answer,4, function,8,0.037613144144415855
write_answer,4, how,1,0.04381256550550461
write_answer,4, minimize,1,0.038071680814027786
write_answer,4, query,537,0.04114428907632828
write_answer,4, rank,1,0.03839077427983284
write_answer,4,Write,24,0.038542430847883224
write_answer,4,\n\n,1015,0.041191618889570236
write_answer,4,assistant,57,0.03900977596640587
write_answer,5," """"""\n",1,0.03445572406053543
write_answer,5, answer,1,0.03991927579045296
write_answer,5, below,162,0.034513868391513824
write_answer,5, call,1,0.03044944442808628
write_answer,5, choices,1,0.03515281155705452
write_answer,5, function,28,0.03612651117146015
write_answer,5, how,2,0.03652915358543396
write_answer,5, query,113,0.03709488734602928
write_answer,5,Write,50,0.03640361316502094
write_answer,5,\n\n,161,0.036737293004989624
write_answer,5,assistant,1108,0.034741099923849106
write_answer,5,"{""",94,0.03017221763730049
write_file,1, the,1722,0.14688903093338013
write_file,2, function,8,0.04555190168321133
write_file,2, how,10,0.06335267797112465
write_file,2, query,1088,0.05584161356091499
write_file,2,What,1,0.06776490062475204
write_file,2,Write,27,0.048878490924835205
write_file,2,\n\n,560,0.05033901892602444
write_file,2,assistant,28,0.047720152884721756
write_file,3, function,11,0.04194628819823265
write_file,3, how,1,0.04820568859577179
write_file,3, query,378,0.04699379578232765
write_file,3,Write,49,0.042303167283535004
write_file,3,\n\n,1053,0.04556967318058014
write_file,3,assistant,230,0.04526796378195286
write_file,4," """"""\n",1,0.0378064326941967
write_file,4, call,2,0.031861983239650726
write_file,4, choices,1,0.03941202536225319
write_file,4, function,40,0.03932246379554272
write_file,4, how,2,0.04389355890452862
write_file,4, query,235,0.04154839366674423
write_file,4,Write,60,0.039749808609485626
write_file,4,\n\n,93,0.041394174098968506
write_file,4,assistant,1272,0.040702935308218
write_file,4,"{""",16,0.034148842096328735
write_file,5," """"""\n",1,0.03179117664694786
write_file,5, answer,1,0.03700981289148331
write_file,5, assist,8,0.027720204554498196
write_file,5, call,85,0.028019264340400696
write_file,5, function,150,0.034789249300956726
write_file,5, how,7,0.0345069020986557
write_file,5, minimize,1,0.03411204740405083
write_file,5, query,21,0.03661639243364334
write_file,5, which,1,0.030820943415164948
write_file,5,Write,995,0.029495183378458023
write_file,5,\n\n,13,0.0380142442882061
write_file,5,assistant,118,0.03680727444589138
write_file,5,"{""",321,0.02940114587545395
