head,component,rescue_ratio_median,top1_rate
L16H8,k,0.0,0.0
L16H8,q,0.09489918446990545,0.0
L16H8,v,0.0,0.0
L16H8,z,0.2722222222222222,0.0011614401858304297
L17H2,k,0.0,0.0
L17H2,q,0.23361075107442525,0.0
L17H2,v,0.0,0.0
L17H2,z,0.2511243319552284,0.0005807200929152149
L17H8,k,0.0,0.0
L17H8,q,0.29224548202456746,0.0005807200929152149
L17H8,v,0.007722122838401908,0.0
L17H8,z,0.3184644524374378,0.0005807200929152149
L20H5,k,0.0,0.0
L20H5,q,0.15615337043908473,0.0
L20H5,v,0.0,0.0
L20H5,z,0.307643234704417,0.005226480836236934
L2H14,k,0.06553902302077486,0.0
L2H14,q,0.004210694277001631,0.0
L2H14,v,0.03766891891891892,0.0
L2H14,z,0.0415587219343696,0.0
