node,layer,group_key,group_label,group_description,semantic_hint,forward_support,reverse_support,shared_support_min,direction_balance
L2H14,2,tool_tail,Tool Tail,tool-mode auxiliary tail outside the shared backbone,tool-tail router,0.455107363246008,0.1709036900416964,0.1709036900416964,-0.45399146183078065
MLP11,11,tool_bias_backbone,Tool-Bias Backbone,shared backbone nodes tilted toward the tool-call endpoint,tool-biased writer MLP,0.4469276391211729,0.32927601133818,0.32927601133818,-0.15157314412701783
L12H6,12,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,shared router,0.3727083136558594,0.3035508175050789,0.3035508175050789,-0.1022647872156009
MLP12,12,no_tool_bias_backbone,No-Tool-Bias Backbone,shared backbone nodes tilted toward the no-tool endpoint,no-tool-biased writer MLP,0.3481757669717075,0.45443741429740736,0.3481757669717075,0.13239459531137518
L13H9,13,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,shared router,0.27564372367089973,0.26601601883202736,0.26601601883202736,-0.017774451530003357
L15H5,15,no_tool_tail,No-Tool Tail,no-tool auxiliary tail outside the shared backbone,no-tool-tail router,0.07998117941923368,0.16070730932870636,0.07998117941923368,0.3353967210040227
L16H13,16,no_tool_tail,No-Tool Tail,no-tool auxiliary tail outside the shared backbone,no-tool-tail router,0.04707102604025052,0.13964939080951086,0.04707102604025052,0.495812757550507
L16H4,16,no_tool_bias_backbone,No-Tool-Bias Backbone,shared backbone nodes tilted toward the no-tool endpoint,no-tool-biased router,0.2581080320140666,0.5322675282681447,0.2581080320140666,0.3468724363847824
L16H8,16,no_tool_bias_backbone,No-Tool-Bias Backbone,shared backbone nodes tilted toward the no-tool endpoint,no-tool-biased router,0.2630394455129606,0.7492286296617617,0.2630394455129606,0.4802968660894324
L16H9,16,no_tool_tail,No-Tool Tail,no-tool auxiliary tail outside the shared backbone,no-tool-tail router,0.09708910064183097,0.18135702202163628,0.09708910064183097,0.30263636129583443
MLP16,16,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,shared writer MLP,0.7160957724560063,0.759440742268803,0.7160957724560063,0.02937573511752815
L17H2,17,no_tool_tail,No-Tool Tail,no-tool auxiliary tail outside the shared backbone,no-tool-tail router,0.19705590484713945,0.37197293177982055,0.19705590484713945,0.3073957164799224
L17H8,17,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,shared router,0.5551724901266852,0.6087174523509185,0.5551724901266852,0.04600517649482443
MLP17,17,no_tool_bias_backbone,No-Tool-Bias Backbone,shared backbone nodes tilted toward the no-tool endpoint,no-tool-biased writer MLP,0.678076607713765,0.9115001540834454,0.678076607713765,0.1468463505378417
L18H14,18,tool_tail,Tool Tail,tool-mode auxiliary tail outside the shared backbone,format/prefix router,0.30527271257981964,0.1805124512993824,0.1805124512993824,-0.2568218845634833
MLP19,19,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,shared writer MLP,0.718278378271277,0.7542125871565921,0.718278378271277,0.024403687172962367
L20H5,20,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,user-content reader,0.4558638643431844,0.5068814014359447,0.4558638643431844,0.052991729906324656
L21H1,21,tool_bias_backbone,Tool-Bias Backbone,shared backbone nodes tilted toward the tool-call endpoint,format/prefix router,0.9501043184232267,0.5430383283073528,0.5430383283073528,-0.2726236445038894
L21H12,21,tool_bias_backbone,Tool-Bias Backbone,shared backbone nodes tilted toward the tool-call endpoint,format/prefix router,0.9959893489124966,0.8656692699725504,0.8656692699725504,-0.07000213552471571
MLP21,21,tool_tail,Tool Tail,tool-mode auxiliary tail outside the shared backbone,tool-tail writer MLP,0.3297281590486184,0.04151448490872642,0.04151448490872642,-0.7763485117647401
L23H5,23,tool_tail,Tool Tail,tool-mode auxiliary tail outside the shared backbone,format/prefix router,0.17059095297636406,0.007719299462789978,0.007719299462789978,-0.9134172112125286
L23H6,23,tool_bias_backbone,Tool-Bias Backbone,shared backbone nodes tilted toward the tool-call endpoint,tool-biased router,0.9961053634560207,0.9100045883997815,0.9100045883997815,-0.045170938314660666
L24H6,24,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,format/prefix router,0.9742125350016168,0.9948085722889137,0.9742125350016168,0.010460038854351405
MLP27,27,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,shared writer MLP,0.9993829715875546,0.9990772134151482,0.9990772134151482,-0.00015299687964811682
