head,family,span,attn_mass_median,attn_density_median,n_tokens_median
L16H4,no_tool,file_target,0.006475877715274692,0.003237938857637346,2.0
L16H4,no_tool,function_body_anchor,0.013548505492508411,0.006774252746254206,2.0
L16H4,no_tool,lead_phrase,0.014292360749095678,0.005697385175153613,2.0
L16H4,no_tool,tail_suffix,0.10625410825014114,0.009659464471042156,11.0
L16H4,no_tool,task_body,0.2858835458755493,0.0037508629029616714,75.0
L20H5,tool,file_target,0.10305687412619591,0.051528437063097954,2.0
L20H5,tool,function_body_anchor,0.08488594368100166,0.04244297184050083,2.0
L20H5,tool,lead_phrase,0.0004418875905685127,0.00015238405467243865,2.0
L20H5,tool,tail_suffix,0.06948871165513992,0.006317155668511987,11.0
L20H5,tool,task_body,0.08116066455841064,0.0010716432007029653,75.0
L21H1,tool,file_target,0.014574061147868633,0.007287030573934317,2.0
L21H1,tool,function_body_anchor,0.008853223640471697,0.004426611820235848,2.0
L21H1,tool,lead_phrase,0.008345040492713451,0.0034562948858365417,2.0
L21H1,tool,tail_suffix,0.021536847576498985,0.0019578952342271805,11.0
L21H1,tool,task_body,0.1771017238497734,0.0021915987599641085,75.0
L21H12,tool,file_target,0.00427798624150455,0.002138993120752275,2.0
L21H12,tool,function_body_anchor,0.0026654236717149615,0.0013327118358574808,2.0
L21H12,tool,lead_phrase,0.0012180410558357835,0.00048442784463986754,2.0
L21H12,tool,tail_suffix,0.057055242359638214,0.005186840193346143,11.0
L21H12,tool,task_body,0.0382380411028862,0.00045511357893701643,75.0
L23H6,no_tool,file_target,0.0010676594101823866,0.0005338297050911933,2.0
L23H6,no_tool,function_body_anchor,0.0005863478581886739,0.0002931739290943369,2.0
L23H6,no_tool,lead_phrase,0.0004253320657880977,0.00016797168791526929,2.0
L23H6,no_tool,tail_suffix,0.004071719944477081,0.00037015636917203665,11.0
L23H6,no_tool,task_body,0.035261793062090874,0.00047284197353292257,75.0
L24H6,tool,file_target,0.0032677935669198632,0.0016338967834599316,2.0
L24H6,tool,function_body_anchor,0.00029009785794187337,0.00014504892897093669,2.0
L24H6,tool,lead_phrase,0.001812529459130019,0.0006822016148362309,2.0
L24H6,tool,tail_suffix,0.0007469700067304075,6.790636689402163e-05,11.0
L24H6,tool,task_body,0.015125978272408247,0.00018200379417976364,75.0
