condition,span,mean_token_count
clean,system_preamble,35.0
clean,tools_block,54.0
clean,tool_instruction,22.0
clean,tool_call_example,23.0
clean,user_lead_phrase,1.802943581357318
clean,function_body_anchor,4.0
clean,file_target,2.0
clean,instruction_suffix,9.0
clean,task_body,80.46606704824202
clean,assistant_prefix,9.0
corrupt,system_preamble,35.0
corrupt,tools_block,54.0
corrupt,tool_instruction,22.0
corrupt,tool_call_example,23.0
corrupt,user_lead_phrase,1.802943581357318
corrupt,function_body_anchor,4.0
corrupt,file_target,2.0
corrupt,instruction_suffix,9.0
corrupt,task_body,80.46606704824202
corrupt,assistant_prefix,9.0
