split,span_group,head,n_samples,n_masked_tokens_median,mlp11_route_score_drop_median,mlp11_route_score_drop_mean,mlp11_route_score_drop_ci_lo,mlp11_route_score_drop_ci_hi,module_route_score_drop_median,route_margin_drop_median,masked_mlp11_positive_rate
train,system_preamble,L2H14,1223,35.0,-0.11067745017852099,-0.09922622869984828,-0.12377629517993594,-0.09716142455076023,0.028074945079084923,0.648681640625,0.919869174161897
train,system_preamble,L11H5,1223,35.0,-0.017014054919648247,-0.014765899210213594,-0.02664154485083592,-0.00914291879022175,-0.04132452447086177,0.4212646484375,0.902698282910875
train,tool_schema,L2H14,1223,99.0,-0.1625615060636485,-0.1637346229400727,-0.17250711616284597,-0.15316837495137858,-0.01624561394019275,1.01953125,0.9272281275551921
train,tool_schema,L11H5,1223,99.0,0.05691472483130522,0.05765390076466424,0.04712193595456515,0.06172349415038781,0.07036086387534812,0.21527099609375,0.8822567457072772
train,user_lead_phrase,L2H14,1223,1.0,0.04158973357652118,0.045634480054006075,0.03657493975329076,0.04951510504436046,0.022672254418629634,0.04696369171142578,0.8814390842191333
train,user_lead_phrase,L11H5,1223,1.0,0.04868727249389104,0.05254081550460226,0.04104486785380876,0.05474977810346138,0.02768899691868465,0.09532928466796875,0.8871627146361406
train,function_body_anchor,L2H14,1223,4.0,0.013887273408100365,0.00953358134267046,0.003535738885977874,0.019725241772871993,0.014408138587934882,0.03142738342285156,0.9043336058871627
train,function_body_anchor,L11H5,1223,4.0,0.04519110096201384,0.05102159313294731,0.03930280629551779,0.050537346659129796,0.01892833991646725,0.09490203857421875,0.8896156991005724
train,file_target,L2H14,1223,2.0,0.012895850360226335,0.013548201902795386,0.004735234143547373,0.01935739602520274,-0.008575343067790536,-0.0937269926071167,0.892886345053148
train,file_target,L11H5,1223,2.0,0.052192493463557144,0.05726135005699232,0.047361075841639295,0.05895761224808349,0.03458961367260449,-0.015604853630065918,0.883892068683565
train,instruction_suffix,L2H14,1223,9.0,0.04587651093953493,0.044930832416425495,0.03974489603987336,0.051198136297628594,0.028692037973283707,0.0969390869140625,0.8781684382665577
train,instruction_suffix,L11H5,1223,9.0,0.04473757896715447,0.040953082361223164,0.035103911945325805,0.052075962648615415,0.01577938346108443,0.32293701171875,0.8945216680294358
train,task_body,L2H14,1223,76.0,0.018838705724081417,0.01973953549961132,0.008865521092262818,0.02997322045894424,0.02305202805636375,0.37517642974853516,0.8798037612428454
train,task_body,L11H5,1223,76.0,-0.05889936228333936,-0.05957824015915469,-0.06917575558636002,-0.052278941847077265,-0.1145884826011514,-0.02978515625,0.9411283728536386
