sample_id,sample_rank,forward_node_count,reverse_node_count,shared_node_count,union_node_count,node_jaccard,forward_target,reverse_target
codecontests_cpp_1,1,16,16,10,22,0.45454545454545453,<tool_call>,I
codecontests_java_1,2,16,16,10,22,0.45454545454545453,<tool_call>,I
codecontests_java_2,3,16,16,10,22,0.45454545454545453,<tool_call>,I
codecontests_cpp_3,4,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_java_3,5,16,16,10,22,0.45454545454545453,<tool_call>,I
mbpp_python_4,6,16,14,10,20,0.5,<tool_call>,I
apps_python_5,7,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_java_6,8,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_java_7,9,16,16,12,20,0.6,<tool_call>,I
apps_python_8,10,16,16,11,21,0.5238095238095238,<tool_call>,I
apps_python_9,11,16,16,12,20,0.6,<tool_call>,I
codecontests_cpp_9,12,16,16,12,20,0.6,<tool_call>,I
codecontests_java_9,13,16,16,9,23,0.391304347826087,<tool_call>,I
apps_python_10,14,16,16,14,18,0.7777777777777778,<tool_call>,I
codecontests_java_11,15,16,16,10,22,0.45454545454545453,<tool_call>,I
humaneval_python_11,16,16,16,13,19,0.6842105263157895,<tool_call>,I
mbpp_python_11,17,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_cpp_12,18,16,16,12,20,0.6,<tool_call>,I
codecontests_java_13,19,16,16,9,23,0.391304347826087,<tool_call>,I
apps_python_14,20,16,14,10,20,0.5,<tool_call>,I
codecontests_cpp_14,21,16,16,13,19,0.6842105263157895,<tool_call>,The
codecontests_java_14,22,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_cpp_15,23,14,16,12,18,0.6666666666666666,<tool_call>,I
codecontests_cpp_16,24,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_java_16,25,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_cpp_17,26,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_java_17,27,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_java_18,28,16,16,14,18,0.7777777777777778,<tool_call>,I
humaneval_python_18,29,16,16,12,20,0.6,<tool_call>,I
codecontests_java_19,30,16,16,9,23,0.391304347826087,<tool_call>,I
apps_python_20,31,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_cpp_20,32,16,16,14,18,0.7777777777777778,<tool_call>,I
humaneval_python_21,33,16,16,13,19,0.6842105263157895,<tool_call>,I
apps_python_22,34,16,16,12,20,0.6,<tool_call>,I
codecontests_java_22,35,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_java_23,36,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_java_24,37,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_java_25,38,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_cpp_26,39,16,16,13,19,0.6842105263157895,<tool_call>,I
humaneval_python_26,40,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_cpp_27,41,14,15,12,17,0.7058823529411765,<tool_call>,I
codecontests_java_27,42,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_cpp_28,43,16,16,12,20,0.6,<tool_call>,I
codecontests_java_28,44,16,16,12,20,0.6,<tool_call>,I
apps_python_29,45,16,14,10,20,0.5,<tool_call>,I
codecontests_cpp_29,46,16,16,11,21,0.5238095238095238,<tool_call>,I
apps_python_30,47,16,16,12,20,0.6,<tool_call>,I
codecontests_cpp_30,48,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_java_30,49,16,16,11,21,0.5238095238095238,<tool_call>,I
mbpp_python_32,50,16,14,10,20,0.5,<tool_call>,I
codecontests_cpp_33,51,16,16,12,20,0.6,<tool_call>,I
codecontests_java_33,52,16,16,11,21,0.5238095238095238,<tool_call>,I
humaneval_python_33,53,16,16,9,23,0.391304347826087,<tool_call>,I
apps_python_35,54,16,16,12,20,0.6,<tool_call>,I
codecontests_cpp_35,55,16,16,12,20,0.6,<tool_call>,I
codecontests_java_35,56,16,16,11,21,0.5238095238095238,<tool_call>,I
mbpp_python_35,57,16,16,9,23,0.391304347826087,<tool_call>,I
codecontests_java_36,58,16,16,12,20,0.6,<tool_call>,I
mbpp_python_36,59,16,16,11,21,0.5238095238095238,<tool_call>,I
apps_python_37,60,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_java_37,61,16,16,9,23,0.391304347826087,<tool_call>,I
codecontests_cpp_39,62,16,16,12,20,0.6,<tool_call>,I
humaneval_python_39,63,16,16,10,22,0.45454545454545453,<tool_call>,I
apps_python_40,64,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_cpp_40,65,16,16,15,17,0.8823529411764706,<tool_call>,I
codecontests_java_40,66,16,16,14,18,0.7777777777777778,<tool_call>,I
codecontests_cpp_41,67,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_java_41,68,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_cpp_42,69,16,16,12,20,0.6,<tool_call>,I
mbpp_python_42,70,16,16,13,19,0.6842105263157895,<tool_call>,I
apps_python_43,71,16,15,11,20,0.55,<tool_call>,I
codecontests_cpp_43,72,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_java_43,73,16,16,13,19,0.6842105263157895,<tool_call>,I
apps_python_44,74,16,16,15,17,0.8823529411764706,<tool_call>,I
codecontests_java_44,75,16,16,10,22,0.45454545454545453,<tool_call>,I
humaneval_python_44,76,16,16,12,20,0.6,<tool_call>,I
codecontests_cpp_45,77,16,16,12,20,0.6,<tool_call>,I
codecontests_java_45,78,16,16,9,23,0.391304347826087,<tool_call>,I
apps_python_46,79,16,16,12,20,0.6,<tool_call>,I
codecontests_cpp_46,80,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_java_46,81,16,16,11,21,0.5238095238095238,<tool_call>,I
humaneval_python_47,82,16,16,12,20,0.6,<tool_call>,I
apps_python_48,83,16,15,11,20,0.55,<tool_call>,I
codecontests_cpp_48,84,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_java_48,85,16,16,10,22,0.45454545454545453,<tool_call>,I
apps_python_49,86,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_cpp_49,87,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_java_49,88,16,16,12,20,0.6,<tool_call>,I
codecontests_cpp_50,89,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_java_50,90,16,16,11,21,0.5238095238095238,<tool_call>,I
apps_python_51,91,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_java_52,92,16,16,12,20,0.6,<tool_call>,I
apps_python_53,93,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_cpp_53,94,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_java_53,95,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_java_55,96,16,16,8,24,0.3333333333333333,<tool_call>,I
mbpp_python_55,97,16,16,9,23,0.391304347826087,<tool_call>,I
codecontests_cpp_56,98,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_java_56,99,16,16,9,23,0.391304347826087,<tool_call>,I
codecontests_cpp_57,100,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_java_57,101,16,16,10,22,0.45454545454545453,<tool_call>,I
apps_python_58,102,16,16,14,18,0.7777777777777778,<tool_call>,I
codecontests_java_58,103,16,16,13,19,0.6842105263157895,<tool_call>,I
apps_python_59,104,16,16,13,19,0.6842105263157895,<tool_call>,I
apps_python_60,105,16,16,12,20,0.6,<tool_call>,I
codecontests_java_60,106,16,16,12,20,0.6,<tool_call>,I
humaneval_python_60,107,16,16,10,22,0.45454545454545453,<tool_call>,I
codecontests_java_61,108,16,16,10,22,0.45454545454545453,<tool_call>,I
mbpp_python_61,109,16,16,8,24,0.3333333333333333,<tool_call>,I
codecontests_cpp_62,110,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_java_62,111,16,16,10,22,0.45454545454545453,<tool_call>,I
codecontests_java_63,112,16,16,10,22,0.45454545454545453,<tool_call>,I
apps_python_64,113,16,16,10,22,0.45454545454545453,<tool_call>,I
codecontests_cpp_64,114,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_cpp_66,115,16,16,12,20,0.6,<tool_call>,I
codecontests_java_67,116,16,16,10,22,0.45454545454545453,<tool_call>,I
codecontests_cpp_68,117,16,16,12,20,0.6,<tool_call>,I
apps_python_69,118,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_cpp_70,119,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_java_70,120,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_cpp_72,121,16,16,14,18,0.7777777777777778,<tool_call>,I
codecontests_java_72,122,16,16,10,22,0.45454545454545453,<tool_call>,I
codecontests_cpp_73,123,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_cpp_74,124,16,16,12,20,0.6,<tool_call>,I
codecontests_java_74,125,16,16,11,21,0.5238095238095238,<tool_call>,I
apps_python_75,126,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_cpp_75,127,16,16,16,16,1.0,<tool_call>,I
codecontests_java_75,128,16,16,10,22,0.45454545454545453,<tool_call>,I
codecontests_java_76,129,16,16,12,20,0.6,<tool_call>,I
humaneval_python_76,130,16,16,9,23,0.391304347826087,<tool_call>,I
apps_python_77,131,16,16,9,23,0.391304347826087,<tool_call>,I
codecontests_cpp_77,132,16,16,13,19,0.6842105263157895,<tool_call>,I
apps_python_79,133,16,16,10,22,0.45454545454545453,<tool_call>,I
codecontests_java_79,134,16,16,10,22,0.45454545454545453,<tool_call>,I
mbpp_python_79,135,16,16,12,20,0.6,<tool_call>,I
apps_python_80,136,16,16,13,19,0.6842105263157895,<tool_call>,I
