edge,source,target,sign,n_samples,promote_source_ratio_median,promote_blocked_ratio_median,promote_mediated_ratio_median,suppress_source_ratio_median,suppress_blocked_ratio_median,suppress_mediated_ratio_median
L24H6->MLP27,L24H6,MLP27,no_tool_bias,1223,0.5741626794258373,0.2679738562091503,0.30588235294117644,0.4264705882352941,0.164021164021164,0.2577639751552795
L21H12->MLP27,L21H12,MLP27,shared,1223,0.7052238805970149,0.36879432624113473,0.32868020304568535,0.3711340206185567,0.20567375886524822,0.16666666666666663
MLP16->MLP17,MLP16,MLP17,no_tool_bias,1223,0.5219298245614035,0.29439252336448596,0.21808510638297873,0.4318181818181818,0.2236842105263158,0.21568627450980388
L21H1->MLP27,L21H1,MLP27,shared,1223,0.5683760683760684,0.27697841726618705,0.2895927601809955,0.2639593908629442,0.13142857142857142,0.13043478260869565
L23H6->MLP27,L23H6,MLP27,shared,1223,0.5229885057471264,0.2602739726027397,0.26394849785407726,0.28160919540229884,0.14615384615384616,0.13475177304964536
MLP11->MLP16,MLP11,MLP16,tool_bias,1223,0.32894736842105265,0.07909604519774012,0.24210526315789474,0.15352697095435686,0.013157894736842105,0.13278008298755184
MLP17->MLP19,MLP17,MLP19,no_tool_bias,1223,0.5522388059701493,0.39759036144578314,0.15296052631578944,0.47354497354497355,0.30677290836653387,0.1711711711711712
MLP12->MLP16,MLP12,MLP16,no_tool_bias,1223,0.2553191489361702,0.06976744186046512,0.16666666666666666,0.22707423580786026,0.09210526315789473,0.12448132780082988
L23H6->L24H6,L23H6,L24H6,tool_bias,1223,0.5229885057471264,0.2866666666666667,0.23619631901840493,0.28160919540229884,0.22123893805309736,0.05445544554455442
MLP16->MLP19,MLP16,MLP19,shared,1223,0.5219298245614035,0.375,0.1334033613445379,0.4318181818181818,0.3055555555555556,0.13111111111111112
L17H8->MLP27,L17H8,MLP27,no_tool_bias,1223,0.3142857142857143,0.14937759336099585,0.16296296296296295,0.2007042253521127,0.1111111111111111,0.08943089430894308
L21H12->L24H6,L21H12,L24H6,tool_bias,1223,0.7052238805970149,0.4966887417218543,0.1908653846153846,0.3711340206185567,0.33421052631578946,0.03902439024390242
MLP17->L24H6,MLP17,L24H6,no_tool_bias,1223,0.5522388059701493,0.35655737704918034,0.1720779220779221,0.47354497354497355,0.4236453201970443,0.05067567567567571
L21H12->L23H6,L21H12,L23H6,tool_bias,1223,0.7052238805970149,0.5736842105263158,0.1213503649635036,0.3711340206185567,0.2693877551020408,0.10060975609756095
MLP19->L24H6,MLP19,L24H6,no_tool_bias,1223,0.5375722543352601,0.3409090909090909,0.18018018018018017,0.3793969849246231,0.33969465648854963,0.03977272727272729
L20H5->MLP27,L20H5,MLP27,no_tool_bias,1223,0.3048128342245989,0.16374269005847952,0.14556962025316456,0.19424460431654678,0.12352941176470589,0.06962025316455694
L21H1->L24H6,L21H1,L24H6,tool_bias,1223,0.5683760683760684,0.3684210526315789,0.1853932584269663,0.2639593908629442,0.23986486486486486,0.026119402985074633
MLP16->L24H6,MLP16,L24H6,no_tool_bias,1223,0.5219298245614035,0.3368421052631579,0.16666666666666666,0.4318181818181818,0.38934426229508196,0.03829787234042553
MLP11->MLP12,MLP11,MLP12,shared,1223,0.32894736842105265,0.1968503937007874,0.1031746031746032,0.15352697095435686,0.02097902097902098,0.09411764705882353
MLP16->L21H12,MLP16,L21H12,shared,1223,0.5219298245614035,0.39144736842105265,0.10319767441860461,0.4318181818181818,0.3435114503816794,0.07999999999999999
L21H1->L23H6,L21H1,L23H6,tool_bias,1223,0.5683760683760684,0.4588607594936709,0.1015625,0.2639593908629442,0.17785234899328858,0.07894736842105263
MLP16->L17H2,MLP16,L17H2,no_tool_bias,1223,0.5219298245614035,0.4281437125748503,0.07954545454545459,0.4318181818181818,0.3333333333333333,0.0982142857142857
MLP16->L21H1,MLP16,L21H1,tool_bias,1223,0.5219298245614035,0.4171974522292994,0.08300395256916993,0.4318181818181818,0.334375,0.08920187793427231
MLP19->L21H1,MLP19,L21H1,tool_bias,1223,0.5375722543352601,0.43568464730290457,0.09682080924855496,0.3793969849246231,0.30927835051546393,0.06927710843373491
L16H4->MLP17,L16H4,MLP17,no_tool_bias,1223,0.2524271844660194,0.1803921568627451,0.08035714285714285,0.19680851063829788,0.11607142857142858,0.07777777777777775
MLP19->L23H6,MLP19,L23H6,no_tool_bias,1223,0.5375722543352601,0.4573170731707317,0.07532051282051277,0.3793969849246231,0.30120481927710846,0.07368421052631577
MLP19->L21H12,MLP19,L21H12,shared,1223,0.5375722543352601,0.4460227272727273,0.08520179372197312,0.3793969849246231,0.3170731707317073,0.06367924528301888
MLP17->L21H12,MLP17,L21H12,no_tool_bias,1223,0.5522388059701493,0.4393939393939394,0.08273381294964027,0.47354497354497355,0.3993055555555556,0.0658783783783784
MLP16->L23H6,MLP16,L23H6,no_tool_bias,1223,0.5219298245614035,0.4430379746835443,0.06532663316582915,0.4318181818181818,0.35135135135135137,0.07857142857142857
MLP19->L20H5,MLP19,L20H5,shared,1223,0.5375722543352601,0.46551724137931033,0.06349206349206349,0.3793969849246231,0.3005464480874317,0.07692307692307693
L20H5->L21H12,L20H5,L21H12,tool_bias,1223,0.3048128342245989,0.20618556701030927,0.09361702127659574,0.19424460431654678,0.15021459227467812,0.04210526315789474
L17H8->L21H12,L17H8,L21H12,tool_bias,1223,0.3142857142857143,0.23076923076923078,0.08296943231441051,0.2007042253521127,0.15846994535519127,0.04145077720207255
MLP17->L21H1,MLP17,L21H1,shared,1223,0.5522388059701493,0.4823529411764706,0.06164383561643838,0.47354497354497355,0.41133004926108374,0.05769230769230771
MLP17->L23H6,MLP17,L23H6,no_tool_bias,1223,0.5522388059701493,0.4909090909090909,0.050000000000000044,0.47354497354497355,0.41216216216216217,0.06573705179282863
L16H8->L17H2,L16H8,L17H2,no_tool_bias,1223,0.2681818181818182,0.20833333333333334,0.05839416058394162,0.21338912133891214,0.15425531914893617,0.05681818181818182
L17H8->MLP19,L17H8,MLP19,shared,1223,0.3142857142857143,0.24686192468619247,0.06907894736842102,0.2007042253521127,0.15816326530612246,0.04419889502762431
MLP19->MLP21,MLP19,MLP21,tool_bias,1223,0.5375722543352601,0.4580152671755725,0.06069364161849711,0.3793969849246231,0.32666666666666666,0.05116279069767443
MLP16->L20H5,MLP16,L20H5,tool_bias,1223,0.5219298245614035,0.46308724832214765,0.045597484276729494,0.4318181818181818,0.36818181818181817,0.06343283582089548
MLP12->L17H8,MLP12,L17H8,no_tool_bias,1223,0.2553191489361702,0.2,0.06106870229007633,0.22707423580786026,0.18446601941747573,0.04605263157894739
