head,family,rank,token,count,attn_median
L16H4,no_tool,1, input,34,0.22680515050888062
L16H4,no_tool,1,<|im_start|>,124,0.1995246559381485
L16H4,no_tool,1,\n,1065,0.26592132449150085
L16H4,no_tool,2, ,3,0.12604233622550964
L16H4,no_tool,2, input,176,0.13861822336912155
L16H4,no_tool,2,0,1,0.12834712862968445
L16H4,no_tool,2,1,1,0.11484372615814209
L16H4,no_tool,2,9,3,0.13141216337680817
L16H4,no_tool,2,<|im_start|>,813,0.12083009630441666
L16H4,no_tool,2,\n,226,0.1535181626677513
L16H4,no_tool,3, ,5,0.07985362410545349
L16H4,no_tool,3," """"""\n",1,0.04430023953318596
L16H4,no_tool,3, String,2,0.06590617634356022
L16H4,no_tool,3, arr,1,0.12096970528364182
L16H4,no_tool,3, definition,12,0.06492375954985619
L16H4,no_tool,3, input,158,0.07997792586684227
L16H4,no_tool,3,(A,1,0.08080486208200455
L16H4,no_tool,3,),13,0.06831158697605133
L16H4,no_tool,3,0,1,0.08545539528131485
L16H4,no_tool,3,1,2,0.08761756494641304
L16H4,no_tool,3,2,3,0.07524561136960983
L16H4,no_tool,3,<|im_start|>,281,0.10097698867321014
L16H4,no_tool,3,ANE,1,0.09352180361747742
L16H4,no_tool,3,Partition,1,0.07978489995002747
L16H4,no_tool,3,Save,2,0.05737941712141037
L16H4,no_tool,3,\n,716,0.08239192888140678
L16H4,no_tool,3,\n\n,2,0.0639108307659626
L16H4,no_tool,3,ban,1,0.09500765055418015
L16H4,no_tool,3,}\n,20,0.06497353687882423
L16H4,no_tool,4, ,9,0.06738702952861786
L16H4,no_tool,4," """"""\n",10,0.05265515111386776
L16H4,no_tool,4, String,4,0.04724153317511082
L16H4,no_tool,4, body,2,0.046955227851867676
L16H4,no_tool,4, count,1,0.055921196937561035
L16H4,no_tool,4, definition,115,0.0559379942715168
L16H4,no_tool,4, didn,1,0.05953086167573929
L16H4,no_tool,4, input,168,0.05798141658306122
L16H4,no_tool,4, solve,1,0.038643572479486465
L16H4,no_tool,4,(nums,1,0.06092385947704315
L16H4,no_tool,4,),38,0.05448529310524464
L16H4,no_tool,4,*/\n,2,0.046646157279610634
L16H4,no_tool,4,.\n,1,0.06672585755586624
L16H4,no_tool,4,1,1,0.04669516906142235
L16H4,no_tool,4,2,1,0.0741434171795845
L16H4,no_tool,4,3,1,0.07053416967391968
L16H4,no_tool,4,6,1,0.05131702870130539
L16H4,no_tool,4,9,1,0.07062466442584991
L16H4,no_tool,4,:\n,13,0.043079014867544174
L16H4,no_tool,4,<|im_start|>,5,0.062463127076625824
L16H4,no_tool,4,AP,1,0.08318977802991867
L16H4,no_tool,4,E,1,0.0696164220571518
L16H4,no_tool,4,In,1,0.0581912025809288
L16H4,no_tool,4,Save,2,0.04527267813682556
L16H4,no_tool,4,\n,708,0.059675006195902824
L16H4,no_tool,4,\n\n,14,0.04701878875494003
L16H4,no_tool,4,]),1,0.05026094615459442
L16H4,no_tool,4,}\n,119,0.0502774715423584
L16H4,no_tool,5, ,13,0.04396897554397583
L16H4,no_tool,5," """"""\n",100,0.0422627292573452
L16H4,no_tool,5, String,3,0.02888530306518078
L16H4,no_tool,5, based,9,0.034948062151670456
L16H4,no_tool,5, below,1,0.036637354642152786
L16H4,no_tool,5, body,14,0.04044255241751671
L16H4,no_tool,5, count,2,0.052719971165061
L16H4,no_tool,5, definition,229,0.04427780956029892
L16H4,no_tool,5, fib,1,0.05146962031722069
L16H4,no_tool,5, find,1,0.029548807069659233
L16H4,no_tool,5, input,62,0.04218420572578907
L16H4,no_tool,5, max,1,0.031151382252573967
L16H4,no_tool,5, min,2,0.02692361269146204
L16H4,no_tool,5, numberOf,1,0.0423547588288784
L16H4,no_tool,5, partition,1,0.03931472450494766
L16H4,no_tool,5, solve,10,0.03673924133181572
L16H4,no_tool,5, split,1,0.04760093614459038
L16H4,no_tool,5, std,2,0.027968263253569603
L16H4,no_tool,5, str,1,0.03737863525748253
L16H4,no_tool,5,(N,1,0.033590029925107956
