node,layer,group_key,group_label,group_description,semantic_hint,forward_support,reverse_support,shared_support_min,direction_balance
L2H14,2,tool_tail,Tool Tail,tool-mode auxiliary tail outside the shared backbone,tool-tail router,0.4585891482342316,0.17696483837184993,0.17696483837184993,-0.44311626674908
MLP11,11,tool_bias_backbone,Tool-Bias Backbone,shared backbone nodes tilted toward the tool-call endpoint,tool-biased writer MLP,0.4502542026223842,0.334057862486961,0.334057862486961,-0.1481506473054493
L12H6,12,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,shared router,0.37038699495295085,0.3007476329445864,0.3007476329445864,-0.10376362523049007
MLP12,12,no_tool_bias_backbone,No-Tool-Bias Backbone,shared backbone nodes tilted toward the no-tool endpoint,no-tool-biased writer MLP,0.3465502522985187,0.4579060650175063,0.3465502522985187,0.13842369103460248
L13H9,13,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,shared router,0.2734880188975575,0.26908954528366685,0.26908954528366685,-0.008106626414839292
L15H5,15,no_tool_tail,No-Tool Tail,no-tool auxiliary tail outside the shared backbone,no-tool-tail router,0.0816089821016225,0.16384795396227483,0.0816089821016225,0.33504439996449675
L16H13,16,no_tool_tail,No-Tool Tail,no-tool auxiliary tail outside the shared backbone,user-content reader,0.05144216797144139,0.13983403981905285,0.05144216797144139,0.4621163963289544
L16H4,16,no_tool_bias_backbone,No-Tool-Bias Backbone,shared backbone nodes tilted toward the no-tool endpoint,no-tool-biased router,0.25024722340729105,0.5265310257959674,0.25024722340729105,0.3556791177817617
L16H8,16,no_tool_bias_backbone,No-Tool-Bias Backbone,shared backbone nodes tilted toward the no-tool endpoint,no-tool-biased router,0.2653265680790519,0.7417331643310718,0.2653265680790519,0.47306687073255344
L16H9,16,no_tool_tail,No-Tool Tail,no-tool auxiliary tail outside the shared backbone,no-tool-tail router,0.09795488950796552,0.18251534720651336,0.09795488950796552,0.3014952983572054
MLP16,16,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,shared writer MLP,0.7172545422232764,0.7560089867942641,0.7172545422232764,0.026305167953781766
L17H2,17,no_tool_tail,No-Tool Tail,no-tool auxiliary tail outside the shared backbone,no-tool-tail router,0.1908703792276904,0.3731635561315512,0.1908703792276904,0.32319540629723914
L17H8,17,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,shared router,0.5449212789903128,0.5978544813428781,0.5449212789903128,0.04631985048154321
MLP17,17,no_tool_bias_backbone,No-Tool-Bias Backbone,shared backbone nodes tilted toward the no-tool endpoint,no-tool-biased writer MLP,0.6767169657296629,0.9057047192260653,0.6767169657296629,0.1447071635035189
L18H14,18,tool_tail,Tool Tail,tool-mode auxiliary tail outside the shared backbone,format/prefix router,0.3137995332748813,0.17774305904079762,0.17774305904079762,-0.2767948828058126
MLP19,19,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,shared writer MLP,0.7212753936110661,0.7494127960104889,0.7212753936110661,0.019132133240740392
L20H5,20,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,user-content reader,0.4559221234413819,0.5094864917049154,0.4559221234413819,0.055483623642012404
L21H1,21,tool_bias_backbone,Tool-Bias Backbone,shared backbone nodes tilted toward the tool-call endpoint,format/prefix router,0.9526253131389218,0.5403076597047923,0.5403076597047923,-0.27617961484818276
L21H12,21,tool_bias_backbone,Tool-Bias Backbone,shared backbone nodes tilted toward the tool-call endpoint,format/prefix router,0.9949428032697804,0.8643422132540395,0.8643422132540395,-0.07024237212426743
MLP21,21,tool_tail,Tool Tail,tool-mode auxiliary tail outside the shared backbone,tool-tail writer MLP,0.33411095227975113,0.04435439490961636,0.04435439490961636,-0.7656092150099896
L23H5,23,tool_tail,Tool Tail,tool-mode auxiliary tail outside the shared backbone,format/prefix router,0.1730470940270833,0.009190997317824186,0.009190997317824186,-0.8991319844276779
L23H6,23,tool_bias_backbone,Tool-Bias Backbone,shared backbone nodes tilted toward the tool-call endpoint,tool-biased router,0.9959642258133011,0.9127237054768272,0.9127237054768272,-0.04361138296725626
L24H6,24,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,format/prefix router,0.9760582883418013,0.9957797831428289,0.9760582883418013,0.010001579280888384
MLP27,27,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,shared writer MLP,0.9991336471252141,0.9987014951131101,0.9987014951131101,-0.00021631014640168518
