source_group,target_group,sign,n_edges,union_support_median,shared_support_median,direction_balance_median,top_edges
tool_bias_backbone,tool_bias_backbone,tool_bias,2,0.9668572852467492,0.28592824865791444,-0.5435320078022653,L21H12->L23H6 (0.967) | L21H1->L23H6 (0.870)
symmetric_backbone,tool_bias_backbone,shared,2,0.6551176077571629,0.5970406484429376,0.06533046660901841,MLP19->L21H12 (0.655) | MLP16->L21H12 (0.251)
symmetric_backbone,no_tool_bias_backbone,no_tool_bias,1,0.6071139610963263,0.45475191932730497,0.1434852033368249,MLP16->MLP17 (0.607)
no_tool_bias_backbone,tool_bias_backbone,no_tool_bias,2,0.5867478907400285,0.44253809663720817,0.8360357517530396,MLP17->L21H12 (0.587) | MLP17->L23H6 (0.538)
symmetric_backbone,tool_bias_backbone,no_tool_bias,2,0.4975182430740267,0.06392367992455446,0.9230304233635165,MLP19->L23H6 (0.498) | MLP16->L23H6 (0.229)
no_tool_bias_backbone,no_tool_bias_backbone,no_tool_bias,4,0.4113800923525468,0.17823767402403098,0.5084492839224135,L16H8->MLP17 (0.610) | L16H4->MLP17 (0.411) | MLP12->L16H8 (0.300) | MLP12->L16H4 (0.273)
no_tool_bias_backbone,tool_bias_backbone,shared,1,0.4086870786730908,0.374175875809605,-0.04408332603538546,MLP17->L21H1 (0.409)
tool_bias_backbone,symmetric_backbone,shared,3,0.4082041371061881,0.40294003766906955,0.02552645122018266,L21H12->MLP27 (0.711) | L21H1->MLP27 (0.408) | L23H6->MLP27 (0.322)
tool_bias_backbone,symmetric_backbone,tool_bias,6,0.3971954525985721,0.18265550418997853,-0.41300214516925476,L23H6->L24H6 (0.918) | L21H12->L24H6 (0.659) | L21H1->L24H6 (0.397) | MLP11->MLP16 (0.248)
symmetric_backbone,tool_bias_backbone,tool_bias,5,0.35596700403144654,0.12699942663289365,-0.5084701007816873,MLP19->L21H1 (0.625) | L20H5->L21H12 (0.390) | L20H5->L21H1 (0.356) | MLP16->L21H1 (0.202)
symmetric_backbone,symmetric_backbone,no_tool_bias,5,0.3356549737616246,0.0049152419426803555,0.9499868252525814,L24H6->MLP27 (0.973) | MLP19->L24H6 (0.499) | L20H5->MLP27 (0.336) | MLP16->L24H6 (0.243)
symmetric_backbone,symmetric_backbone,shared,6,0.3322570643183704,0.31014646668002827,0.04995136561994157,MLP16->L17H8 (0.470) | MLP19->L20H5 (0.343) | MLP16->MLP19 (0.332) | L17H8->MLP19 (0.269)
symmetric_backbone,no_tool_tail,no_tool_bias,1,0.30009418483057904,0.1579950665520813,0.31019963434985,MLP16->L17H2 (0.300)
no_tool_bias_backbone,tool_tail,tool_bias,1,0.2648512666400386,0.1724349798046261,-0.2113404836918581,MLP17->L18H14 (0.265)
no_tool_bias_backbone,symmetric_backbone,no_tool_bias,8,0.25363516674202663,0.10295024410106442,0.25516124245682287,MLP17->MLP19 (0.593) | MLP17->L24H6 (0.559) | MLP17->L20H5 (0.406) | MLP12->MLP16 (0.254)
tool_tail,tool_bias_backbone,tool_bias,2,0.20163568473789045,0.047189542593148774,-0.5989054224714925,MLP21->L23H6 (0.202) | L2H14->MLP11 (0.188)
symmetric_backbone,tool_tail,tool_bias,3,0.2007925285745781,0.026017434359568433,-0.7584817032265084,MLP16->L18H14 (0.225) | L20H5->MLP21 (0.201) | MLP19->MLP21 (0.186)
no_tool_bias_backbone,no_tool_tail,no_tool_bias,1,0.18670697764113403,0.07999726182406217,0.4001050603134378,L16H8->L17H2 (0.187)
tool_bias_backbone,no_tool_bias_backbone,no_tool_bias,2,0.1774363132392164,0.10959589494031456,0.4766219328027367,MLP11->L16H4 (0.177) | MLP11->L16H8 (0.173)
no_tool_tail,symmetric_backbone,no_tool_bias,1,0.170606458429244,0.05055639031185215,0.5428129941386685,L17H2->MLP19 (0.171)
symmetric_backbone,symmetric_backbone,tool_bias,1,0.1630991971589887,0.13863993251934978,-0.08106096370634172,MLP16->L20H5 (0.163)
tool_bias_backbone,no_tool_bias_backbone,shared,1,0.1446177188087482,0.13804995409310075,0.0232349339711301,MLP11->MLP12 (0.145)
tool_tail,symmetric_backbone,shared,1,0.1302646863784441,0.12418687950041574,-0.023885908727014498,L18H14->MLP19 (0.130)
