sample_id,sample_rank,q_index,cluster_id,cluster_size,weight
codecontests_java_7,9,,0,305,0.9017470556696944
apps_python_8,10,,0,305,0.8556349496205444
codecontests_cpp_12,18,,0,305,0.8977530187520922
codecontests_cpp_14,21,,0,305,0.9944616256454266
codecontests_cpp_15,23,,0,305,0.968330958234617
codecontests_cpp_16,24,,0,305,0.9997464693509616
codecontests_cpp_20,32,,0,305,0.9078904625397549
codecontests_cpp_28,43,,0,305,0.9488276436322214
codecontests_java_28,44,,0,305,0.8559782549747159
codecontests_cpp_30,48,,0,305,1.0
codecontests_cpp_35,55,,0,305,0.9992723651960784
mbpp_python_36,59,,0,305,0.9661182415674604
apps_python_37,60,,0,305,0.9998385272448576
codecontests_java_37,61,,0,305,0.9851346738362582
codecontests_cpp_40,65,,0,305,0.999766248337766
codecontests_cpp_41,67,,0,305,0.9999603622261135
codecontests_cpp_42,69,,0,305,0.964470950790013
apps_python_44,74,,0,305,0.97400826446281
codecontests_cpp_45,77,,0,305,0.9867769207356146
codecontests_cpp_48,84,,0,305,0.9521132330246914
codecontests_cpp_49,87,,0,305,0.9999609245825066
codecontests_cpp_50,89,,0,305,0.9726096083368054
apps_python_53,93,,0,305,0.9997698465983073
codecontests_cpp_56,98,,0,305,0.9999560546875
mbpp_python_61,109,,0,305,0.8640999674829095
codecontests_cpp_64,114,,0,305,0.9996560534591195
codecontests_cpp_66,115,,0,305,0.8810789272663747
apps_python_75,126,,0,305,0.9981984874429224
mbpp_python_79,135,,0,305,0.9997535776869159
codecontests_java_80,138,,0,305,0.9999940334222256
apps_python_88,148,,0,305,1.0
apps_python_91,151,,0,305,0.999306640625
codecontests_cpp_93,154,,0,305,0.9199386586593353
codecontests_cpp_95,159,,0,305,0.9985833556866953
apps_python_96,161,,0,305,0.9997277384653142
codecontests_java_96,162,,0,305,0.9230424689117974
apps_python_98,165,,0,305,0.9214330975025996
apps_python_99,168,,0,305,0.9997239616048995
codecontests_cpp_100,171,,0,305,0.9441007585145424
codecontests_java_100,172,,0,305,0.8830849194101509
apps_python_102,174,,0,305,0.9982432208994709
apps_python_103,175,,0,305,0.9904824404153572
codecontests_java_105,178,,0,305,0.8440635039042734
apps_python_106,179,,0,305,0.9997190710616438
codecontests_java_109,185,,0,305,0.8960183499306381
humaneval_python_115,199,,0,305,0.9547860797493837
codecontests_cpp_117,205,,0,305,0.9999529864336993
mbpp_python_117,207,,0,305,0.999999450731881
apps_python_118,208,,0,305,0.9999103638285024
codecontests_cpp_118,209,,0,305,0.9996324174859551
apps_python_121,215,,0,305,1.0
