source,target,support_weighted,support_unweighted
MLP27,Residual Output: <tool_call>,0.9991336471252141,0.9991823385118561
L23H6,Residual Output: <tool_call>,0.9942720313942044,0.9942763695829926
L24H6,Residual Output: <tool_call>,0.9760582883418013,0.9771054783319706
L21H12,L23H6,0.9668572852467492,0.9672935404742437
L23H6,L24H6,0.9181655112221915,0.919869174161897
L21H1,L23H6,0.8697577760988686,0.8642681929681112
L21H12,MLP27,0.6710295822785123,0.678659035159444
L24H6,MLP27,0.6690822692484475,0.669664758789861
L21H12,L24H6,0.6586688198752297,0.6655764513491415
MLP19,L21H12,0.6551176077571629,0.6524938675388389
MLP19,L21H1,0.6251361723041999,0.6197874080130826
Input Embed,L2H14,0.4585891482342316,0.46116107931316436
MLP16,MLP17,0.45475191932730497,0.4448078495502862
MLP17,L21H12,0.44253809663720817,0.4349959116925593
MLP17,L21H1,0.4086870786730908,0.40065412919051513
L21H1,MLP27,0.40294003766906955,0.3973834832379395
MLP17,MLP19,0.4020544800277222,0.3949304987735078
MLP16,L17H8,0.4007821527476944,0.3965658217497956
L21H1,L24H6,0.3971954525985721,0.39247751430907607
L20H5,L21H12,0.3897521558643775,0.3973834832379395
L20H5,L21H1,0.35596700403144654,0.36222403924775143
MLP16,MLP19,0.31589035862954773,0.312346688470973
MLP19,L20H5,0.31014646668002827,0.3115290269828291
L23H6,MLP27,0.3058531534738389,0.30253475061324614
MLP17,L18H14,0.2648512666400386,0.26001635322976285
MLP11,MLP16,0.24839308111935127,0.2436631234668847
L17H8,MLP19,0.2424393414367111,0.2403924775143091
MLP11,L12H6,0.22910144366422971,0.23221586263287
MLP16,L18H14,0.2247341181368313,0.21995094031071136
MLP16,L21H12,0.22031275886672516,0.21831561733442356
L16H8,MLP17,0.20287632368667685,0.19787408013082583
MLP16,L21H1,0.20240053661248145,0.19950940310711365
MLP21,L23H6,0.20163568473789045,0.20932134096484056
L20H5,MLP21,0.2007925285745781,0.21013900245298447
MLP17,L20H5,0.18894770438131644,0.18969746524938674
L2H14,MLP11,0.18811427469565423,0.18724448078495504
