node,layer,support_weighted,support_unweighted,median_score_norm,mean_score_norm
MLP27,27,0.9991336471252141,0.9991823385118561,0.799896265560166,0.7889938945932271
L23H6,23,0.9959642258133011,0.9959116925592805,0.6650485436893204,0.7110205492725028
L21H12,21,0.9949428032697804,0.9950940310711366,1.0044247787610618,1.0666263066545947
L24H6,24,0.9760582883418013,0.9771054783319706,0.6698113207547169,0.6683731065378147
L21H1,21,0.9526253131389218,0.9484873262469338,0.7977877844600925,0.8684377385399307
MLP19,19,0.7212753936110661,0.7179067865903516,0.5619556316533909,0.5605295141545107
MLP16,16,0.7172545422232764,0.7097301717089125,0.6268074912891985,0.6143625202817977
MLP17,17,0.6767169657296629,0.6704824202780049,0.6442406742625253,0.6202531976787083
L17H8,17,0.5449212789903128,0.5404742436631235,0.4048507462686567,0.42637736312113966
L2H14,2,0.4585891482342316,0.46116107931316436,0.08626650832154167,0.09637102995820937
L20H5,20,0.4559221234413819,0.46197874080130824,0.4304812834224599,0.4538298352243341
MLP11,11,0.4502542026223842,0.44807849550286183,0.49100215517241375,0.5103493422987232
L12H6,12,0.37038699495295085,0.3810302534750613,0.19442800788954634,0.21250039985515143
MLP12,12,0.3465502522985187,0.34587080948487325,0.4967741935483871,0.49599775002756424
MLP21,21,0.33411095227975113,0.34341782502044155,0.4359938307306728,0.42674974052386366
L18H14,18,0.3137995332748813,0.3107113654946852,0.3819162984075517,0.3947266726870235
L13H9,13,0.2734880188975575,0.2747342600163532,0.18092986273853365,0.203031380680437
L16H8,16,0.2653265680790519,0.2624693376941946,0.39644970414201186,0.40683091186284953
L16H4,16,0.25024722340729105,0.24938675388389206,0.39436619718309857,0.4234383432553988
MLP18,18,0.21971317173404217,0.22076860179885527,0.5598916852500797,0.5471437478294708
L17H2,17,0.1908703792276904,0.18969746524938674,0.370625528317836,0.3922092206960733
MLP13,13,0.18145193207155336,0.18724448078495504,0.4894957983193277,0.47967044357842614
L23H5,23,0.1730470940270833,0.1749795584627964,0.38970136256531096,0.3971376919900044
L17H12,17,0.17201209715066532,0.16925592804578904,0.39457831325301207,0.42556437461945396
L10H2,10,0.16941886905975242,0.17252657399836469,0.19736842105263158,0.20511809253975677
L9H3,9,0.1587124933747536,0.1545380212591987,0.2099609375,0.22960814873401234
