group,set,n_points,tool_mass_median,no_tool_mass_median,delta_median_no_minus_tool
forward_selective_heads,contrast,7338,0.0004789111262653023,0.0005945703014731407,0.00011565917520783842
forward_selective_heads,prefix_16,7338,0.2232196033000946,0.2962713837623596,0.07305178046226501
forward_selective_heads,recent_32,7338,0.08679882064461708,0.1085517592728138,0.021752938628196716
forward_selective_heads,tool_call_tags,7338,0.008939719293266535,0.006369486218318343,-0.0025702330749481916
forward_selective_heads,tools_block,7338,0.11147504672408104,0.09847234562039375,-0.013002701103687286
forward_selective_heads,user_block,7338,0.0629451796412468,0.12235426902770996,0.059409089386463165
reverse_only_core_heads,contrast,3669,0.003562276717275381,0.0027107130736112595,-0.0008515636436641216
reverse_only_core_heads,prefix_16,3669,0.061964310705661774,0.0740925520658493,0.01212824136018753
reverse_only_core_heads,recent_32,3669,0.24038872122764587,0.29045259952545166,0.050063878297805786
reverse_only_core_heads,tool_call_tags,3669,0.00150970253162086,0.0020141173154115677,0.0005044147837907076
reverse_only_core_heads,tools_block,3669,0.28156960010528564,0.22359609603881836,-0.057973504066467285
reverse_only_core_heads,user_block,3669,0.38691389560699463,0.4453745484352112,0.05846065282821655
reverse_selective_heads,contrast,7338,0.005155348451808095,0.004364445339888334,-0.0007909031119197607
reverse_selective_heads,prefix_16,7338,0.1410805508494377,0.1346966251730919,-0.006383925676345825
reverse_selective_heads,recent_32,7338,0.2801804840564728,0.30421438813209534,0.02403390407562256
reverse_selective_heads,tool_call_tags,7338,0.002707027946598828,0.002614943077787757,-9.208486881107092e-05
reverse_selective_heads,tools_block,7338,0.14888358116149902,0.13315365463495255,-0.01572992652654648
reverse_selective_heads,user_block,7338,0.3301110863685608,0.3819435238838196,0.05183243751525879
shared_core_heads,contrast,6115,0.0007076864130795002,0.0015622380888089538,0.0008545516757294536
shared_core_heads,prefix_16,6115,0.22290974855422974,0.30207812786102295,0.07916837930679321
shared_core_heads,recent_32,6115,0.06665978580713272,0.09925732016563416,0.032597534358501434
shared_core_heads,tool_call_tags,6115,0.015267521142959595,0.008748515509068966,-0.006519005633890629
shared_core_heads,tools_block,6115,0.10485901683568954,0.08292481303215027,-0.021934203803539276
shared_core_heads,user_block,6115,0.05928219109773636,0.11183901131153107,0.05255682021379471
