variant,component,set,mass_median
clean_full,L16H4,instruction_line,0.14723171293735504
clean_full,L16H4,task_body,0.28641846776008606
clean_full,L20H5,instruction_line,0.14397692680358887
clean_full,L20H5,task_body,0.04616579785943031
clean_full,L21H1,instruction_line,0.042899373918771744
clean_full,L21H1,task_body,0.18167126178741455
clean_full,L21H12,instruction_line,0.02373926341533661
clean_full,L21H12,task_body,0.012275842018425465
clean_with_corrupt_instruction,L16H4,instruction_line,0.15735583007335663
clean_with_corrupt_instruction,L16H4,task_body,0.3353949785232544
clean_with_corrupt_instruction,L20H5,instruction_line,0.26308366656303406
clean_with_corrupt_instruction,L20H5,task_body,0.08139863610267639
clean_with_corrupt_instruction,L21H1,instruction_line,0.056410014629364014
clean_with_corrupt_instruction,L21H1,task_body,0.17640924453735352
clean_with_corrupt_instruction,L21H12,instruction_line,0.06740808486938477
clean_with_corrupt_instruction,L21H12,task_body,0.03833753615617752
corrupt_full,L16H4,instruction_line,0.15735583007335663
corrupt_full,L16H4,task_body,0.3353949785232544
corrupt_full,L20H5,instruction_line,0.26308366656303406
corrupt_full,L20H5,task_body,0.08139863610267639
corrupt_full,L21H1,instruction_line,0.056410014629364014
corrupt_full,L21H1,task_body,0.17640924453735352
corrupt_full,L21H12,instruction_line,0.06740808486938477
corrupt_full,L21H12,task_body,0.03833753615617752
corrupt_with_clean_instruction,L16H4,instruction_line,0.14723171293735504
corrupt_with_clean_instruction,L16H4,task_body,0.28641846776008606
corrupt_with_clean_instruction,L20H5,instruction_line,0.14397692680358887
corrupt_with_clean_instruction,L20H5,task_body,0.04616579785943031
corrupt_with_clean_instruction,L21H1,instruction_line,0.042899373918771744
corrupt_with_clean_instruction,L21H1,task_body,0.18167126178741455
corrupt_with_clean_instruction,L21H12,instruction_line,0.02373926341533661
corrupt_with_clean_instruction,L21H12,task_body,0.012275842018425465
