node,layer,group_key,group_label,group_description,semantic_hint,forward_support,reverse_support,shared_support_min,direction_balance
MLP12,12,no_tool_bias_backbone,No-Tool-Bias Backbone,shared backbone nodes tilted toward the no-tool endpoint,no-tool-biased writer MLP,0.3465502522985187,0.4579060650175063,0.3465502522985187,0.1384236910346024
L15H5,15,no_tool_tail,No-Tool Tail,no-tool auxiliary tail outside the shared backbone,no-tool-tail router,0.0816089821016225,0.1638479539622748,0.0816089821016225,0.3350443999644967
L16H13,16,no_tool_tail,No-Tool Tail,no-tool auxiliary tail outside the shared backbone,user-content reader,0.0514421679714413,0.1398340398190528,0.0514421679714413,0.4621163963289544
L16H4,16,no_tool_bias_backbone,No-Tool-Bias Backbone,shared backbone nodes tilted toward the no-tool endpoint,no-tool-biased router,0.250247223407291,0.5265310257959674,0.250247223407291,0.3556791177817617
L16H8,16,no_tool_bias_backbone,No-Tool-Bias Backbone,shared backbone nodes tilted toward the no-tool endpoint,no-tool-biased router,0.2653265680790519,0.7417331643310718,0.2653265680790519,0.4730668707325534
L16H9,16,no_tool_tail,No-Tool Tail,no-tool auxiliary tail outside the shared backbone,no-tool-tail router,0.0979548895079655,0.1825153472065133,0.0979548895079655,0.3014952983572054
MLP16,16,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,shared writer MLP,0.7172545422232764,0.7560089867942641,0.7172545422232764,0.0263051679537817
L17H2,17,no_tool_tail,No-Tool Tail,no-tool auxiliary tail outside the shared backbone,no-tool-tail router,0.1908703792276904,0.3731635561315512,0.1908703792276904,0.3231954062972391
MLP17,17,no_tool_bias_backbone,No-Tool-Bias Backbone,shared backbone nodes tilted toward the no-tool endpoint,no-tool-biased writer MLP,0.6767169657296629,0.9057047192260652,0.6767169657296629,0.1447071635035189
L20H5,20,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,user-content reader,0.4559221234413819,0.5094864917049154,0.4559221234413819,0.0554836236420124
L21H1,21,tool_bias_backbone,Tool-Bias Backbone,shared backbone nodes tilted toward the tool-call endpoint,format/prefix router,0.9526253131389218,0.5403076597047923,0.5403076597047923,-0.2761796148481827
L21H12,21,tool_bias_backbone,Tool-Bias Backbone,shared backbone nodes tilted toward the tool-call endpoint,format/prefix router,0.9949428032697804,0.8643422132540395,0.8643422132540395,-0.0702423721242674
L23H6,23,tool_bias_backbone,Tool-Bias Backbone,shared backbone nodes tilted toward the tool-call endpoint,tool-biased router,0.9959642258133012,0.9127237054768272,0.9127237054768272,-0.0436113829672562
L24H6,24,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,format/prefix router,0.9760582883418012,0.9957797831428288,0.9760582883418012,0.0100015792808883
MLP27,27,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,shared writer MLP,0.999133647125214,0.99870149511311,0.99870149511311,-0.0002163101464016
