base_variant,alpha,n_samples,tool_score_median,no_tool_score_median,decision_score_median,tool_top1_rate,boundary_flip_rate
clean_no_protocol,0.0,1223,-13.0,-0.419921875,-12.240234375,0.0,0.0
clean_no_protocol,0.25,1223,-10.4375,-0.384765625,-9.8486328125,0.0,0.0
clean_no_protocol,0.5,1223,-7.90625,-0.3515625,-7.36328125,0.0,0.0
clean_no_protocol,0.75,1223,-5.65625,-0.361328125,-5.111328125,0.001635322976287817,0.0024529844644317253
clean_no_protocol,1.0,1223,-3.5625,-0.45703125,-3.015625,0.05396565821749796,0.06295993458708095
clean_no_protocol,1.25,1223,-1.734375,-0.73828125,-1.0546875,0.22976287816843827,0.2812755519215045
clean_no_protocol,1.5,1223,-0.5390625,-1.390625,0.71484375,0.5870809484873263,0.6582174979558463
clean_no_schema,0.0,1223,-3.109375,-0.1953125,-2.9990234375,0.09811937857726902,0.11937857726901063
clean_no_schema,0.25,1223,-2.4375,-0.2373046875,-2.25439453125,0.116107931316435,0.1439084219133279
clean_no_schema,0.5,1223,-1.765625,-0.310546875,-1.54296875,0.14963205233033525,0.1847914963205233
clean_no_schema,0.75,1223,-1.2734375,-0.40625,-0.91015625,0.2403924775143091,0.2714636140637776
clean_no_schema,1.0,1223,-0.8203125,-0.578125,-0.279296875,0.3712183156173344,0.41128372853638595
clean_no_schema,1.25,1223,-0.515625,-0.8359375,0.30078125,0.5470155355682748,0.6026165167620605
clean_no_schema,1.5,1223,-0.267578125,-1.1875,0.8984375,0.6770237121831562,0.7579721995094031
clean_schema_mismatch,0.0,1223,-5.0625,-0.177734375,-4.877685546875,0.04987735077677841,0.05478331970564186
clean_schema_mismatch,0.25,1223,-3.71875,-0.1845703125,-3.58935546875,0.08503679476696648,0.09321340964840556
clean_schema_mismatch,0.5,1223,-2.4375,-0.2392578125,-2.244140625,0.1545380212591987,0.15944399018806213
clean_schema_mismatch,0.75,1223,-1.375,-0.380859375,-1.015625,0.2616516762060507,0.2722812755519215
clean_schema_mismatch,1.0,1223,-0.625,-0.74609375,0.1171875,0.4987735077677841,0.5363859362224039
clean_schema_mismatch,1.25,1223,-0.2099609375,-1.34375,1.103515625,0.7865903515944399,0.8372853638593623
clean_schema_mismatch,1.5,1223,-0.059814453125,-2.125,2.02734375,0.9591169255928046,0.9852820932134096
corrupt_full,0.0,1223,-4.59375,0.0,-4.59375,0.0,0.0
corrupt_full,0.25,1223,-3.515625,-0.0093994140625,-3.510955810546875,0.0,0.0
corrupt_full,0.5,1223,-2.484375,-0.046142578125,-2.4315185546875,0.004905968928863451,0.0
corrupt_full,0.75,1223,-1.6171875,-0.142578125,-1.4638671875,0.07031888798037612,0.04088307440719542
corrupt_full,1.0,1223,-0.8828125,-0.36328125,-0.5234375,0.28699918233851185,0.2739165985282093
corrupt_full,1.25,1223,-0.40625,-0.77734375,0.36328125,0.6009811937857726,0.659852820932134
corrupt_full,1.5,1223,-0.1455078125,-1.3359375,1.197265625,0.8340147179067866,0.8994276369582993
