source,target,support_weighted,support_unweighted
MLP27,Residual Output: no_tool,0.9987014951131101,0.9983646770237122
L24H6,Residual Output: no_tool,0.9940456974954627,0.9942763695829926
L24H6,MLP27,0.9727802217633473,0.9730171708912511
L23H6,Residual Output: no_tool,0.8615589190697435,0.8601798855273917
L21H12,MLP27,0.7107034032644163,0.7130008176614882
L16H8,MLP17,0.6098930192547963,0.6124284546197875
MLP16,MLP17,0.6071139610963263,0.6050695012264923
MLP19,L21H12,0.5970406484429376,0.6017988552739166
MLP17,MLP19,0.5928365841449019,0.5960752248569092
MLP17,L21H12,0.5867478907400285,0.5911692559280458
MLP17,L24H6,0.5589475365957082,0.5592804578904333
MLP17,L23H6,0.5379207936065118,0.5339329517579722
MLP19,L24H6,0.4986464747056862,0.5020441537203598
MLP19,L23H6,0.4975182430740267,0.49795584627964024
MLP16,L17H8,0.4697037465669286,0.46443172526574
L16H4,MLP17,0.4113800923525468,0.4170073589533933
L21H1,MLP27,0.4082041371061881,0.39983646770237125
MLP17,L20H5,0.4055796262409776,0.40964840556009813
MLP19,L21H1,0.3848761315507859,0.3793949304987735
MLP17,L21H1,0.374175875809605,0.3695829926410466
MLP19,L20H5,0.3427600382220291,0.3466884709730172
L20H5,MLP27,0.3356549737616246,0.33605887162714637
MLP16,MLP19,0.3322570643183704,0.33197056418642684
L23H6,MLP27,0.32187687338386606,0.31643499591169255
MLP16,L17H2,0.30009418483057904,0.29599345870809485
MLP12,L16H8,0.29965684563577605,0.30662305805396567
L21H12,L23H6,0.28592824865791444,0.2919051512673753
L23H6,L24H6,0.28292495684350943,0.2837285363859362
MLP12,L16H4,0.27258616986143863,0.276369582992641
L17H8,MLP19,0.26902223887601734,0.26819296811120197
MLP12,MLP16,0.25363516674202663,0.25674570727718726
MLP16,L21H12,0.25111109950475796,0.24529844644317253
MLP16,L24H6,0.24338656572804884,0.23630417007358953
MLP16,L23H6,0.2288361662476504,0.22158626328699918
L16H8,L17H8,0.21107736237357858,0.20686835650040883
L21H12,L24H6,0.20031626569666694,0.2035977105478332
L17H8,MLP27,0.1916426437545904,0.18887980376124286
L16H8,L17H2,0.18670697764113403,0.1839738348323794
MLP11,MLP16,0.18265550418997853,0.17825020441537204
MLP11,L16H4,0.1774363132392164,0.1749795584627964
Input Embed,L2H14,0.17696483837184993,0.18152085036794766
MLP17,MLP18,0.17354889388314088,0.1733442354865086
MLP11,L16H8,0.1734093685328546,0.17089125102207686
MLP17,L18H14,0.1724349798046261,0.17007358953393295
L17H2,MLP19,0.170606458429244,0.16925592804578904
MLP17,L20H14,0.15958137924100824,0.15372035977105478
MLP16,L17H12,0.1535284711340249,0.1545380212591987
MLP12,L17H8,0.1473476938896082,0.14963205233033525
MLP11,MLP12,0.1446177188087482,0.14145543744889616
MLP19,L20H14,0.14313172815038605,0.1381847914963205
L13H9,MLP16,0.14109622278105435,0.13982011447260834
MLP12,L13H9,0.14090573257114536,0.1381847914963205
L15H5,L16H8,0.1395517459236575,0.13409648405560098
Input Embed,L2H15,0.13895541433767197,0.14799672935404742
MLP16,L20H5,0.13863993251934978,0.13654946852003272
MLP16,L21H1,0.13399714883403482,0.12919051512673754
L16H9,MLP17,0.1328741189348764,0.12837285363859363
L15H5,MLP16,0.1319737616317442,0.1267375306623058
MLP18,MLP19,0.1311919783509134,0.13164349959116925
L16H4,L17H8,0.1275231337974426,0.12919051512673754
MLP16,L18H14,0.1270182934201751,0.12428454619787407
L20H5,L21H12,0.12699942663289365,0.12837285363859363
L20H14,MLP27,0.12610787576215587,0.12101390024529844
L12H6,MLP16,0.12516284886620183,0.12837285363859363
L18H14,MLP19,0.12418687950041574,0.12183156173344235
L16H13,MLP17,0.11998988073269412,0.12101390024529844
Input Embed,MLP6,0.1190755573620605,0.11856091578086672
MLP11,L12H6,0.11807719556599695,0.11774325429272281
Input Embed,MLP5,0.11796187528168728,0.12019623875715454
Input Embed,MLP11,0.11708384670709487,0.11365494685200327
MLP13,L16H8,0.11670350056888958,0.11937857726901063
MLP20,L21H12,0.115703064050718,0.116107931316435
Input Embed,L9H3,0.11374481418526086,0.11201962387571546
MLP17,MLP27,0.11345181558159938,0.11201962387571546
Input Embed,MLP3,0.10813437338827106,0.10874897792313983
Input Embed,MLP4,0.10449249939100658,0.10384300899427637
L17H8,MLP18,0.10296669222913907,0.10220768601798855
MLP13,MLP16,0.10282986580351755,0.10384300899427637
MLP13,L16H4,0.1016228996764369,0.10302534750613246
L16H8,MLP19,0.09916825417137434,0.10139002452984465
L13H3,MLP16,0.09704184727630641,0.09893704006541292
MLP17,MLP20,0.09540254683579527,0.09484873262469337
MLP19,MLP20,0.09535191726721165,0.09403107113654947
L17H12,MLP19,0.09499764611092067,0.09811937857726902
L21H1,L24H6,0.09305910558222018,0.09157808667211774
Input Embed,L11H1,0.0902859774602142,0.08830744071954211
L16H8,MLP27,0.09018786819638493,0.08912510220768602
MLP12,MLP13,0.08876823158479093,0.08912510220768602
Input Embed,MLP2,0.08766368565733065,0.08912510220768602
L17H2,MLP18,0.08563376756303673,0.08421913327882256
L17H2,MLP27,0.0845621860500402,0.08421913327882256
L11H1,MLP16,0.08437811596173032,0.08176614881439084
L9H3,MLP12,0.0843765082379236,0.08340147179067865
MLP12,L13H3,0.08206179271312138,0.08830744071954211
Input Embed,MLP1,0.07894911502782827,0.07849550286181521
L16H4,MLP27,0.0775424592113693,0.07686017988552739
MLP11,L13H9,0.07635435880458503,0.07440719542109567
MLP12,MLP17,0.07613789726143563,0.07686017988552739
MLP18,L21H12,0.07592609665621289,0.07849550286181521
Input Embed,MLP0,0.07570396301762079,0.07522485690923958
L21H1,L23H6,0.07497920265749305,0.07358953393295176
L17H12,MLP27,0.07394769808038325,0.07277187244480784
MLP12,L16H9,0.0726600899996096,0.07031888798037612
L10H2,MLP11,0.07249365852649153,0.07113654946852004
MLP16,MLP18,0.07099238694433213,0.07031888798037612
L12H6,MLP13,0.06887153947796727,0.07113654946852004
MLP12,L17H2,0.06780399464023681,0.07113654946852004
L16H4,L17H2,0.06615916533808253,0.0678659035159444
MLP18,L23H6,0.06471358913713346,0.06377759607522486
MLP11,L16H9,0.06402540900673717,0.06132461161079313
L20H5,L21H1,0.06364791126343083,0.06295993458708095
MLP20,L21H1,0.06352306259110585,0.06295993458708095
MLP11,L17H8,0.06312470045660556,0.06214227309893704
MLP20,L23H6,0.06276558020790121,0.06377759607522486
MLP18,L24H6,0.062401800249308303,0.06214227309893704
L10H2,MLP12,0.06205598872300427,0.06377759607522486
Input Embed,MLP12,0.061925727448477554,0.06132461161079313
MLP5,L12H6,0.06146637652992182,0.06541291905151267
L15H5,MLP17,0.0614570769994461,0.059689288634505316
Input Embed,MLP10,0.061027714509734585,0.0580539656582175
L15H9,MLP16,0.06034032122704493,0.059689288634505316
MLP13,L17H8,0.05990534786610063,0.06214227309893704
L16H8,L17H12,0.05989071738263844,0.06214227309893704
