role,head,variant,set,n_samples,mass_median
no_tool_reader,L16H4,clean_full,tools_block,1223,0.022992979735136032
no_tool_reader,L16H4,clean_full,tools_payload,1223,1.2491119605329004e-06
no_tool_reader,L16H4,clean_full,tool_call_tags,1223,0.00013979154755361378
no_tool_reader,L16H4,clean_full,protocol_payload,1223,nan
no_tool_reader,L16H4,clean_full,user_block,1223,0.4542086124420166
no_tool_reader,L16H4,clean_full,prefix_16,1223,0.12176008522510529
no_tool_reader,L16H4,clean_no_protocol,tools_block,1223,0.014856748282909393
no_tool_reader,L16H4,clean_no_protocol,tools_payload,1223,4.632292416317796e-07
no_tool_reader,L16H4,clean_no_protocol,tool_call_tags,1223,2.6549812901066616e-05
no_tool_reader,L16H4,clean_no_protocol,protocol_payload,1223,0.0018505898769944906
no_tool_reader,L16H4,clean_no_protocol,user_block,1223,0.4925088882446289
no_tool_reader,L16H4,clean_no_protocol,prefix_16,1223,0.07368128001689911
no_tool_reader,L16H4,clean_no_schema,tools_block,1223,0.007413010578602552
no_tool_reader,L16H4,clean_no_schema,tools_payload,1223,3.636568635556614e-06
no_tool_reader,L16H4,clean_no_schema,tool_call_tags,1223,0.00017331569688394666
no_tool_reader,L16H4,clean_no_schema,protocol_payload,1223,nan
no_tool_reader,L16H4,clean_no_schema,user_block,1223,0.4273217022418976
no_tool_reader,L16H4,clean_no_schema,prefix_16,1223,0.11189563572406769
no_tool_reader,L16H4,clean_schema_mismatch,tools_block,1223,0.02072174660861492
no_tool_reader,L16H4,clean_schema_mismatch,tools_payload,1223,9.292867275689787e-07
no_tool_reader,L16H4,clean_schema_mismatch,tool_call_tags,1223,0.00011247169459238648
no_tool_reader,L16H4,clean_schema_mismatch,protocol_payload,1223,nan
no_tool_reader,L16H4,clean_schema_mismatch,user_block,1223,0.5078926086425781
no_tool_reader,L16H4,clean_schema_mismatch,prefix_16,1223,0.11547604203224182
no_tool_reader,L16H4,corrupt_full,tools_block,1223,0.01803622581064701
no_tool_reader,L16H4,corrupt_full,tools_payload,1223,9.71420490714081e-07
no_tool_reader,L16H4,corrupt_full,tool_call_tags,1223,0.00013548538845498115
no_tool_reader,L16H4,corrupt_full,protocol_payload,1223,nan
no_tool_reader,L16H4,corrupt_full,user_block,1223,0.5111037492752075
no_tool_reader,L16H4,corrupt_full,prefix_16,1223,0.11597379297018051
query_reader,L2H14,clean_full,tools_block,1223,0.14624947309494019
query_reader,L2H14,clean_full,tools_payload,1223,0.0010635892394930124
query_reader,L2H14,clean_full,tool_call_tags,1223,0.0032644453458487988
query_reader,L2H14,clean_full,protocol_payload,1223,nan
query_reader,L2H14,clean_full,user_block,1223,0.30841678380966187
query_reader,L2H14,clean_full,prefix_16,1223,0.14020457863807678
query_reader,L2H14,clean_no_protocol,tools_block,1223,0.14790047705173492
query_reader,L2H14,clean_no_protocol,tools_payload,1223,0.0010618717642500997
query_reader,L2H14,clean_no_protocol,tool_call_tags,1223,0.002612549811601639
query_reader,L2H14,clean_no_protocol,protocol_payload,1223,0.033622466027736664
query_reader,L2H14,clean_no_protocol,user_block,1223,0.2991091310977936
query_reader,L2H14,clean_no_protocol,prefix_16,1223,0.13824863731861115
query_reader,L2H14,clean_no_schema,tools_block,1223,0.04863574355840683
query_reader,L2H14,clean_no_schema,tools_payload,1223,0.0014607738703489304
query_reader,L2H14,clean_no_schema,tool_call_tags,1223,0.0039199525490403175
query_reader,L2H14,clean_no_schema,protocol_payload,1223,nan
query_reader,L2H14,clean_no_schema,user_block,1223,0.33955875039100647
query_reader,L2H14,clean_no_schema,prefix_16,1223,0.1657889187335968
query_reader,L2H14,clean_schema_mismatch,tools_block,1223,0.1493876874446869
query_reader,L2H14,clean_schema_mismatch,tools_payload,1223,0.0010822652839124203
query_reader,L2H14,clean_schema_mismatch,tool_call_tags,1223,0.0031988280825316906
query_reader,L2H14,clean_schema_mismatch,protocol_payload,1223,nan
query_reader,L2H14,clean_schema_mismatch,user_block,1223,0.30753272771835327
query_reader,L2H14,clean_schema_mismatch,prefix_16,1223,0.1427549123764038
query_reader,L2H14,corrupt_full,tools_block,1223,0.1381416916847229
query_reader,L2H14,corrupt_full,tools_payload,1223,0.0010098255006596446
query_reader,L2H14,corrupt_full,tool_call_tags,1223,0.0031105452217161655
query_reader,L2H14,corrupt_full,protocol_payload,1223,nan
query_reader,L2H14,corrupt_full,user_block,1223,0.35471785068511963
query_reader,L2H14,corrupt_full,prefix_16,1223,0.13110356032848358
schema_reader,L21H12,clean_full,tools_block,1223,0.2468455731868744
schema_reader,L21H12,clean_full,tools_payload,1223,0.024572210386395454
schema_reader,L21H12,clean_full,tool_call_tags,1223,0.01470789685845375
