family,n_samples,promote_source_ratio_median,promote_blocked_ratio_median,promote_mediated_ratio_median,suppress_source_ratio_median,suppress_blocked_ratio_median,suppress_mediated_ratio_median
symmetric_backbone->symmetric_backbone (no_tool_bias),1223,0.9940676867219918,0.0,0.9940676867219918,0.9857758620689655,0.0,0.9857758620689655
symmetric_backbone->symmetric_backbone (shared),1223,0.9940676867219918,0.0,0.9940676867219918,0.9857758620689655,0.0,0.9857758620689655
tool_bias_backbone->tool_bias_backbone (tool_bias),1223,0.9646493212669683,0.0,0.9646493212669683,0.8674812030075187,0.0,0.8674812030075187
no_tool_bias_backbone->no_tool_bias_backbone (no_tool_bias),1223,0.8862179487179487,0.0,0.8862179487179487,0.7981927710843374,0.0,0.7981927710843374
no_tool_bias_backbone->symmetric_backbone (no_tool_bias),1223,0.8862179487179487,0.16225165562913907,0.701171875,0.7981927710843374,0.18719211822660098,0.5974025974025975
tool_bias_backbone->symmetric_backbone (shared),1223,0.9646493212669683,0.4700854700854701,0.4682539682539683,0.8674812030075187,0.37267080745341613,0.46916299559471364
tool_bias_backbone->symmetric_backbone (tool_bias),1223,0.9646493212669683,0.4700854700854701,0.4682539682539683,0.8674812030075187,0.37267080745341613,0.46916299559471364
no_tool_bias_backbone->tool_bias_backbone (no_tool_bias),1223,0.8862179487179487,0.4726027397260274,0.3694029850746269,0.7981927710843374,0.42452830188679247,0.3396551724137931
symmetric_backbone->tool_bias_backbone (shared),1223,0.9940676867219918,0.9746621621621622,0.017770922746781048,0.9857758620689655,0.9671242774566474,0.01622854077253222
symmetric_backbone->tool_bias_backbone (no_tool_bias),1223,0.9940676867219918,0.9746621621621622,0.017770922746781048,0.9857758620689655,0.9671242774566474,0.01622854077253222
symmetric_backbone->tool_bias_backbone (tool_bias),1223,0.9940676867219918,0.9746621621621622,0.017770922746781048,0.9857758620689655,0.9671242774566474,0.01622854077253222
