source,target,forward_support,reverse_support,shared_support_min,union_support_max,support_delta_reverse_minus_forward,direction_balance
MLP27,Residual Output: decision,0.9991336471252141,0.9987014951131101,0.9987014951131101,0.9991336471252141,-0.00043215201210400345,-0.00021631014640168518
L24H6,Residual Output: decision,0.9760582883418013,0.9940456974954627,0.9760582883418013,0.9940456974954627,0.01798740915366137,0.009130182611156435
L23H6,Residual Output: decision,0.9942720313942044,0.8615589190697435,0.8615589190697435,0.9942720313942044,-0.13271311232446092,-0.07151142311280204
L21H12,MLP27,0.6710295822785123,0.7107034032644163,0.6710295822785123,0.7107034032644163,0.039673820985903996,0.028713088129914507
L24H6,MLP27,0.6690822692484475,0.9727802217633473,0.6690822692484475,0.9727802217633473,0.30369795251489984,0.18497161252995462
MLP19,L21H12,0.6551176077571629,0.5970406484429376,0.5970406484429376,0.6551176077571629,-0.058076959314225296,-0.046381484949410696
MLP16,MLP17,0.45475191932730497,0.6071139610963263,0.45475191932730497,0.6071139610963263,0.15236204176902135,0.1434852033368249
MLP17,L21H12,0.44253809663720817,0.5867478907400285,0.44253809663720817,0.5867478907400285,0.14420979410282037,0.14010663301682258
L21H1,MLP27,0.40294003766906955,0.4082041371061881,0.40294003766906955,0.4082041371061881,0.00526409943711853,0.006489721064170922
MLP17,MLP19,0.4020544800277222,0.5928365841449019,0.4020544800277222,0.5928365841449019,0.19078210411717972,0.19176180286214434
MLP16,L17H8,0.4007821527476944,0.4697037465669286,0.4007821527476944,0.4697037465669286,0.06892159381923418,0.07917600259062163
MLP19,L21H1,0.6251361723041999,0.3848761315507859,0.3848761315507859,0.6251361723041999,-0.240260040753414,-0.23787833062666308
MLP17,L21H1,0.4086870786730908,0.374175875809605,0.374175875809605,0.4086870786730908,-0.0345112028634858,-0.04408332603538546
MLP16,MLP19,0.31589035862954773,0.3322570643183704,0.31589035862954773,0.3322570643183704,0.016366705688822647,0.025251517030466995
MLP19,L20H5,0.31014646668002827,0.3427600382220291,0.31014646668002827,0.3427600382220291,0.03261357154200084,0.04995136561994157
L23H6,MLP27,0.3058531534738389,0.32187687338386606,0.3058531534738389,0.32187687338386606,0.016023719910027157,0.02552645122018266
L21H12,L23H6,0.9668572852467492,0.28592824865791444,0.28592824865791444,0.9668572852467492,-0.6809290365888347,-0.5435320078022653
