head,family,span,attn_mass_median,attn_density_median,n_tokens_median
L16H4,no_tool,file_target,0.006476794835180044,0.003238397417590022,2.0
L16H4,no_tool,function_body_anchor,0.013544255867600441,0.0067721279338002205,2.0
L16H4,no_tool,lead_phrase,0.014144723303616047,0.005769695155322552,2.0
L16H4,no_tool,tail_suffix,0.10683314502239227,0.009712103754281998,11.0
L16H4,no_tool,task_body,0.28641843795776367,0.0037548791151493788,75.0
L23H6,no_tool,file_target,0.0010648159077391028,0.0005324079538695514,2.0
L23H6,no_tool,function_body_anchor,0.0005965674063190818,0.0002982837031595409,2.0
L23H6,no_tool,lead_phrase,0.00042075745295733213,0.00016794029215816408,2.0
L23H6,no_tool,tail_suffix,0.004082322586327791,0.00037112022982910275,11.0
L23H6,no_tool,task_body,0.035323429852724075,0.0004740922013297677,75.0
