source,target,source_group,target_group,forward_support,reverse_support,shared_support_min,union_support_max,direction_balance,sign
MLP27,Residual Output: decision,symmetric_backbone,output,0.9991336471252141,0.9987014951131101,0.9987014951131101,0.9991336471252141,-0.00021631014640168518,shared
L24H6,Residual Output: decision,symmetric_backbone,output,0.9760582883418013,0.9940456974954627,0.9760582883418013,0.9940456974954627,0.009130182611156435,shared
L23H6,Residual Output: decision,tool_bias_backbone,output,0.9942720313942044,0.8615589190697435,0.8615589190697435,0.9942720313942044,-0.07151142311280204,shared
L21H12,MLP27,tool_bias_backbone,symmetric_backbone,0.6710295822785123,0.7107034032644163,0.6710295822785123,0.7107034032644163,0.028713088129914507,shared
L24H6,MLP27,symmetric_backbone,symmetric_backbone,0.6690822692484475,0.9727802217633473,0.6690822692484475,0.9727802217633473,0.18497161252995462,no_tool_bias
MLP19,L21H12,symmetric_backbone,tool_bias_backbone,0.6551176077571629,0.5970406484429376,0.5970406484429376,0.6551176077571629,-0.046381484949410696,shared
MLP16,MLP17,symmetric_backbone,no_tool_bias_backbone,0.45475191932730497,0.6071139610963263,0.45475191932730497,0.6071139610963263,0.1434852033368249,no_tool_bias
MLP17,L21H12,no_tool_bias_backbone,tool_bias_backbone,0.44253809663720817,0.5867478907400285,0.44253809663720817,0.5867478907400285,0.14010663301682258,no_tool_bias
L21H1,MLP27,tool_bias_backbone,symmetric_backbone,0.40294003766906955,0.4082041371061881,0.40294003766906955,0.4082041371061881,0.006489721064170922,shared
MLP17,MLP19,no_tool_bias_backbone,symmetric_backbone,0.4020544800277222,0.5928365841449019,0.4020544800277222,0.5928365841449019,0.19176180286214434,no_tool_bias
MLP16,L17H8,symmetric_backbone,symmetric_backbone,0.4007821527476944,0.4697037465669286,0.4007821527476944,0.4697037465669286,0.07917600259062163,shared
MLP19,L21H1,symmetric_backbone,tool_bias_backbone,0.6251361723041999,0.3848761315507859,0.3848761315507859,0.6251361723041999,-0.23787833062666308,tool_bias
MLP17,L21H1,no_tool_bias_backbone,tool_bias_backbone,0.4086870786730908,0.374175875809605,0.374175875809605,0.4086870786730908,-0.04408332603538546,shared
MLP16,MLP19,symmetric_backbone,symmetric_backbone,0.31589035862954773,0.3322570643183704,0.31589035862954773,0.3322570643183704,0.025251517030466995,shared
MLP19,L20H5,symmetric_backbone,symmetric_backbone,0.31014646668002827,0.3427600382220291,0.31014646668002827,0.3427600382220291,0.04995136561994157,shared
L23H6,MLP27,tool_bias_backbone,symmetric_backbone,0.3058531534738389,0.32187687338386606,0.3058531534738389,0.32187687338386606,0.02552645122018266,shared
L21H12,L23H6,tool_bias_backbone,tool_bias_backbone,0.9668572852467492,0.28592824865791444,0.28592824865791444,0.9668572852467492,-0.5435320078022653,tool_bias
L23H6,L24H6,tool_bias_backbone,symmetric_backbone,0.9181655112221915,0.28292495684350943,0.28292495684350943,0.9181655112221915,-0.5288865171011696,tool_bias
L17H8,MLP19,symmetric_backbone,symmetric_backbone,0.2424393414367111,0.26902223887601734,0.2424393414367111,0.26902223887601734,0.051974377866373433,shared
MLP16,L21H12,symmetric_backbone,tool_bias_backbone,0.22031275886672516,0.25111109950475796,0.22031275886672516,0.25111109950475796,0.06533046660901841,shared
L16H8,MLP17,no_tool_bias_backbone,no_tool_bias_backbone,0.20287632368667685,0.6098930192547963,0.20287632368667685,0.6098930192547963,0.5007776180325596,no_tool_bias
L21H12,L24H6,tool_bias_backbone,symmetric_backbone,0.6586688198752297,0.20031626569666694,0.20031626569666694,0.6586688198752297,-0.5335978026596352,tool_bias
MLP17,L20H5,no_tool_bias_backbone,symmetric_backbone,0.18894770438131644,0.4055796262409776,0.18894770438131644,0.4055796262409776,0.36437672534400006,no_tool_bias
MLP11,MLP16,tool_bias_backbone,symmetric_backbone,0.24839308111935127,0.18265550418997853,0.18265550418997853,0.24839308111935127,-0.15250618879121952,tool_bias
