sample_id,sample_rank,q_index,filename,status,clean_obj,corrupt_obj,gap,detailed_ratio_vs_gap,necessity_ratio_vs_gap,rough_ratio_vs_gap,rough_necessity_ratio_vs_gap,probe_head,target_token_str,distractor_token_str,ap_mode,error
codecontests_cpp_1,1,,codecontests_cpp_1.txt,ok,0.0,-6.625,6.625,0.999793862396816,0.7735849056603774,0.999534750884434,0.6698113207547169,L21H1,<tool_call>,I,full,
codecontests_java_1,2,,codecontests_java_1.txt,ok,0.0,-12.6875,12.6875,0.9999806070562653,0.9950738916256158,0.9999079962669335,0.916256157635468,L21H12,<tool_call>,I,full,
codecontests_java_2,3,,codecontests_java_2.txt,ok,0.0,-6.75,6.75,0.9999090124059606,0.8657407407407407,0.9993444372106481,0.7222222222222222,L21H12,<tool_call>,I,full,
codecontests_cpp_3,4,,codecontests_cpp_3.txt,ok,0.0,-3.8125,3.8125,0.9997178374743853,1.0901639344262295,0.9997658651383197,1.040983606557377,L21H1,<tool_call>,I,full,
codecontests_java_3,5,,codecontests_java_3.txt,ok,0.0,-9.25,9.25,0.99998309161212,1.0135135135135136,0.9998779296875,0.8614864864864865,L21H12,<tool_call>,I,full,
mbpp_python_4,6,,mbpp_python_4.txt,ok,0.0,-4.84375,4.84375,0.9993258568548387,1.064516129032258,0.9986706149193548,0.9290322580645162,L21H1,<tool_call>,I,full,
apps_python_5,7,,apps_python_5.txt,ok,0.0,-5.34375,5.34375,0.9996359306469298,1.0,0.9971902412280702,0.8128654970760234,L21H1,<tool_call>,I,full,
codecontests_java_6,8,,codecontests_java_6.txt,ok,0.0,-9.625,9.625,0.9998319551542207,0.974025974025974,0.9983766233766234,0.922077922077922,L21H12,<tool_call>,I,full,
codecontests_java_7,9,,codecontests_java_7.txt,ok,0.0,-6.375,6.375,0.9997630399816176,0.9019607843137255,0.9997008080575981,0.9166666666666666,L21H12,<tool_call>,I,full,
apps_python_8,10,,apps_python_8.txt,ok,0.0,-3.265625,3.265625,0.9990374551435407,0.8564593301435407,0.9885616028708134,0.7799043062200957,L21H12,<tool_call>,I,full,
apps_python_9,11,,apps_python_9.txt,ok,0.0,-3.296875,3.296875,0.9999623954013626,1.028436018957346,0.9950014810426541,0.7440758293838863,L21H1,<tool_call>,I,full,
codecontests_cpp_9,12,,codecontests_cpp_9.txt,ok,0.0,-3.46875,3.46875,0.9998306411880631,1.009009009009009,0.9998938758094031,1.0945945945945945,L21H12,<tool_call>,I,full,
codecontests_java_9,13,,codecontests_java_9.txt,ok,0.0,-9.1875,9.1875,0.9997442336309523,0.9183673469387755,0.9975818452380952,0.7721088435374149,L21H12,<tool_call>,I,full,
apps_python_10,14,,apps_python_10.txt,ok,0.0,-2.015625,2.015625,0.9995249666908915,1.1627906976744187,0.9999361259992733,1.0077519379844961,L21H1,<tool_call>,I,full,
codecontests_java_11,15,,codecontests_java_11.txt,ok,0.0,-6.5,6.5,0.9973707932692307,0.8894230769230769,0.9915489783653846,0.75,L21H12,<tool_call>,I,full,
humaneval_python_11,16,,humaneval_python_11.txt,ok,0.0,-4.84375,4.84375,0.9998810798891129,0.967741935483871,0.9980972782258064,0.9290322580645162,L21H1,<tool_call>,I,full,
mbpp_python_11,17,,mbpp_python_11.txt,ok,0.0,-3.09375,3.09375,0.9999340327099117,1.0656565656565657,0.9790088383838383,0.8383838383838383,L21H1,<tool_call>,I,full,
codecontests_cpp_12,18,,codecontests_cpp_12.txt,ok,0.0,-2.21875,2.21875,0.9998504208846831,0.897887323943662,0.994690801056338,0.7112676056338029,L21H12,<tool_call>,I,full,
codecontests_java_13,19,,codecontests_java_13.txt,ok,0.0,-7.625,7.625,0.9993796426741803,1.180327868852459,0.9996618051997951,1.0819672131147542,L21H12,<tool_call>,I,full,
apps_python_14,20,,apps_python_14.txt,ok,0.0,-4.3125,4.3125,0.9992428102355072,1.1376811594202898,0.9996921705163043,0.9057971014492754,L21H1,<tool_call>,I,full,
codecontests_cpp_14,21,,codecontests_cpp_14.txt,ok,0.0,-5.75,5.75,0.9998958421790082,0.9945652173913043,0.9989438264266305,0.8967391304347826,L21H12,<tool_call>,The,full,
codecontests_java_14,22,,codecontests_java_14.txt,ok,0.0,-8.125,8.125,0.9998868502103365,0.9307692307692308,0.9994027944711539,0.8653846153846154,L21H12,<tool_call>,I,full,
codecontests_cpp_15,23,,codecontests_cpp_15.txt,ok,0.0,-3.015625,3.015625,0.9994004007448186,0.9689119170984456,0.9970247733160622,0.8704663212435233,L21H12,<tool_call>,I,full,
codecontests_cpp_16,24,,codecontests_cpp_16.txt,ok,0.0,-3.65625,3.65625,0.9997464693509616,1.017094017094017,0.9961271367521367,0.8888888888888888,L21H12,<tool_call>,I,full,
codecontests_java_16,25,,codecontests_java_16.txt,ok,0.0,-4.15625,4.15625,0.999931622268562,0.9699248120300752,0.9996016652960527,0.9360902255639098,L21H12,<tool_call>,I,full,
codecontests_cpp_17,26,,codecontests_cpp_17.txt,ok,0.0,-3.71875,3.71875,0.9995568539915967,0.9369747899159664,0.9971441701680672,0.8613445378151261,L21H12,<tool_call>,I,full,
