source_group,target_group,sign,n_edges,support_median,top_edges
tool_schema_readers,suppression_readers,tool_bias,2,0.9668572852467492,L21H12->L23H6 (0.967) | L21H1->L23H6 (0.870)
suppression_readers,arbitration_integrators,tool_bias,1,0.9181655112221915,L23H6->L24H6 (0.918)
tool_schema_readers,arbitration_integrators,tool_bias,2,0.6586688198752297,L21H12->L24H6 (0.659) | L21H1->L24H6 (0.397)
tool_schema_readers,no_tool_writers,no_tool_bias,1,0.6098930192547963,L16H8->MLP17 (0.610)
arbitration_integrators,no_tool_writers,no_tool_bias,1,0.6071139610963263,MLP16->MLP17 (0.607)
no_tool_writers,suppression_readers,no_tool_bias,2,0.5379207936065118,MLP17->L23H6 (0.538) | MLP12->L16H4 (0.273)
arbitration_integrators,arbitration_integrators,no_tool_bias,4,0.4986464747056862,L24H6->MLP27 (0.973) | MLP19->L24H6 (0.499) | L20H5->MLP27 (0.336) | MLP16->L24H6 (0.243)
arbitration_integrators,suppression_readers,no_tool_bias,2,0.4975182430740267,MLP19->L23H6 (0.498) | MLP16->L23H6 (0.229)
arbitration_integrators,tool_schema_readers,shared,3,0.4697037465669286,MLP19->L21H12 (0.655) | MLP16->L17H8 (0.470) | MLP16->L21H12 (0.251)
suppression_readers,no_tool_writers,no_tool_bias,1,0.4113800923525468,L16H4->MLP17 (0.411)
no_tool_writers,tool_schema_readers,shared,1,0.4086870786730908,MLP17->L21H1 (0.409)
tool_schema_readers,arbitration_integrators,shared,3,0.4082041371061881,L21H12->MLP27 (0.711) | L21H1->MLP27 (0.408) | L17H8->MLP19 (0.269)
no_tool_writers,arbitration_integrators,no_tool_bias,5,0.4055796262409776,MLP17->MLP19 (0.593) | MLP17->L24H6 (0.559) | MLP17->L20H5 (0.406) | MLP12->MLP16 (0.254)
arbitration_integrators,tool_schema_readers,tool_bias,4,0.3897521558643775,MLP19->L21H1 (0.625) | L20H5->L21H12 (0.390) | L20H5->L21H1 (0.356) | MLP16->L21H1 (0.202)
arbitration_integrators,arbitration_integrators,shared,4,0.3322570643183704,MLP19->L20H5 (0.343) | MLP16->MLP19 (0.332) | L13H9->MLP16 (0.153) | L12H6->MLP16 (0.129)
suppression_readers,arbitration_integrators,shared,2,0.32187687338386606,L23H6->MLP27 (0.322) | L18H14->MLP19 (0.130)
arbitration_integrators,tool_schema_readers,no_tool_bias,1,0.30009418483057904,MLP16->L17H2 (0.300)
no_tool_writers,tool_schema_readers,no_tool_bias,3,0.29965684563577605,MLP17->L21H12 (0.587) | MLP12->L16H8 (0.300) | MLP12->L17H8 (0.147)
no_tool_writers,suppression_readers,tool_bias,1,0.2648512666400386,MLP17->L18H14 (0.265)
tool_call_writers,arbitration_integrators,tool_bias,2,0.24839308111935127,MLP11->MLP16 (0.248) | MLP11->L12H6 (0.229)
arbitration_integrators,suppression_readers,tool_bias,1,0.2247341181368313,MLP16->L18H14 (0.225)
tool_schema_readers,tool_schema_readers,no_tool_bias,2,0.21107736237357858,L16H8->L17H8 (0.211) | L16H8->L17H2 (0.187)
tool_call_writers,suppression_readers,tool_bias,1,0.20163568473789045,MLP21->L23H6 (0.202)
arbitration_integrators,tool_call_writers,tool_bias,2,0.2007925285745781,L20H5->MLP21 (0.201) | MLP19->MLP21 (0.186)
tool_schema_readers,arbitration_integrators,no_tool_bias,2,0.1916426437545904,L17H8->MLP27 (0.192) | L17H2->MLP19 (0.171)
user_query_readers,tool_call_writers,tool_bias,1,0.18811427469565423,L2H14->MLP11 (0.188)
tool_call_writers,suppression_readers,no_tool_bias,1,0.1774363132392164,MLP11->L16H4 (0.177)
tool_call_writers,tool_schema_readers,no_tool_bias,1,0.1734093685328546,MLP11->L16H8 (0.173)
tool_schema_readers,tool_schema_readers,tool_bias,1,0.16888624569433272,L17H8->L21H12 (0.169)
arbitration_integrators,arbitration_integrators,tool_bias,1,0.1630991971589887,MLP16->L20H5 (0.163)
tool_call_writers,tool_schema_readers,tool_bias,1,0.15195172592933726,MLP11->L17H8 (0.152)
tool_call_writers,no_tool_writers,shared,1,0.1446177188087482,MLP11->MLP12 (0.145)
suppression_readers,tool_schema_readers,no_tool_bias,1,0.1275231337974426,L16H4->L17H8 (0.128)
