node,layer,node_type,structural_group,functional_group,functional_label,evidence,promote_strength,suppress_strength,causal_delta,direction_balance,semantic_hint,tools_block_tool_mass,tools_block_delta,tool_call_tags_tool_mass,tool_call_tags_delta,user_block_tool_mass,user_block_no_tool_mass,user_block_delta,prefix_16_delta
L16H8,16,head,no_tool_bias_backbone,tool_schema_readers,Tool-Schema Readers,"reads tools/tags (tools=0.29, tags=0.002)",0.2681827577624255,0.21338912133891214,0.05479363642351337,0.47306687073255344,no-tool-biased router,0.2851102948188782,-0.04998070001602173,0.00150970253162086,0.0005044147837907076,0.399647057056427,0.4453350603580475,0.04568800330162048,0.002800416201353073
L17H2,17,head,no_tool_tail,tool_schema_readers,Tool-Schema Readers,"reads tools/tags (tools=0.15, tags=0.019)",0.2482294359492083,0.16666666666666666,0.08156276928254164,0.32319540629723914,no-tool-tail router,0.14671988785266876,-0.011424630880355835,0.0194843802601099,-0.007247645407915115,0.21964064240455627,0.2805655598640442,0.060924917459487915,0.028537869453430176
L17H8,17,head,symmetric_backbone,tool_schema_readers,Tool-Schema Readers,"reads tools/tags (tools=0.27, tags=0.012)",0.3142857494442144,0.2007042253521127,0.1135815240921017,0.04631985048154321,shared router,0.2688083052635193,-0.04321150481700897,0.012399405241012573,-0.004792983178049326,0.21359743177890778,0.2616879642009735,0.048090532422065735,0.04874721169471741
L21H1,21,head,tool_bias_backbone,tool_schema_readers,Tool-Schema Readers,"reads tools/tags (tools=0.11, tags=0.025)",0.5683799070651406,0.2639593908629442,0.30442051620219646,-0.27617961484818276,format/prefix router,0.10605071485042572,-0.02312590181827545,0.024835869669914246,-0.014902191236615181,0.23320625722408295,0.23598074913024902,0.0027744919061660767,0.17228204011917114
L21H12,21,head,tool_bias_backbone,tool_schema_readers,Tool-Schema Readers,"reads tools/tags (tools=0.25, tags=0.015)",0.7052545809151287,0.3711340206185567,0.334120560296572,-0.07024237212426743,format/prefix router,0.2468455731868744,0.06343391537666321,0.01470789685845375,-0.006194733083248138,0.04887457937002182,0.11540689319372177,0.06653231382369995,0.08758379518985748
L23H5,23,head,tool_tail,tool_schema_readers,Tool-Schema Readers,"reads tools/tags (tools=0.13, tags=0.264)",0.21973121068909954,0.10810810810810811,0.11162310258099142,-0.8991319844276779,format/prefix router,0.13124625384807587,0.01635625958442688,0.2640743851661682,-0.14607089757919312,0.08277014642953873,0.16653352975845337,0.08376338332891464,0.05652350187301636
L2H14,2,head,tool_tail,user_query_readers,User-Query Readers,reads user content on tool endpoint (user=0.31),0.04263581589815527,0.004761904761904762,0.03787391113625051,-0.44311626674908,tool-tail router,0.14624947309494019,-0.008107781410217285,0.0032644453458487988,-0.0001539001241326332,0.30841678380966187,0.35471785068511963,0.046301066875457764,-0.0091010183095932
L15H5,15,head,no_tool_tail,suppression_readers,Suppression Readers,"reads user/prefix more in no-tool mode (d_user=+0.03, d_prefix=+0.00)",0.07113103396419361,0.03597122302158273,0.03515981094261088,0.33504439996449675,no-tool-tail router,0.04180063307285309,-0.009875509887933731,0.00265508983284235,-0.0005758691113442183,0.27878260612487793,0.3041570782661438,0.02537447214126587,0.0038374364376068115
L16H13,16,head,no_tool_tail,suppression_readers,Suppression Readers,"reads user/prefix more in no-tool mode (d_user=+0.06, d_prefix=-0.01)",0.12962962962962962,0.11386138613861387,0.015768243491015757,0.4621163963289544,user-content reader,0.15217819809913635,-0.02007453143596649,0.004268182907253504,0.0006428458727896214,0.2007007896900177,0.2611382007598877,0.060437411069869995,-0.007792264223098755
L16H4,16,head,no_tool_bias_backbone,suppression_readers,Suppression Readers,"reads user/prefix more in no-tool mode (d_user=+0.06, d_prefix=-0.01)",0.2524271844660194,0.19680851063829788,0.05561867382772154,0.3556791177817617,no-tool-biased router,0.022992979735136032,-0.004956753924489021,0.00013979154755361378,-4.306159098632634e-06,0.4542086124420166,0.5111037492752075,0.05689513683319092,-0.005786292254924774
