node,group,group_label,semantic_hint,n_samples,promote_nec_drop_median,suppress_nec_drop_median,promote_nec_top1_drop_mean,suppress_nec_top1_drop_mean,promote_suff_ratio_median,suppress_suff_ratio_median,promote_suff_top1_rate,suppress_suff_top1_rate
MLP19,symmetric_backbone,Symmetric Backbone,shared writer MLP,1223,0.0001112539556962222,-0.001264977331606243,0.0,0.003270645952575634,0.5375722543352601,0.3793969849246231,0.04333605887162715,0.07113654946852004
MLP17,no_tool_bias_backbone,No-Tool-Bias Backbone,no-tool-biased writer MLP,1223,0.00016099128170288246,-0.0010185651881720048,0.0,0.006541291905151268,0.5522388059701493,0.47354497354497355,0.09566639411283728,0.15699100572363042
MLP21,tool_tail,Tool Tail,tool-tail writer MLP,1223,1.894194504314939e-05,-0.0008951822916666297,0.0,0.0008176614881439084,0.40522875816993464,0.14556962025316456,0.003270645952575634,0.008994276369582993
MLP27,symmetric_backbone,Symmetric Backbone,shared writer MLP,1223,7.996078609506796e-05,-0.0006146890862943621,0.005723630417007359,0.0008176614881439084,0.8073394495412844,0.8096846846846847,0.28618152085036797,0.5421095666394112
L23H6,tool_bias_backbone,Tool-Bias Backbone,tool-biased router,1223,1.9463967150579187e-05,-0.00034115720524019455,0.001635322976287817,-0.0008176614881439084,0.5229885057471264,0.28160919540229884,0.02698282910874898,0.017988552739165987
L18H14,tool_tail,Tool Tail,format/prefix router,1223,1.129546722811181e-05,-0.0003074363425925597,0.0008176614881439084,0.0,0.2598870056497175,0.11805555555555555,0.0008176614881439084,0.008176614881439084
MLP16,symmetric_backbone,Symmetric Backbone,shared writer MLP,1223,4.391018435190297e-06,-0.00023519306282726582,0.0008176614881439084,0.007358953393295176,0.5219298245614035,0.4318181818181818,0.07604251839738348,0.11365494685200327
L20H5,symmetric_backbone,Symmetric Backbone,user-content reader,1223,1.346982758620996e-05,-0.00022424768518525262,0.0008176614881439084,0.001635322976287817,0.3048128342245989,0.19424460431654678,0.005723630417007359,0.009811937857726901
L21H12,tool_bias_backbone,Tool-Bias Backbone,format/prefix router,1223,3.070031811380769e-05,-0.00018988715277779011,0.0008176614881439084,0.0008176614881439084,0.7052238805970149,0.3711340206185567,0.1553556827473426,0.0686835650040883
L17H2,no_tool_tail,No-Tool Tail,no-tool-tail router,1223,2.485594598367058e-06,-0.00010975129013768292,0.0008176614881439084,0.0008176614881439084,0.24822695035460993,0.16666666666666666,0.0,0.011447260834014717
L16H8,no_tool_bias_backbone,No-Tool-Bias Backbone,no-tool-biased router,1223,9.395806073175805e-07,-9.721436651588533e-05,0.0008176614881439084,0.0008176614881439084,0.2681818181818182,0.21338912133891214,0.0008176614881439084,0.02698282910874898
MLP12,no_tool_bias_backbone,No-Tool-Bias Backbone,no-tool-biased writer MLP,1223,2.3935355392135094e-06,9.1552734375e-05,0.0,0.0024529844644317253,0.2553191489361702,0.22707423580786026,0.023712183156173343,0.03188879803761243
L16H4,no_tool_bias_backbone,No-Tool-Bias Backbone,no-tool-biased router,1223,0.0,-9.08430232557933e-05,0.0008176614881439084,0.003270645952575634,0.2524271844660194,0.19680851063829788,0.001635322976287817,0.01062959934587081
L21H1,tool_bias_backbone,Tool-Bias Backbone,format/prefix router,1223,3.838689072277468e-06,-7.943331339710369e-05,0.0,0.0,0.5683760683760684,0.2639593908629442,0.05478331970564186,0.033524121013900246
L16H13,no_tool_tail,No-Tool Tail,user-content reader,1223,0.0,-7.167431192656171e-05,0.0008176614881439084,0.0008176614881439084,0.12962962962962962,0.11386138613861387,0.0,0.008994276369582993
L15H5,no_tool_tail,No-Tool Tail,no-tool-tail router,1223,1.3268512228936657e-06,-6.54156698565167e-05,0.0008176614881439084,0.001635322976287817,0.07112970711297072,0.03597122302158273,0.0,0.008994276369582993
L17H8,symmetric_backbone,Symmetric Backbone,shared router,1223,3.515850011126531e-08,-6.1863687782715e-05,0.0,0.0024529844644317253,0.3142857142857143,0.2007042253521127,0.0008176614881439084,0.019623875715453803
MLP11,tool_bias_backbone,Tool-Bias Backbone,tool-biased writer MLP,1223,1.3196790540570547e-05,-2.774325284093937e-05,0.001635322976287817,0.005723630417007359,0.32894736842105265,0.15352697095435686,0.02616516762060507,0.022894521668029435
L13H9,symmetric_backbone,Symmetric Backbone,shared router,1223,1.6563817073489417e-06,-2.3715145937908133e-05,0.0008176614881439084,0.0008176614881439084,0.10552763819095477,0.07058823529411765,0.0,0.0024529844644317253
L2H14,tool_tail,Tool Tail,tool-tail router,1223,1.5698342659131725e-07,-1.3658216783229982e-05,0.0008176614881439084,0.0,0.04263565891472868,0.004761904761904762,0.0,0.001635322976287817
L23H5,tool_tail,Tool Tail,format/prefix router,1223,2.689850636672375e-07,-9.574142156854037e-06,0.0008176614881439084,-0.0008176614881439084,0.21973094170403587,0.10810810810810811,0.0,0.004088307440719542
L24H6,symmetric_backbone,Symmetric Backbone,format/prefix router,1223,0.0,5.250336021500601e-06,0.0008176614881439084,0.003270645952575634,0.5741626794258373,0.4264705882352941,0.004088307440719542,0.09975470155355683
L12H6,symmetric_backbone,Symmetric Backbone,shared router,1223,-4.798041449594059e-06,0.0,0.0,0.0024529844644317253,0.10526315789473684,0.03902439024390244,0.0,0.004088307440719542
L16H9,no_tool_tail,No-Tool Tail,no-tool-tail router,1223,-3.036574938164449e-07,0.0,0.0008176614881439084,0.0,0.08992805755395683,0.06535947712418301,0.0,0.005723630417007359
