variant,component,set,mass_median
clean_full,L16H4,protocol_payload,nan
clean_full,L16H4,tool_call_tags,0.00013979154755361378
clean_full,L16H4,tools_payload,1.2491119605329004e-06
clean_full,L16H4,user_block,0.4542086124420166
clean_full,L20H5,protocol_payload,nan
clean_full,L20H5,tool_call_tags,0.02561616525053978
clean_full,L20H5,tools_payload,0.2042701691389084
clean_full,L20H5,user_block,0.22267387807369232
clean_full,L21H1,protocol_payload,nan
clean_full,L21H1,tool_call_tags,0.024835869669914246
clean_full,L21H1,tools_payload,0.0027089673094451427
clean_full,L21H1,user_block,0.23320625722408295
clean_full,L21H12,protocol_payload,nan
clean_full,L21H12,tool_call_tags,0.01470789685845375
clean_full,L21H12,tools_payload,0.024572210386395454
clean_full,L21H12,user_block,0.04887457937002182
corrupt_full,L16H4,protocol_payload,nan
corrupt_full,L16H4,tool_call_tags,0.00013548538845498115
corrupt_full,L16H4,tools_payload,9.71420490714081e-07
corrupt_full,L16H4,user_block,0.5111037492752075
corrupt_full,L20H5,protocol_payload,nan
corrupt_full,L20H5,tool_call_tags,0.013980429619550705
corrupt_full,L20H5,tools_payload,0.13235683739185333
corrupt_full,L20H5,user_block,0.3696815073490143
corrupt_full,L21H1,protocol_payload,nan
corrupt_full,L21H1,tool_call_tags,0.009933678433299065
corrupt_full,L21H1,tools_payload,0.001994635444134474
corrupt_full,L21H1,user_block,0.23598074913024902
corrupt_full,L21H12,protocol_payload,nan
corrupt_full,L21H12,tool_call_tags,0.008513163775205612
corrupt_full,L21H12,tools_payload,0.025829672813415527
corrupt_full,L21H12,user_block,0.11540689319372177
