stage_idx,stage_label,stage_x,clean_tool_logit_q25,clean_tool_logit_median,clean_tool_logit_q75,corrupt_tool_logit_q25,corrupt_tool_logit_median,corrupt_tool_logit_q75,delta_tool_logit_q25,delta_tool_logit_median,delta_tool_logit_q75,n_samples,tool_token_id
0,0_pre,0.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,0.0,0.0,0.0,1223,151657
1,0_mid,0.5,-3.125,-3.046875,-2.96875,-3.125,-3.0625,-2.96875,-0.015625,0.0,0.015625,1223,151657
2,1_pre,1.0,-2.828125,-2.75,-2.59375,-2.84375,-2.75,-2.609375,-0.015625,0.0,0.015625,1223,151657
3,1_mid,1.5,-2.90625,-2.796875,-2.59375,-2.921875,-2.796875,-2.59375,-0.015625,0.0,0.03125,1223,151657
4,2_pre,2.0,-3.265625,-3.171875,-3.03125,-3.28125,-3.171875,-3.03125,-0.015625,0.0,0.015625,1223,151657
5,2_mid,2.5,-2.90625,-2.796875,-2.625,-2.921875,-2.828125,-2.625,-0.015625,0.015625,0.046875,1223,151657
6,3_pre,3.0,-4.0,-3.9375,-3.75,-4.03125,-3.9375,-3.75,-0.03125,0.0,0.03125,1223,151657
7,3_mid,3.5,-5.28125,-5.21875,-5.03125,-5.28125,-5.21875,-5.03125,-0.03125,0.0,0.03125,1223,151657
8,4_pre,4.0,-5.28125,-5.25,-5.1875,-5.28125,-5.25,-5.1875,-0.03125,0.0,0.03125,1223,151657
9,4_mid,4.5,-4.71875,-4.6875,-4.625,-4.75,-4.6875,-4.65625,-0.03125,0.03125,0.0625,1223,151657
10,5_pre,5.0,-4.84375,-4.8125,-4.75,-4.875,-4.8125,-4.78125,-0.03125,0.03125,0.0625,1223,151657
11,5_mid,5.5,-5.15625,-5.09375,-5.0625,-5.1875,-5.125,-5.0625,0.0,0.03125,0.0625,1223,151657
12,6_pre,6.0,-4.90625,-4.8125,-4.75,-4.875,-4.78125,-4.71875,-0.0625,-0.03125,0.03125,1223,151657
13,6_mid,6.5,-4.78125,-4.65625,-4.5625,-4.75,-4.59375,-4.515625,-0.09375,-0.0625,0.0,1223,151657
14,7_pre,7.0,-4.4375,-4.34375,-4.28125,-4.4375,-4.34375,-4.25,-0.0625,-0.03125,0.03125,1223,151657
15,7_mid,7.5,-4.3125,-4.1875,-4.125,-4.296875,-4.15625,-4.0625,-0.0625,-0.03125,0.0,1223,151657
16,8_pre,8.0,-5.53125,-5.25,-5.171875,-5.5,-5.25,-5.15625,-0.0625,-0.03125,0.03125,1223,151657
17,8_mid,8.5,-5.21875,-5.03125,-4.9375,-5.21875,-4.96875,-4.875,-0.09375,-0.03125,0.0,1223,151657
18,9_pre,9.0,-5.46875,-5.40625,-5.34375,-5.46875,-5.375,-5.3125,-0.0625,-0.03125,0.03125,1223,151657
19,9_mid,9.5,-5.65625,-5.59375,-5.515625,-5.6875,-5.625,-5.53125,-0.03125,0.03125,0.0625,1223,151657
20,10_pre,10.0,-6.5,-6.40625,-6.25,-6.5625,-6.46875,-6.3125,0.0,0.0625,0.125,1223,151657
21,10_mid,10.5,-7.03125,-6.9375,-6.8125,-7.09375,-7.03125,-6.875,0.03125,0.0625,0.125,1223,151657
22,11_pre,11.0,-7.125,-7.03125,-6.9375,-7.15625,-7.0625,-6.96875,0.0,0.03125,0.09375,1223,151657
23,11_mid,11.5,-6.84375,-6.71875,-6.625,-6.875,-6.75,-6.625,-0.03125,0.03125,0.0625,1223,151657
24,12_pre,12.0,-7.34375,-7.25,-7.125,-7.34375,-7.25,-7.09375,-0.0625,-0.03125,0.03125,1223,151657
25,12_mid,12.5,-7.890625,-7.78125,-7.625,-7.90625,-7.8125,-7.59375,-0.0625,0.0,0.0625,1223,151657
