step_label,rank,top1_token,count,rate
corrupt_full,1,I,1214,0.9926410466067048
corrupt_full,2,The,5,0.004088307440719542
corrupt_full,3,To,4,0.003270645952575634
plus_L20H5,1,I,1029,0.8413736713000818
plus_L20H5,2,<tool_call>,179,0.1463614063777596
plus_L20H5,3,The,14,0.011447260834014717
plus_L20H5,4,To,1,0.0008176614881439084
plus_L21H1,1,I,619,0.5061324611610794
plus_L21H1,2,<tool_call>,598,0.48896156991005724
plus_L21H1,3,The,5,0.004088307440719542
plus_L21H1,4,To,1,0.0008176614881439084
plus_L21H12,1,<tool_call>,1050,0.8585445625511039
plus_L21H12,2,I,173,0.14145543744889616
plus_L24H6,1,<tool_call>,1135,0.928045789043336
plus_L24H6,2,I,88,0.07195421095666395
plus_MLP19,1,I,1153,0.9427636958299264
plus_MLP19,2,<tool_call>,53,0.04333605887162715
plus_MLP19,3,The,12,0.009811937857726901
plus_MLP19,4,To,5,0.004088307440719542
plus_MLP27,1,<tool_call>,1197,0.9787408013082584
plus_MLP27,2,I,26,0.02125919869174162
