node,layer,n_samples,clean_tool_logit_median,clean_competitor_logit_median,clean_margin_logit_median,corrupt_tool_logit_median,corrupt_competitor_logit_median,corrupt_margin_logit_median,delta_tool_logit_median,delta_competitor_logit_median,delta_margin_logit_median,clean_projection_median,corrupt_projection_median,delta_projection_median
L20H5,20,1223,-0.042724609375,0.061767578125,-0.103271484375,-0.0908203125,0.0322265625,-0.125244140625,0.045654296875,0.0302734375,0.01806640625,-0.06304603815078735,-0.07646399736404419,0.01098567247390747
L21H1,21,1223,0.1572265625,0.06005859375,0.09423828125,0.095703125,0.0225830078125,0.07098388671875,0.06201171875,0.043701171875,0.025390625,0.05733032152056694,0.04304630681872368,0.015561927109956741
L21H12,21,1223,0.173828125,-0.125,0.30224609375,0.13671875,-0.1474609375,0.2861328125,0.03564453125,0.0205078125,0.01611328125,0.1836310774087906,0.17367810010910034,0.009934663772583008
L24H6,24,1223,2.484375,0.236328125,2.2548828125,2.21875,0.205078125,2.0087890625,0.296875,0.03125,0.2568359375,1.368157982826233,1.2190219163894653,0.15645301342010498
L25H10,25,1223,0.51171875,-0.078125,0.5908203125,0.326171875,-0.08544921875,0.419921875,0.181640625,0.00830078125,0.16943359375,0.3591262996196747,0.25516605377197266,0.10236918926239014
L25H13,25,1223,0.45703125,-0.1171875,0.57373046875,0.2734375,-0.03955078125,0.30908203125,0.169921875,-0.07568359375,0.24609375,0.34759920835494995,0.1871597170829773,0.14973290264606476
L26H15,26,1223,0.447265625,0.28515625,0.162109375,0.396484375,0.287109375,0.11328125,0.046875,-0.001953125,0.048828125,0.09825685620307922,0.06836165487766266,0.029083140194416046
L27H7,27,1223,-0.0205078125,-0.0201416015625,-0.00146484375,-0.02734375,-0.05908203125,0.0263671875,0.0059814453125,0.03076171875,-0.0247802734375,-0.0009806044399738312,0.015808627009391785,-0.015052691102027893
MLP19,19,1223,0.06591796875,1.4921875,-1.42626953125,0.10302734375,1.9453125,-1.837890625,-0.0380859375,-0.4296875,0.4111328125,-0.8656600713729858,-1.1152381896972656,0.25029104948043823
MLP24,24,1223,1.03125,1.78125,-0.7734375,0.875,2.28125,-1.41796875,0.125,-0.4765625,0.59375,-0.469413697719574,-0.861335277557373,0.3612574338912964
MLP25,25,1223,1.390625,5.03125,-3.6640625,1.1875,5.96875,-4.7421875,0.1640625,-0.875,1.0234375,-2.2211270332336426,-2.8761205673217773,0.6188616752624512
MLP26,26,1223,3.359375,-0.400390625,3.759765625,3.28125,-0.8828125,4.203125,0.0625,0.48681640625,-0.453125,2.2818241119384766,2.5517992973327637,-0.2745640277862549
MLP27,27,1223,13.5625,2.6875,10.84375,12.9375,3.890625,9.0625,0.5625,-1.109375,1.609375,6.575984001159668,5.497951984405518,0.9723777770996094
