family,config_label,nodes,n_samples,rescue_ratio_median,route_margin_median,tool_logit_median,competitor_logit_median,margin_logit_median,tool_prob_median,tool_top1_rate,boundary_flip_rate
branch,L21H12_L24H6,MLP19|L20H5|L21H12|L24H6,1223,0.9652039007092199,1.13671875,21.5,20.0,1.25,0.73046875,0.83892068683565,0.9231398201144726
branch,L21H12_only,MLP19|L20H5|L21H12,1223,0.9327830188679245,0.640625,21.375,20.625,0.625,0.6171875,0.6729354047424366,0.7473426001635323
branch,L21H1_L24H6,MLP19|L20H5|L21H1|L24H6,1223,0.940251572327044,0.71484375,21.25,20.25,0.75,0.6328125,0.731807031888798,0.8184791496320524
branch,L21H1_only,MLP19|L20H5|L21H1,1223,0.8808900523560209,0.0859375,21.25,21.125,0.0,0.4609375,0.48896156991005724,0.5412919051512673
branch,after_L20H5,MLP19|L20H5,1223,0.6903553299492385,-1.13916015625,20.625,22.0,-1.375,0.171875,0.1463614063777596,0.12510220768601799
branch,both_L21,MLP19|L20H5|L21H1|L21H12,1223,0.9774790502793296,1.3935546875,21.75,20.125,1.5,0.78515625,0.8585445625511039,0.9215044971381848
branch,corrupt_full,,1223,0.0,-4.59375,18.875,24.125,-5.125,0.005157470703125,0.0,0.0
shortcut,MLP19_MLP27_only,MLP19|MLP27,1223,0.930614406779661,0.609375,21.25,20.625,0.625,0.59375,0.6860179885527392,0.7604251839738349
shortcut,MLP19_late_heads,MLP19|L20H5|L21H1|L21H12|L24H6,1223,0.9871152052238806,1.7232818603515625,21.75,19.75,1.875,0.83984375,0.928045789043336,0.9803761242845462
shortcut,MLP19_only,MLP19,1223,0.5375722543352601,-1.93115234375,20.25,22.625,-2.25,0.078125,0.04333605887162715,0.028618152085036794
shortcut,MLP27_only,MLP27,1223,0.8073394495412844,-0.525390625,20.625,21.125,-0.625,0.3046875,0.28618152085036797,0.27309893704006544
shortcut,corrupt_full,,1223,0.0,-4.59375,18.875,24.125,-5.125,0.005157470703125,0.0,0.0
shortcut,full_chain,MLP19|L20H5|L21H1|L21H12|L24H6|MLP27,1223,0.9962957974137931,2.2913818359375,22.25,19.625,2.5,0.90234375,0.9787408013082584,0.9991823385118561
shortcut,late_heads_MLP27,L20H5|L21H1|L21H12|L24H6|MLP27,1223,0.9910451061320755,1.928955078125,22.0,19.75,2.125,0.8671875,0.9394930498773508,0.9934587080948487
shortcut,late_heads_only,L20H5|L21H1|L21H12|L24H6,1223,0.971318493150685,1.2578125,21.5,20.0,1.375,0.76171875,0.8552739165985282,0.9182338511856092
