split,stage_idx,stage_label,display_idx,n_samples,tool_logit_median,tool_logit_p25,tool_logit_p75,delta_from_prev_median
train,0,0_pre,0,1223,-15.0,-15.0,-15.0,nan
train,1,1_pre,1,1223,-2.75,-2.84375,-2.609375,12.25
train,2,2_pre,2,1223,-3.171875,-3.28125,-3.03125,-0.421875
train,3,3_pre,3,1223,-3.9375,-4.03125,-3.75,-0.734375
train,4,4_pre,4,1223,-5.25,-5.28125,-5.1875,-1.3125
train,5,5_pre,5,1223,-4.8125,-4.875,-4.78125,0.4375
train,6,6_pre,6,1223,-4.78125,-4.875,-4.71875,0.03125
train,7,7_pre,7,1223,-4.34375,-4.4375,-4.25,0.46875
train,8,8_pre,8,1223,-5.25,-5.5,-5.15625,-0.9375
train,9,9_pre,9,1223,-5.375,-5.46875,-5.3125,-0.15625
train,10,10_pre,10,1223,-6.46875,-6.5625,-6.3125,-1.0625
train,11,11_pre,11,1223,-7.0625,-7.15625,-6.96875,-0.625
train,12,12_pre,12,1223,-7.25,-7.34375,-7.09375,-0.15625
train,13,13_pre,13,1223,-6.75,-6.875,-6.53125,0.5
train,14,14_pre,14,1223,-7.5625,-7.71875,-7.375,-0.8125
train,15,15_pre,15,1223,-7.53125,-7.6875,-7.40625,0.0
train,16,16_pre,16,1223,-8.5625,-8.75,-8.375,-1.03125
train,17,17_pre,17,1223,-8.875,-9.0,-8.75,-0.25
train,18,18_pre,18,1223,-8.6875,-8.8125,-8.5625,0.1875
train,19,19_pre,19,1223,-8.875,-9.0625,-8.75,-0.25
train,20,20_pre,20,1223,-6.90625,-7.03125,-6.75,1.96875
train,21,21_pre,21,1223,-7.1875,-7.34375,-7.03125,-0.28125
train,22,22_pre,22,1223,-6.3125,-6.5,-6.15625,0.875
train,23,23_pre,23,1223,-5.96875,-6.15625,-5.78125,0.375
train,24,24_pre,24,1223,-4.96875,-5.21875,-4.8125,0.9375
train,25,25_pre,25,1223,-0.236328125,-0.734375,0.09765625,4.70703125
train,26,26_pre,26,1223,1.3359375,0.765625,1.765625,1.576171875
train,27,27_pre,27,1223,4.46875,3.7890625,5.03125,3.1484375
train,28,final_post,28,1223,18.875,17.5,19.75,14.34375
