step_label,rank,top1_token,count,rate
corrupt_full,1,I,1709,0.9924506387921022
corrupt_full,2,To,7,0.0040650406504065045
corrupt_full,3,The,6,0.003484320557491289
plus_L20H5,1,I,1438,0.835075493612079
plus_L20H5,2,<tool_call>,259,0.15040650406504066
plus_L20H5,3,The,22,0.012775842044134728
plus_L20H5,4,To,3,0.0017421602787456446
plus_L21H1,1,<tool_call>,866,0.502903600464576
plus_L21H1,2,I,848,0.4924506387921022
plus_L21H1,3,The,7,0.0040650406504065045
plus_L21H1,4,To,1,0.0005807200929152149
plus_L21H12,1,<tool_call>,1480,0.859465737514518
plus_L21H12,2,I,241,0.13995354239256677
plus_L21H12,3,The,1,0.0005807200929152149
plus_L24H6,1,<tool_call>,1590,0.9233449477351916
plus_L24H6,2,I,131,0.07607433217189315
plus_L24H6,3,The,1,0.0005807200929152149
plus_MLP19,1,I,1618,0.9396051103368177
plus_MLP19,2,<tool_call>,77,0.044715447154471545
plus_MLP19,3,The,18,0.010452961672473868
plus_MLP19,4,To,9,0.005226480836236934
plus_MLP27,1,<tool_call>,1682,0.9767711962833914
plus_MLP27,2,I,40,0.023228803716608595
