node,layer,n_samples,clean_tool_logit_median,clean_competitor_logit_median,clean_margin_logit_median,corrupt_tool_logit_median,corrupt_competitor_logit_median,corrupt_margin_logit_median,delta_tool_logit_median,delta_competitor_logit_median,delta_margin_logit_median,clean_projection_median,corrupt_projection_median,delta_projection_median
L20H5,20,1722,-0.042724609375,0.061767578125,-0.103271484375,-0.09130859375,0.0322265625,-0.12548828125,0.0458984375,0.0302734375,0.01806640625,-0.06298799067735672,-0.07652771845459938,0.01105520874261856
L21H1,21,1722,0.1591796875,0.059326171875,0.09442138671875,0.095703125,0.0224609375,0.07208251953125,0.06201171875,0.04431915283203125,0.025146484375,0.05742316693067551,0.043892985209822655,0.015349766239523888
L21H12,21,1722,0.1748046875,-0.125,0.3017578125,0.13671875,-0.1474609375,0.2861328125,0.03515625,0.0205078125,0.0166015625,0.18334737420082092,0.1737852543592453,0.009955808520317078
L24H6,24,1722,2.484375,0.236328125,2.2548828125,2.21875,0.20556640625,2.0126953125,0.28125,0.03125,0.2548828125,1.3681221008300781,1.2218509316444397,0.1540471911430359
L25H10,25,1722,0.51171875,-0.07763671875,0.59033203125,0.326171875,-0.08544921875,0.419921875,0.18359375,0.00830078125,0.1707763671875,0.35862989723682404,0.25504806637763977,0.10374733805656433
L25H13,25,1722,0.458984375,-0.1181640625,0.57763671875,0.2734375,-0.0400390625,0.31103515625,0.171875,-0.07598876953125,0.24835205078125,0.34995022416114807,0.1884075030684471,0.15069451183080673
L26H15,26,1722,0.447265625,0.28515625,0.162109375,0.3984375,0.287109375,0.11328125,0.046875,-0.001953125,0.0478515625,0.09828058630228043,0.06830115616321564,0.029081720858812332
L27H7,27,1722,-0.0205078125,-0.0203857421875,-0.001220703125,-0.02734375,-0.058837890625,0.0263671875,0.005859375,0.03106689453125,-0.02496337890625,-0.0008337525650858879,0.01565004140138626,-0.015038477256894112
MLP19,19,1722,0.0654296875,1.484375,-1.421875,0.1025390625,1.9375,-1.83642578125,-0.0380859375,-0.4375,0.412109375,-0.8629631698131561,-1.114393174648285,0.2503558099269867
MLP24,24,1722,1.03125,1.78125,-0.76953125,0.875,2.28125,-1.41796875,0.125,-0.48046875,0.59375,-0.46866919100284576,-0.8598976731300354,0.36091795563697815
MLP25,25,1722,1.390625,5.03125,-3.6640625,1.1953125,5.96875,-4.75,0.1640625,-0.875,1.03125,-2.221393585205078,-2.880380392074585,0.6255518198013306
MLP26,26,1722,3.359375,-0.3984375,3.763671875,3.28125,-0.876953125,4.19921875,0.0625,0.4921875,-0.461181640625,2.283379077911377,2.5492011308670044,-0.28047704696655273
MLP27,27,1722,13.5625,2.671875,10.8515625,13.0,3.90625,9.0546875,0.5625,-1.109375,1.625,6.579025506973267,5.494251728057861,0.9785420894622803
