family,config_label,nodes,n_samples,rescue_ratio_median,route_margin_median,tool_logit_median,competitor_logit_median,margin_logit_median,tool_prob_median,tool_top1_rate,boundary_flip_rate
branch,L21H12_L24H6,MLP19|L20H5|L21H12|L24H6,1722,0.9651022658150852,1.142333984375,21.5,20.0,1.25,0.73828125,0.8397212543554007,0.9186991869918699
branch,L21H12_only,MLP19|L20H5|L21H12,1722,0.9337569481800251,0.650390625,21.5,20.625,0.75,0.62109375,0.6829268292682927,0.7531939605110337
branch,L21H1_L24H6,MLP19|L20H5|L21H1|L24H6,1722,0.9405986397407966,0.736328125,21.25,20.25,0.75,0.640625,0.7375145180023229,0.8246225319396051
branch,L21H1_only,MLP19|L20H5|L21H1,1722,0.8839425505050504,0.1171875,21.25,21.125,0.125,0.47265625,0.502903600464576,0.5493612078977933
branch,after_L20H5,MLP19|L20H5,1722,0.694031684174856,-1.09912109375,20.625,22.0,-1.375,0.177734375,0.15040650406504066,0.12833914053426249
branch,both_L21,MLP19|L20H5|L21H1|L21H12,1722,0.9777644651610644,1.431396484375,21.875,20.125,1.5,0.79296875,0.859465737514518,0.9198606271777003
branch,corrupt_full,,1722,0.0,-4.5625,19.0,24.125,-5.0,0.0053863525390625,0.0,0.0
shortcut,MLP19_MLP27_only,MLP19|MLP27,1722,0.9313750000000001,0.63671875,21.25,20.5,0.625,0.60546875,0.6904761904761905,0.7653890824622532
shortcut,MLP19_late_heads,MLP19|L20H5|L21H1|L21H12|L24H6,1722,0.9870050323618009,1.7470703125,21.75,19.75,1.875,0.84375,0.9233449477351916,0.9761904761904762
shortcut,MLP19_only,MLP19,1722,0.537846956964604,-1.923583984375,20.25,22.625,-2.25,0.078125,0.044715447154471545,0.0313588850174216
shortcut,MLP27_only,MLP27,1722,0.8089183087027915,-0.5146484375,20.75,21.125,-0.625,0.310546875,0.2886178861788618,0.27468060394889665
shortcut,corrupt_full,,1722,0.0,-4.5625,19.0,24.125,-5.0,0.0053863525390625,0.0,0.0
shortcut,full_chain,MLP19|L20H5|L21H1|L21H12|L24H6|MLP27,1722,0.996263907744068,2.30084228515625,22.25,19.625,2.5,0.904296875,0.9767711962833914,0.9988385598141696
shortcut,late_heads_MLP27,L20H5|L21H1|L21H12|L24H6|MLP27,1722,0.9910485341706889,1.9571533203125,22.0,19.75,2.125,0.87109375,0.9372822299651568,0.9912891986062717
shortcut,late_heads_only,L20H5|L21H1|L21H12|L24H6,1722,0.9715249775985664,1.27880859375,21.5,20.0,1.375,0.765625,0.8571428571428571,0.9175377468060395
