node,layer,support_weighted,support_unweighted,median_score_norm,mean_score_norm
L23H6,23,0.9990976414610523,0.9991589571068125,0.3517073238516788,0.35951315208028944
MLP27,27,0.9990976414610523,0.9991589571068125,0.5370370370370371,0.5288374870662326
L21H12,21,0.9910117272737091,0.9915895710681245,0.5298728942871094,0.5394960111963274
L24H6,24,0.9866807180013671,0.9873843566021867,0.3872245894866093,0.3861180165438181
L21H1,21,0.9229880554977965,0.9184188393608074,0.38007637582634535,0.38605732487899364
MLP19,19,0.7313243810497828,0.7291841883936081,0.3368421052631579,0.3364974908014362
MLP16,16,0.7191730936766972,0.7132043734230445,0.3565375302663438,0.36580133166188605
MLP17,17,0.68142754506689,0.6761984861227922,0.3706690561529271,0.3781782563907458
L17H8,17,0.5357169301364478,0.5332211942809083,0.2161188851150812,0.2243001932706114
MLP11,11,0.5261628100291569,0.5231286795626577,0.28545642083548217,0.29614026570372964
L20H5,20,0.3813120809736454,0.38772077375946173,0.22389324506123862,0.22604652199845507
L12H6,12,0.3795238819697149,0.38772077375946173,0.11715624809265136,0.12407029257358398
MLP21,21,0.3561417539077627,0.3650126156433978,0.27172650168467527,0.2680219410552793
L16H4,16,0.29994416056677836,0.2994112699747687,0.20072392632321612,0.20909961330949162
MLP12,12,0.2909487407895999,0.2910008410428932,0.2927055702917772,0.2957668171345777
L2H14,2,0.2805469070650332,0.2809083263246426,0.05892045652711546,0.06710108096070819
L16H8,16,0.2508196985887376,0.2514718250630782,0.19317708015441895,0.20756231348627896
L18H14,18,0.2441117262510185,0.2430613961312027,0.200173607578984,0.20163926071358804
L13H9,13,0.22041205079309675,0.223717409587889,0.09342371562624538,0.10038733466732909
MLP18,18,0.21977064217034545,0.2220353238015139,0.3063502673796792,0.308611232730019
L17H2,17,0.2159105603352301,0.216148023549201,0.20052083333333334,0.20575128153353478
MLP13,13,0.19300260535539335,0.1984861227922624,0.2845238095238095,0.2870508800486781
L17H12,17,0.19290434071923632,0.1883936080740118,0.2014460842074392,0.21406040518179928
L13H6,13,0.1698945190390883,0.17073170731707318,0.15142662628837253,0.16242379019966657
L13H3,13,0.14891389733874535,0.14970563498738435,0.09599252713479077,0.10269673471744083
L10H2,10,0.13582424484442,0.13624894869638352,0.10896443669328984,0.11094034794249583
MLP2,2,0.13570210032053956,0.1345668629100084,0.09391534391534391,0.09955574074753051
MLP5,5,0.13245378927250703,0.1328847771236333,0.09130607383882494,0.105199799805965
MLP20,20,0.13036090282525847,0.1328847771236333,0.24452255818715446,0.23824875151337627
L23H5,23,0.12876036546263098,0.13204373423044574,0.16157670454545456,0.1659906321161004
MLP4,4,0.11875089932926748,0.12026913372582002,0.10416666666666667,0.10848196176846261
MLP6,6,0.11638894689058593,0.1152228763666947,0.08196721311475409,0.09838794071523589
L9H3,9,0.10602634734743853,0.10260723296888141,0.12489506121913051,0.12790088552760565
MLP3,3,0.10580190227523915,0.10428931875525652,0.08933057484852963,0.09433241234048365
L13H13,13,0.09094906843326958,0.09167367535744322,0.09438164690707593,0.1057482795100969
MLP9,9,0.09039621747762126,0.08999158957106812,0.21518987341772153,0.21901935930330974
MLP10,10,0.08889186395002482,0.08494533221194281,0.18181818181818182,0.19185417475110905
L11H1,11,0.08866077215208769,0.08662741799831791,0.10189733051118396,0.10850636845422534
L11H9,11,0.08820392649153719,0.08578637510513036,0.1082536152430943,0.11060742251261206
L16H9,16,0.08480544811399716,0.08578637510513036,0.2457864713668823,0.24602035140102257
L11H8,11,0.08279378890903356,0.08242220353238015,0.09499057782892947,0.10105154120413201
L20H14,20,0.08231647866358731,0.07905803195962995,0.2420715997507284,0.2710017677998509
L19H6,19,0.08125109695837758,0.08242220353238015,0.18290198323605367,0.18629067326780654
MLP1,1,0.078336781472618,0.07905803195962995,0.07692307692307693,0.09684009051815741
MLP0,0,0.07413880837601405,0.07401177460050462,0.08353679804673875,0.09211287461754036
L2H15,2,0.07282184604421314,0.07401177460050462,0.05793215289580084,0.06179088735501952
L6H0,6,0.07053273404543818,0.07232968881412952,0.04721063851971474,0.05450496509866928
MLP7,7,0.06620934589126119,0.0672834314550042,0.10687645687645689,0.13166670031473066
L4H15,4,0.063614360651513,0.06476030277544155,0.05258696933962264,0.0558941938832401
L13H10,13,0.06235096431302679,0.05887300252312868,0.1663881637431957,0.17180897980640467
L11H5,11,0.05710262918541176,0.054667788057190914,0.08793826219512195,0.09891730389068466
L6H5,6,0.04916021271729225,0.04878048780487805,0.03457663199480842,0.043751758733973724
L6H8,6,0.04864734135945356,0.04878048780487805,0.031002157171007613,0.04065059538255513
L15H5,15,0.047062547527009085,0.044575273338940284,0.20866476405750622,0.21146305871230545
L5H5,5,0.0463312557000873,0.0479394449116905,0.04905865622348473,0.05507269002978887
L16H13,16,0.04613831713023747,0.04709840201850295,0.18937404465612112,0.18410899125770713
L13H15,13,0.042255248197717865,0.04289318755256518,0.07235054347826086,0.07890775100622287
L9H5,9,0.040650993533859175,0.040370058873002525,0.08083403225682208,0.09087747808300684
MLP15,15,0.03960842409097998,0.040370058873002525,0.25238726790450927,0.2602649682653006
MLP14,14,0.03710171462014704,0.03616484440706476,0.3442622950819672,0.32982025658285147
L3H14,3,0.03651238402620862,0.03616484440706476,0.043966586046879835,0.04628597380290375
L6H9,6,0.03367901698991121,0.0336417157275021,0.02443047681103569,0.03498362065747237
L5H1,5,0.03320018574172643,0.03280067283431455,0.04284303215728409,0.05862429628841444
L4H11,4,0.031884825971411075,0.031959629941127,0.044740521013736725,0.05371780176824969
L13H14,13,0.03038350265294586,0.030277544154751892,0.05190478678929766,0.05594332242904849
L17H1,17,0.029386666999747693,0.02943650126156434,0.21447369090297766,0.21202123860158464
MLP22,22,0.028992140168469512,0.030277544154751892,0.1724137931034483,0.16775277059895707
L1H13,1,0.02706973742143536,0.027754415475189236,0.04261230826377869,0.056097581528196494
L3H0,3,0.026220365388900276,0.027754415475189236,0.04504912549799139,0.04952753402484993
L16H6,16,0.024749167137014635,0.025231286795626577,0.13818266400546242,0.13420891761408302
L13H11,13,0.02374633721317772,0.025231286795626577,0.07151380499748335,0.08351380270734866
L0H6,0,0.02205571580852759,0.021867115222876366,0.060264352739708225,0.06328432200065369
L6H7,6,0.021196599637962183,0.020185029436501262,0.06729359866272767,0.07396903879530713
L11H4,11,0.02116019158553128,0.022708158116063918,0.08333333333333333,0.09221796323434155
L12H0,12,0.020367984323087503,0.01934398654331371,0.12847407320712476,0.10727213334412097
MLP8,8,0.01843090938945619,0.018502943650126155,0.08536585365853658,0.10648706658174488
L9H15,9,0.018004665264371576,0.018502943650126155,0.08685939560522088,0.08520808804311897
L5H12,5,0.017789294216166904,0.017661900756938603,0.042143281900657796,0.046243347920216456
L3H15,3,0.01744148951488595,0.017661900756938603,0.04900577727784502,0.05882437791850195
L5H15,5,0.016990879459685908,0.01682085786375105,0.03565781793938701,0.04879855928784481
L5H13,5,0.01636372488472515,0.01682085786375105,0.050426480885123956,0.06078719156251229
L6H1,6,0.01590363112552026,0.0159798149705635,0.058969350961538464,0.05691207669195729
L0H11,0,0.015421918052840636,0.0159798149705635,0.04392331661564289,0.05035917501706786
L1H5,1,0.015384273982777016,0.015138772077375946,0.04567859425794246,0.051715733256177954
L9H13,9,0.014481972129846636,0.014297729184188394,0.08579545671289618,0.08808580863693674
L15H9,15,0.014064027475688738,0.01345668629100084,0.1774073037050538,0.19128364356087346
L3H2,3,0.014031816733583176,0.01345668629100084,0.06032827850085762,0.058919427088310196
L12H14,12,0.014027821779420448,0.01345668629100084,0.09174750903587202,0.10104281696062531
L4H12,4,0.013835484403694958,0.01345668629100084,0.05190955687791873,0.06399061378764297
L12H10,12,0.013825117505474518,0.01345668629100084,0.09892557560356241,0.10310046123858455
L10H5,10,0.012652132681585632,0.012615643397813289,0.09582812309265137,0.10574916791568384
L2H6,2,0.012626932165298012,0.012615643397813289,0.06699300109103508,0.06415447835730695
L6H15,6,0.01249357990114708,0.012615643397813289,0.05139974185398647,0.06511075664680563
L4H4,4,0.01248571905531349,0.012615643397813289,0.05040736879621233,0.06107834150175174
L3H12,3,0.012457843350418218,0.012615643397813289,0.048913743397960924,0.05475586421427977
L4H13,4,0.012052288044291218,0.012615643397813289,0.05230517446258922,0.058011385879151715
L6H14,6,0.011840964407144577,0.012615643397813289,0.04810791090130806,0.043353309614197345
L13H2,13,0.011248702588585055,0.010933557611438183,0.03481657608695652,0.04391933751551179
L0H1,0,0.011223718020996016,0.010933557611438183,0.059979646102241845,0.06537934428115147
L10H4,10,0.011187817552054145,0.010933557611438183,0.09319196428571429,0.09009092816881449
L1H15,1,0.01109058424034812,0.010933557611438183,0.04970746806689671,0.05261495373212496
L2H1,2,0.010438519690621397,0.010933557611438183,0.05222626030445099,0.06615768595911578
L5H4,5,0.010410732236828332,0.010092514718250631,0.039036217153376546,0.0449214396485707
L3H1,3,0.01017133052854035,0.010933557611438183,0.05025879144668579,0.054197886002669025
L11H2,11,0.00963628686623602,0.010092514718250631,0.08414339215281827,0.09172048496302825
L12H13,12,0.008979396310560321,0.008410428931875526,0.0712329766395803,0.07384321188504524
