edge,n_samples,source_ratio_median,blocked_ratio_median,edge_ratio_median,edge_ratio_mean,edge_ratio_ci_lo,edge_ratio_ci_hi,positive_frac
L24H6->MLP27,1189,0.3671875,0.17391304347826086,0.19480519480519481,0.19354075481222555,0.19191919191919193,0.198019801980198,1.0
MLP16->MLP17,1189,0.32941176470588235,0.1875,0.14973262032085563,0.1552988104667433,0.14285714285714285,0.15625,0.9343986543313709
L23H6->L24H6,1189,0.32978723404255317,0.17721518987341772,0.15555555555555553,0.15688784926933871,0.15384615384615385,0.15789473684210525,1.0
L21H1->L23H6,1189,0.3442622950819672,0.271889400921659,0.06666666666666665,0.06618567619671531,0.0647482014388489,0.06779661016949157,0.9857022708158116
L24H6->Residual Output: <tool_call>,1189,0.3671875,0.0,0.3671875,0.37045106080915674,0.36231884057971014,0.37209302325581395,1.0
L23H6->Residual Output: <tool_call>,1189,0.32978723404255317,0.0,0.32978723404255317,0.33733405464064914,0.32727272727272727,0.3333333333333333,1.0
L21H12->L23H6,1189,0.4666666666666667,0.375,0.09433962264150947,0.09446452182773254,0.0927152317880795,0.0958904109589041,1.0
MLP27->Residual Output: <tool_call>,1189,0.5465116279069767,0.0,0.5465116279069767,0.5408961018297941,0.5396825396825397,0.5512820512820513,1.0
MLP17->L21H1,1189,0.3409090909090909,0.30701754385964913,0.03610108303249093,0.036951712106057466,0.032786885245901634,0.03947368421052633,0.7619848612279226
MLP17->L21H12,1189,0.3409090909090909,0.2619047619047619,0.06896551724137931,0.0684880140151039,0.0641025641025641,0.0735294117647059,0.8410428931875525
MLP16->MLP19,1189,0.32941176470588235,0.23404255319148937,0.10000000000000003,0.09836125621663444,0.09722222222222221,0.10344827586206895,0.9730866274179983
L21H12->MLP27,1189,0.4666666666666667,0.23333333333333334,0.23529411764705885,0.23194689650031042,0.23333333333333334,0.23826714801444043,1.0
L21H1->MLP27,1189,0.3442622950819672,0.15873015873015872,0.17886178861788618,0.171687538536864,0.17391304347826086,0.1836734693877551,0.990748528174937
MLP19->L21H12,1189,0.32727272727272727,0.2736842105263158,0.05882352941176466,0.045598363771820805,0.055335968379446654,0.06153846153846154,0.7964676198486123
MLP19->L21H1,1189,0.32727272727272727,0.2727272727272727,0.05263157894736842,0.05483727932999955,0.04901960784313725,0.056179775280898875,0.8982338099243061
L21H12->L24H6,1189,0.4666666666666667,0.3161764705882353,0.15384615384615385,0.15268944706301057,0.1515151515151515,0.15740740740740738,0.9974768713204374
MLP17->MLP19,1189,0.3409090909090909,0.25287356321839083,0.09900990099009899,0.09320850218085368,0.09389671361502344,0.10344827586206898,0.8738435660218671
MLP16->L17H8,1189,0.32941176470588235,0.3037974683544304,0.023255813953488358,0.02484845794066298,0.02040816326530609,0.02631578947368421,0.6425567703952901
Input Embed->MLP11,1189,1.0,0.9294117647058824,0.07058823529411762,0.06369750269419766,0.06451612903225812,0.07627118644067798,0.7182506307821699
MLP11->MLP16,1189,0.2318840579710145,0.060240963855421686,0.17272727272727273,0.1605188822777843,0.16376306620209058,0.18106995884773663,0.8898233809924306
L17H8->MLP19,1189,0.19047619047619047,0.1509433962264151,0.04285714285714287,0.04205216847328238,0.0410958904109589,0.04494382022471913,0.8662741799831791
