group,set,n_points,tool_mass_median,no_tool_mass_median,delta_median_no_minus_tool
forward_selective_heads,contrast,858,0.0013692115317098796,0.0024304206017404795,0.0010612090700305998
forward_selective_heads,prefix_16,858,0.15955911576747894,0.2217717096209526,0.06221259385347366
forward_selective_heads,recent_32,858,0.136144258081913,0.12669218331575394,-0.009452074766159058
forward_selective_heads,tool_call_tags,858,0.008378771599382162,0.006492806598544121,-0.0018859650008380413
forward_selective_heads,tools_block,858,0.11073653399944305,0.09722859039902687,-0.013507943600416183
forward_selective_heads,user_block,858,0.16358855366706848,0.21047572046518326,0.04688716679811478
reverse_only_core_heads,contrast,286,0.006566924275830388,0.004404872190207243,-0.002162052085623145
reverse_only_core_heads,prefix_16,286,0.08359845355153084,0.07827270030975342,-0.00532575324177742
reverse_only_core_heads,recent_32,286,0.3685702681541443,0.3819158226251602,0.01334555447101593
reverse_only_core_heads,tool_call_tags,286,0.0005006093706469983,0.0004950370348524302,-5.572335794568062e-06
reverse_only_core_heads,tools_block,286,0.12013260647654533,0.09762922488152981,-0.022503381595015526
reverse_only_core_heads,user_block,286,0.4304741322994232,0.48383738100528717,0.05336324870586395
reverse_selective_heads,contrast,715,0.004568093456327915,0.004799468908458948,0.00023137545213103294
reverse_selective_heads,prefix_16,715,0.1764984130859375,0.1854967623949051,0.00899834930896759
reverse_selective_heads,recent_32,715,0.24279478192329407,0.2747505307197571,0.03195574879646301
reverse_selective_heads,tool_call_tags,715,0.0020775943994522095,0.002439160831272602,0.0003615664318203926
reverse_selective_heads,tools_block,715,0.14787772297859192,0.135779470205307,-0.012098252773284912
reverse_selective_heads,user_block,715,0.25256940722465515,0.3263902962207794,0.07382088899612427
shared_core_heads,contrast,715,0.0008134371601045132,0.0018527454230934381,0.001039308262988925
shared_core_heads,prefix_16,715,0.21699261665344238,0.3073420524597168,0.09034943580627441
shared_core_heads,recent_32,715,0.06384606659412384,0.09806040674448013,0.03421434015035629
shared_core_heads,tool_call_tags,715,0.01605531945824623,0.008755005896091461,-0.00730031356215477
shared_core_heads,tools_block,715,0.10572479665279388,0.08125869184732437,-0.024466104805469513
shared_core_heads,user_block,715,0.05984140932559967,0.11699383705854416,0.05715242773294449
