head,layer,set,n,tool_mass_median,no_tool_mass_median,delta_median_no_minus_tool,tool_mass_mean,no_tool_mass_mean
L2H14,2,contrast,143,0.01137817744165659,0.014811544679105282,0.0034333672374486923,0.014988766227672983,0.018178316165360954
L2H14,2,prefix_16,143,0.14182695746421814,0.13183091580867767,-0.009996041655540466,0.13985940991164922,0.1343100749320917
L2H14,2,recent_32,143,0.13609977066516876,0.12545499205589294,-0.010644778609275818,0.1257817963515962,0.11910656912551894
L2H14,2,tool_call_tags,143,0.003298443276435137,0.003091689432039857,-0.00020675384439527988,0.0033506707180864536,0.003232561846400474
L2H14,2,tools_block,143,0.1506267488002777,0.14000089466571808,-0.010625854134559631,0.147912072551834,0.14401278676061363
L2H14,2,user_block,143,0.3043466806411743,0.34974509477615356,0.04539841413497925,0.3097825947549793,0.3339352323250337
L11H1,11,contrast,143,0.005514886230230331,0.0056714401580393314,0.00015655392780900002,0.006101546655875106,0.009348033083777001
L11H1,11,prefix_16,143,0.20429348945617676,0.18951304256916046,-0.014780446887016296,0.20278093427211255,0.18804015844435126
L11H1,11,recent_32,143,0.4527110755443573,0.4315815269947052,-0.0211295485496521,0.44841013379863925,0.4304775604001292
L11H1,11,tool_call_tags,143,0.001612406806088984,0.0015547540970146656,-5.765270907431841e-05,0.0018188605020701936,0.0017708976377759102
L11H1,11,tools_block,143,0.01938062161207199,0.01685868389904499,-0.0025219377130270004,0.020026127925025415,0.017204746362994183
L11H1,11,user_block,143,0.1592513471841812,0.21026088297367096,0.051009535789489746,0.1649579060869617,0.22413214322153505
L13H6,13,contrast,143,0.003139298874884844,0.008382526226341724,0.005243227351456881,0.005463600855962198,0.011526946426561376
L13H6,13,prefix_16,143,0.07736502587795258,0.08169384300708771,0.004328817129135132,0.07853349785392101,0.08155298714975377
L13H6,13,recent_32,143,0.3286776542663574,0.34152233600616455,0.012844681739807129,0.33041999348393686,0.3428488314360172
L13H6,13,tool_call_tags,143,0.005893785506486893,0.005846201442182064,-4.7584064304828644e-05,0.006063982574073794,0.0058929914253653135
L13H6,13,tools_block,143,0.06365128606557846,0.06070197746157646,-0.002949308604001999,0.0665909642991903,0.06289620611530083
L13H6,13,user_block,143,0.19282419979572296,0.2684304714202881,0.07560627162456512,0.197714775748603,0.26719726799251314
L16H4,16,contrast,143,0.011324316263198853,0.006181633565574884,-0.005142682697623968,0.012335451654406016,0.0076789947827444315
L16H4,16,prefix_16,143,0.12031304836273193,0.11759597808122635,-0.0027170702815055847,0.13275955409019977,0.12751143347550106
L16H4,16,recent_32,143,0.5842399001121521,0.5987280607223511,0.014488160610198975,0.5921406718817624,0.5838970164735834
L16H4,16,tool_call_tags,143,0.00015491279191337526,0.0001432248391211033,-1.1687952792271972e-05,0.00016910986227599637,0.00014878023590121606
L16H4,16,tools_block,143,0.023836858570575714,0.018164150416851044,-0.00567270815372467,0.02420979652267236,0.01910294185333944
L16H4,16,user_block,143,0.4557364284992218,0.5210170745849609,0.06528064608573914,0.4604723276375057,0.5232599354707278
L16H8,16,contrast,143,0.004528856836259365,0.00306421029381454,-0.0014646465424448252,0.005108175851759611,0.0032231582635386777
L16H8,16,prefix_16,143,0.058249205350875854,0.06283152103424072,0.004582315683364868,0.05881403743491306,0.06318521564761242
L16H8,16,recent_32,143,0.2357964813709259,0.26167160272598267,0.025875121355056763,0.23388618282921664,0.266714235285779
L16H8,16,tool_call_tags,143,0.0015102968318387866,0.002023930661380291,0.0005136338295415044,0.0015868494633936904,0.00206527698474083
L16H8,16,tools_block,143,0.2867809236049652,0.23412452638149261,-0.052656397223472595,0.29354332324925003,0.23796552586388756
L16H8,16,user_block,143,0.3979005813598633,0.4497598707675934,0.0518592894077301,0.39705624551206203,0.44959076884743215
L17H2,17,contrast,143,0.004251006990671158,0.003595768939703703,-0.0006552380509674549,0.0045086524768413365,0.006402581290893869
L17H2,17,prefix_16,143,0.18573381006717682,0.22109289467334747,0.035359084606170654,0.18666510143271692,0.22348678132870814
L17H2,17,recent_32,143,0.20252038538455963,0.23318755626678467,0.030667170882225037,0.2018146803537449,0.22985443983461473
L17H2,17,tool_call_tags,143,0.01934831775724888,0.011709773913025856,-0.0076385438442230225,0.0198976897758308,0.012265777912225339
L17H2,17,tools_block,143,0.14787772297859192,0.135779470205307,-0.012098252773284912,0.1511190475283803,0.13595945351607316
L17H2,17,user_block,143,0.22165004909038544,0.2834692597389221,0.06181921064853668,0.22650853132868146,0.29076968133449554
L17H8,17,contrast,143,0.003143464447930455,0.006563352420926094,0.003419887972995639,0.003512891368872089,0.007261490774946613
L17H8,17,prefix_16,143,0.21921409666538239,0.2831859886646271,0.06397189199924469,0.2166315335910637,0.28376692960729133
L17H8,17,recent_32,143,0.13042034208774567,0.14529311656951904,0.014872774481773376,0.12417885710622047,0.1387718623647323
L17H8,17,tool_call_tags,143,0.012289822101593018,0.0071935830637812614,-0.005096239037811756,0.013001316249813441,0.007553076589727527
L17H8,17,tools_block,143,0.2665904760360718,0.22246146202087402,-0.044129014015197754,0.27731928812873946,0.23444998212210783
L17H8,17,user_block,143,0.21706418693065643,0.2561452388763428,0.03908105194568634,0.21508427922959095,0.2583903950619531
L19H6,19,contrast,143,0.0003326171718072146,0.00039089404162950814,5.827686982229352e-05,0.0005231272389210062,0.0007493036210797874
L19H6,19,prefix_16,143,0.2922147214412689,0.2808680236339569,-0.011346697807312012,0.29075746738410496,0.2810543329565675
L19H6,19,recent_32,143,0.46054545044898987,0.4620373845100403,0.001491934061050415,0.45737451252403794,0.46246328658157293
L19H6,19,tool_call_tags,143,0.00022245434229262173,0.00021511316299438477,-7.341179298236966e-06,0.00024158346374727576,0.00024406769420989052
L19H6,19,tools_block,143,0.012800850905478,0.010783374309539795,-0.0020174765959382057,0.013325653237557702,0.01164604211551743
L19H6,19,user_block,143,0.14827792346477509,0.16738545894622803,0.019107535481452942,0.15309858113735705,0.18068259183343474
L21H1,21,contrast,143,0.004453747998923063,0.003780469996854663,-0.0006732780020684004,0.005119262767102491,0.006606570540657071
L21H1,21,prefix_16,143,0.3853831887245178,0.5486685037612915,0.16328531503677368,0.3746035449154727,0.5458111690057741
L21H1,21,recent_32,143,0.13614453375339508,0.12471433728933334,-0.011430196464061737,0.16654759094483787,0.1439281142336297
L21H1,21,tool_call_tags,143,0.026000019162893295,0.010357506573200226,-0.01564251258969307,0.03258716071780016,0.014024771261517402
L21H1,21,tools_block,143,0.10635775327682495,0.08125869184732437,-0.02509906142950058,0.10627251433638427,0.0807461480421203
L21H1,21,user_block,143,0.22391720116138458,0.23383891582489014,0.009921714663505554,0.2658332336720053,0.2540847550217922
L21H12,21,contrast,143,0.00038258833228610456,0.0010034989099949598,0.0006209105777088553,0.0008333780463360384,0.0023753908570944187
L21H12,21,prefix_16,143,0.08790016919374466,0.17793762683868408,0.09003745764493942,0.08655690063129771,0.18041341673660946
L21H12,21,recent_32,143,0.039787501096725464,0.08836843073368073,0.04858092963695526,0.038947238472869974,0.08938291087955028
L21H12,21,tool_call_tags,143,0.015574503690004349,0.008755847811698914,-0.006818655878305435,0.016756010300421214,0.00983705709955388
L21H12,21,tools_block,143,0.24927935004234314,0.30026358366012573,0.05098423361778259,0.24205404973321862,0.2976191846223978
L21H12,21,user_block,143,0.051498644053936005,0.12457075715065002,0.07307211309671402,0.05104564938537933,0.12694216933804792
L23H5,23,contrast,143,0.00013091258006170392,0.00017073590424843132,3.9823324186727405e-05,0.0003518241123506763,0.00050812374353939
L23H5,23,prefix_16,143,0.2363620102405548,0.29190248250961304,0.05554047226905823,0.273449361741126,0.29383296087071614
L23H5,23,recent_32,143,0.0529635027050972,0.08127386122941971,0.02831035852432251,0.051648855144223134,0.08235918272000092
L23H5,23,tool_call_tags,143,0.24821464717388153,0.116763174533844,-0.13145147264003754,0.2576303848853478,0.12277056704034338
L23H5,23,tools_block,143,0.1276615560054779,0.1409292221069336,0.013267666101455688,0.13196125834971875,0.1479807005009868
