source,target,support_weighted,support_unweighted
MLP27,Residual Output: no_tool,1.0,1.0
L24H6,Residual Output: no_tool,0.9800307092113875,0.98
L24H6,MLP27,0.9595089084009558,0.96
L23H6,Residual Output: no_tool,0.9166499167084002,0.92
L21H12,MLP27,0.7955202057618372,0.8
MLP16,MLP17,0.7780421958004529,0.78
MLP17,L23H6,0.6365322661726065,0.64
MLP17,MLP19,0.6193239118496656,0.62
L16H8,MLP17,0.5969723937628288,0.6
MLP16,L17H8,0.587295512199016,0.58
MLP17,L24H6,0.5799043328205589,0.58
MLP19,L21H12,0.5791238673945568,0.58
MLP17,L21H12,0.5333035775432347,0.54
L21H1,MLP27,0.5263267097519448,0.52
MLP19,L23H6,0.4582494838490955,0.46
L16H4,MLP17,0.4573501350910571,0.46
MLP19,L24H6,0.4382801930604831,0.44
MLP16,L24H6,0.4241216254829913,0.42
MLP19,L21H1,0.4233946092115457,0.42
MLP16,MLP19,0.41993945856806847,0.42
MLP17,L21H1,0.3874065928187171,0.38
MLP16,L23H6,0.36322166201149314,0.36
L20H5,MLP27,0.35638231457079156,0.36
MLP16,L17H2,0.3461743417152139,0.34
L17H8,MLP27,0.34527086119350375,0.34
MLP12,L16H4,0.3192515985767772,0.32
MLP16,L21H12,0.31871155348021485,0.32
L16H8,L17H8,0.30488891733382195,0.3
L23H6,MLP27,0.29893482289552725,0.3
MLP12,MLP16,0.2948343837755089,0.3
MLP17,L20H5,0.29196355323707074,0.3
MLP12,L16H8,0.2510190239951454,0.26
L17H2,MLP27,0.2442441356898618,0.24
L17H8,MLP19,0.241401628360147,0.24
L23H6,L24H6,0.24015057035767157,0.24
L21H12,L23H6,0.23925971305738625,0.24
MLP19,L20H5,0.23810184820090183,0.24
MLP17,MLP27,0.2374601291193123,0.24
MLP11,L16H8,0.22139590364394743,0.22
MLP17,MLP18,0.20256432119539441,0.2
MLP11,MLP16,0.20194186078076753,0.2
MLP16,L21H1,0.20143267940192747,0.2
L16H4,L17H8,0.19878472971629502,0.2
L15H5,L16H8,0.1861658839519251,0.18
L15H5,MLP16,0.1861658839519251,0.18
MLP11,L16H4,0.18367494913507867,0.18
Input Embed,MLP11,0.1835256189668805,0.18
L16H8,L17H2,0.16566986694251162,0.16
MLP17,L20H14,0.16518471052335218,0.16
L16H8,MLP27,0.15735655765879042,0.16
MLP16,L20H5,0.157279857105764,0.16
Input Embed,MLP3,0.15567137471594064,0.16
L13H9,MLP16,0.15454420480937034,0.16
L16H13,MLP17,0.14499441572601202,0.14
MLP16,L18H14,0.14311708432774817,0.14
L20H14,MLP27,0.1422365803691016,0.14
Input Embed,L9H3,0.1412775950165017,0.14
L21H12,L24H6,0.13755293797437568,0.14
L11H1,MLP16,0.12415689490311209,0.12
MLP11,MLP12,0.123412525940198,0.12
MLP19,L20H14,0.12291451560604895,0.12
MLP11,L16H13,0.12274567035811512,0.12
Input Embed,L11H1,0.12216767977729648,0.12
MLP19,MLP27,0.12157432092502847,0.12
L13H3,MLP16,0.12044647723947459,0.12
MLP18,L23H6,0.1192142379037947,0.12
MLP17,L18H14,0.11855659311782346,0.12
MLP16,MLP27,0.11853189457003797,0.12
MLP12,L13H3,0.11392839731114562,0.12
L12H6,MLP16,0.1112943389633674,0.12
MLP20,MLP27,0.10383442579546745,0.1
Input Embed,MLP1,0.1031573044738118,0.1
MLP11,L13H3,0.1031573044738118,0.1
Input Embed,MLP6,0.10207699478314902,0.1
MLP11,L12H6,0.1019081495352152,0.1
MLP17,MLP20,0.10094597146024396,0.1
Input Embed,MLP12,0.10019526868580886,0.1
L9H3,MLP11,0.09968053292652015,0.1
MLP16,MLP18,0.09960682245359881,0.1
L13H6,MLP16,0.09946074750706889,0.1
L16H4,MLP27,0.0992062706757329,0.1
L16H4,L17H2,0.09854355953596264,0.1
MLP18,L24H6,0.09837671708089475,0.1
MLP9,L16H8,0.09795624581025889,0.1
MLP16,L17H12,0.09776800242863777,0.1
Input Embed,MLP5,0.09722961340335619,0.1
MLP13,L16H4,0.09636142612929882,0.1
MLP13,MLP16,0.09636142612929882,0.1
Input Embed,L2H14,0.0957760868588632,0.1
MLP13,L16H8,0.09263845574227404,0.1
L13H10,MLP16,0.08335008329159972,0.08
L16H9,MLP17,0.08335008329159972,0.08
MLP1,MLP11,0.08231978365091189,0.08
MLP19,MLP20,0.08212867493828002,0.08
MLP18,L21H1,0.08211997791889566,0.08
MLP12,L13H9,0.08142176428192997,0.08
L17H2,MLP19,0.08109268520245222,0.08
MLP12,L16H9,0.08106429060741088,0.08
MLP11,L13H9,0.0805073789216941,0.08
L9H3,MLP16,0.08045561110082178,0.08
L9H3,MLP12,0.08034831623953816,0.08
Input Embed,MLP0,0.08009740506879696,0.08
L15H9,MLP16,0.08004632318413381,0.08
MLP16,L20H14,0.07972401790040183,0.08
L18H14,MLP19,0.07962711290457493,0.08
Input Embed,L2H15,0.07812088078393714,0.08
MLP18,L21H12,0.07753919625799484,0.08
L12H6,L13H3,0.0775205731103566,0.08
Input Embed,L12H6,0.07751312043221449,0.08
MLP12,MLP13,0.0775080203869693,0.08
MLP3,L12H6,0.07625175335094664,0.08
Input Embed,L4H15,0.0759436980386322,0.08
L10H2,MLP12,0.07590003607754608,0.08
L12H6,MLP13,0.0737901500451897,0.08
MLP18,L20H14,0.0625125624686998,0.06
MLP10,L16H8,0.0625125624686998,0.06
L15H5,L16H13,0.0625125624686998,0.06
L17H2,MLP18,0.0625125624686998,0.06
L12H10,MLP16,0.0625125624686998,0.06
L11H1,L16H8,0.0625125624686998,0.06
MLP26,Residual Output: no_tool,0.0625125624686998,0.06
L16H9,L17H14,0.0625125624686998,0.06
L24H6,MLP26,0.0625125624686998,0.06
L23H6,MLP26,0.0625125624686998,0.06
