sample_id,sample_rank,q_index,cluster_id,cluster_size,weight
apps_python_1,1,,0,10,1.0
mbpp_python_1,4,,0,10,1.0
humaneval_python_11,25,,0,10,1.0
mbpp_python_11,26,,0,10,1.0
codecontests_cpp_14,32,,0,10,0.9409668077522833
humaneval_python_18,45,,0,10,1.0
humaneval_python_21,50,,0,10,1.0
apps_python_22,51,,0,10,1.0
apps_python_29,68,,0,10,1.0
humaneval_python_39,93,,0,10,1.0
codecontests_cpp_1,2,,1,14,0.9045368620037807
codecontests_cpp_3,6,,1,14,1.0
codecontests_cpp_4,9,,1,14,1.0
apps_python_5,12,,1,14,1.0
codecontests_cpp_6,15,,1,14,1.0
apps_python_8,18,,1,14,0.9583333333333334
codecontests_cpp_9,20,,1,14,1.0
codecontests_cpp_20,48,,1,14,0.9042675893886967
codecontests_cpp_26,61,,1,14,1.0
apps_python_37,88,,1,14,1.0
codecontests_cpp_39,91,,1,14,1.0
codecontests_java_42,101,,1,14,1.0
apps_python_46,113,,1,14,1.0
codecontests_cpp_52,130,,1,14,1.0
apps_python_4,8,,2,12,1.0
mbpp_python_4,11,,2,12,1.0
apps_python_14,31,,2,12,1.0
apps_python_25,59,,2,12,1.0
mbpp_python_32,76,,2,12,1.0
codecontests_java_38,90,,2,12,0.8234486815018135
humaneval_python_42,102,,2,12,1.0
apps_python_43,104,,2,12,1.0
codecontests_java_45,112,,2,12,0.938426652712367
apps_python_48,120,,2,12,1.0
codecontests_java_55,138,,2,12,1.0
mbpp_python_55,139,,2,12,1.0
codecontests_java_2,5,,3,42,0.9030487207136555
codecontests_java_3,7,,3,42,0.898304
codecontests_java_4,10,,3,42,0.8987111111111111
codecontests_java_5,14,,3,42,1.0
codecontests_java_6,16,,3,42,1.0
codecontests_java_11,24,,3,42,0.8130577037477691
codecontests_java_12,28,,3,42,0.9839357429718876
codecontests_java_13,30,,3,42,1.0
codecontests_java_14,33,,3,42,0.9393659587565404
codecontests_java_15,35,,3,42,1.0
codecontests_cpp_16,37,,3,42,1.0
codecontests_java_17,41,,3,42,0.9228669751987659
codecontests_java_19,46,,3,42,0.992
codecontests_java_20,49,,3,42,0.846
codecontests_java_22,53,,3,42,1.0
codecontests_java_24,58,,3,42,0.938125
codecontests_java_25,60,,3,42,1.0
codecontests_java_29,70,,3,42,0.9772727272727273
codecontests_java_30,73,,3,42,1.0
codecontests_java_32,75,,3,42,1.0
codecontests_java_33,78,,3,42,0.8607255904553203
codecontests_java_35,83,,3,42,0.8433364839319472
codecontests_java_36,86,,3,42,0.9512269471117207
codecontests_java_37,89,,3,42,0.9253324787694279
codecontests_java_39,92,,3,42,0.8471074380165289
codecontests_java_41,98,,3,42,0.88649013324338
codecontests_java_43,106,,3,42,1.0
codecontests_cpp_44,108,,3,42,1.0
codecontests_java_44,109,,3,42,0.9092537848248677
codecontests_cpp_46,114,,3,42,0.9883720930232558
codecontests_cpp_47,117,,3,42,1.0
codecontests_java_47,118,,3,42,0.8769226517046476
codecontests_cpp_48,121,,3,42,0.7988980716253443
codecontests_java_48,122,,3,42,0.8922437844875689
codecontests_java_49,125,,3,42,0.916414667270258
codecontests_java_50,127,,3,42,1.0
codecontests_java_51,129,,3,42,0.86376953125
codecontests_java_52,131,,3,42,0.8869659275283938
apps_python_53,132,,3,42,0.9545454545454546
codecontests_java_54,136,,3,42,0.901297868931261
codecontests_cpp_56,140,,3,42,1.0
codecontests_java_57,143,,3,42,1.0
codecontests_java_1,3,,4,15,0.9512422091412743
apps_python_9,19,,4,15,1.0
apps_python_10,22,,4,15,1.0
codecontests_cpp_15,34,,4,15,0.9505555555555555
apps_python_17,39,,4,15,1.0
apps_python_20,47,,4,15,1.0
apps_python_23,54,,4,15,1.0
codecontests_cpp_27,64,,4,15,0.9639669421487603
codecontests_cpp_28,66,,4,15,0.8954081632653061
codecontests_java_28,67,,4,15,0.8618654073199528
apps_python_34,80,,4,15,1.0
codecontests_cpp_35,82,,4,15,1.0
mbpp_python_36,87,,4,15,0.9042675893886967
humaneval_python_47,119,,4,15,0.9558823529411765
codecontests_java_56,141,,4,15,1.0
apps_python_16,36,,5,10,1.0
apps_python_30,71,,5,10,1.0
apps_python_35,81,,5,10,1.0
apps_python_36,85,,5,10,1.0
humaneval_python_41,99,,5,10,1.0
mbpp_python_42,103,,5,10,1.0
humaneval_python_44,110,,5,10,1.0
apps_python_47,116,,5,10,1.0
apps_python_51,128,,5,10,1.0
mbpp_python_54,137,,5,10,1.0
codecontests_java_9,21,,6,18,0.8356290174471993
codecontests_cpp_11,23,,6,18,0.9370755998189226
