source,target,forward_support,reverse_support,shared_support_min,union_support_max,support_delta_reverse_minus_forward,direction_balance
MLP27,Residual Output: decision,0.9990976414610523,1.0,0.9990976414610523,1.0,0.0009023585389477118,0.00045138292409180065
L24H6,Residual Output: decision,0.9866807180013671,0.9886701526226891,0.9866807180013671,0.9886701526226891,0.0019894346213219505,0.0010071297463692844
L23H6,Residual Output: decision,0.9973535166404204,0.9237315434079642,0.9237315434079642,0.9973535166404204,-0.07362197323245623,-0.03832311997189858
L24H6,MLP27,0.8040749540652634,0.9615852267791108,0.8040749540652634,0.9615852267791108,0.15751027271384743,0.08920758049746745
L21H12,MLP27,0.7451578297412202,0.8166195451717589,0.7451578297412202,0.8166195451717589,0.0714617154305387,0.04575665941794072
MLP19,L21H12,0.6933854834281817,0.5287878041095527,0.5287878041095527,0.6933854834281817,-0.164597679318629,-0.1346762206284492
MLP17,L21H12,0.4684654543184562,0.6693153525294229,0.4684654543184562,0.6693153525294229,0.20084989821096666,0.1765277608851599
MLP16,MLP17,0.46353826263492515,0.7648279570135516,0.46353826263492515,0.7648279570135516,0.3012896943786264,0.24527676645556643
MLP17,MLP19,0.4222740238419185,0.5944565856471381,0.4222740238419185,0.5944565856471381,0.17218256180521962,0.1693492457080126
MLP16,L17H8,0.3824427451362772,0.5340358671557857,0.3824427451362772,0.5340358671557857,0.15159312201950847,0.1654082484700678
L21H1,MLP27,0.379483222535779,0.4604872307259252,0.379483222535779,0.4604872307259252,0.08100400819014619,0.09643673521562347
MLP16,MLP19,0.3741615225941805,0.4747695208343895,0.3741615225941805,0.4747695208343895,0.100607998240209,0.11851139031726818
MLP17,L21H1,0.41988396098934605,0.3634217785589243,0.3634217785589243,0.41988396098934605,-0.056462182430421726,-0.07208192099164659
MLP19,L21H1,0.6501306770581683,0.30855835696348843,0.30855835696348843,0.6501306770581683,-0.34157232009467986,-0.3562910474335975
L23H6,L24H6,0.9324297130693068,0.26257382922283773,0.26257382922283773,0.9324297130693068,-0.669855883846469,-0.5605471951669815
L23H6,MLP27,0.27451397328610266,0.2530885162877448,0.2530885162877448,0.27451397328610266,-0.02142545699835785,-0.04060909002848625
L21H12,L23H6,0.947292945194638,0.24634898317366472,0.24634898317366472,0.947292945194638,-0.7009439620209733,-0.5872313508450203
MLP11,MLP16,0.28028577399055316,0.2458504354374184,0.2458504354374184,0.28028577399055316,-0.03443533855313474,-0.06544947474832363
MLP19,L20H5,0.2438749489659792,0.2752251493944408,0.2438749489659792,0.2752251493944408,0.03135020042846162,0.060393362527730914
MLP16,L21H12,0.2349951443106917,0.3793921474795818,0.2349951443106917,0.3793921474795818,0.14439700316889006,0.23502602527491934
L16H4,MLP17,0.2155968290748351,0.4325426962071733,0.2155968290748351,0.4325426962071733,0.21694586713233818,0.3347209337957658
MLP16,L21H1,0.2136375770066895,0.18986193352070319,0.18986193352070319,0.2136375770066895,-0.02377564348598632,-0.05892359932459507
L16H8,MLP17,0.1869657735267567,0.5031561801742714,0.1869657735267567,0.5031561801742714,0.31619040664751474,0.45816598784001805
MLP17,L18H14,0.2040722048188791,0.17935433269250947,0.17935433269250947,0.2040722048188791,-0.02471787212636964,-0.06446573126315094
Input Embed,L2H14,0.2719209237553308,0.17673588145363503,0.17673588145363503,0.2719209237553308,-0.09518504230169575,-0.21215557458749007
MLP16,L17H2,0.1618449212146188,0.3078692595005903,0.1618449212146188,0.3078692595005903,0.1460243382859715,0.3108791351873344
L17H8,MLP19,0.24849106712582741,0.1612132168769349,0.1612132168769349,0.24849106712582741,-0.08727785024889251,-0.21302645263114717
MLP11,L12H6,0.27985018901709136,0.15785132245082661,0.15785132245082661,0.27985018901709136,-0.12199886656626474,-0.278726171534381
MLP17,L20H5,0.1553781988809836,0.3699254020794993,0.1553781988809836,0.3699254020794993,0.21454720319851572,0.4084251522476342
MLP11,L16H4,0.15521506994346218,0.21212010387572242,0.15521506994346218,0.21212010387572242,0.056905033932260235,0.1549131093018359
MLP16,L20H5,0.150391938420753,0.20776981751474988,0.150391938420753,0.20776981751474988,0.057377879093996886,0.16020102130705824
MLP11,MLP12,0.1448288851368134,0.15605001920959685,0.1448288851368134,0.15605001920959685,0.01122113407278344,0.03729451919255939
MLP16,L18H14,0.15967199893818862,0.1444534835978149,0.1444534835978149,0.15967199893818862,-0.015218515340373717,-0.05004025053563899
MLP16,L17H12,0.1443962294169489,0.17784392067650232,0.1443962294169489,0.17784392067650232,0.03344769125955341,0.10379740466808192
MLP17,MLP18,0.15830909416360395,0.13892822097613242,0.13892822097613242,0.15830909416360395,-0.01938087318747153,-0.0652033651237909
MLP12,MLP16,0.13727823396757172,0.35232648888688134,0.13727823396757172,0.35232648888688134,0.21504825491930962,0.4392283098609691
L13H9,MLP16,0.1337527423213382,0.13934037093493218,0.1337527423213382,0.13934037093493218,0.0055876286135939646,0.020460525521749564
L12H6,MLP16,0.13248433721769373,0.17919364466834967,0.13248433721769373,0.17919364466834967,0.046709307450655935,0.14986399478078605
