node,layer,group_key,group_label,group_description,semantic_hint,forward_support,reverse_support,shared_support_min,direction_balance
L2H14,2,tool_tail,Tool Tail,tool-mode auxiliary tail outside the shared backbone,tool-tail router,0.2805469070650332,0.17841771826202096,0.17841771826202096,-0.22252082876809054
MLP11,11,tool_bias_backbone,Tool-Bias Backbone,shared backbone nodes tilted toward the tool-call endpoint,tool-biased writer MLP,0.5261628100291569,0.3519971593027294,0.3519971593027294,-0.19833020953908276
L12H6,12,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,shared router,0.3795238819697149,0.38977690079720023,0.3795238819697149,0.013327711419464124
MLP12,12,no_tool_bias_backbone,No-Tool-Bias Backbone,shared backbone nodes tilted toward the no-tool endpoint,no-tool-biased writer MLP,0.2909487407895999,0.4826459634793254,0.2909487407895999,0.24780058812693948
L13H9,13,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,shared router,0.22041205079309675,0.23946513312965723,0.22041205079309675,0.04143080588177394
L16H4,16,no_tool_bias_backbone,No-Tool-Bias Backbone,shared backbone nodes tilted toward the no-tool endpoint,no-tool-biased router,0.29994416056677836,0.6010373625368447,0.29994416056677836,0.33418354788551774
L16H8,16,no_tool_bias_backbone,No-Tool-Bias Backbone,shared backbone nodes tilted toward the no-tool endpoint,no-tool-biased router,0.2508196985887376,0.6908746944948071,0.2508196985887376,0.46730128068950816
L16H9,16,no_tool_tail,No-Tool Tail,no-tool auxiliary tail outside the shared backbone,no-tool-tail router,0.08480544811399716,0.17931321543731504,0.08480544811399716,0.3578231316658059
MLP16,16,no_tool_bias_backbone,No-Tool-Bias Backbone,shared backbone nodes tilted toward the no-tool endpoint,no-tool-biased writer MLP,0.7191730936766972,0.8766956363547403,0.7191730936766972,0.09870645355331953
L17H2,17,no_tool_tail,No-Tool Tail,no-tool auxiliary tail outside the shared backbone,no-tool-tail router,0.2159105603352301,0.34291187057261174,0.2159105603352301,0.22726594927669622
L17H8,17,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,user-content reader,0.5357169301364478,0.6106717602955567,0.5357169301364478,0.065383434767542
MLP17,17,no_tool_bias_backbone,No-Tool-Bias Backbone,shared backbone nodes tilted toward the no-tool endpoint,no-tool-biased writer MLP,0.68142754506689,0.9242887371289046,0.68142754506689,0.1512478852926031
MLP18,18,tool_tail,Tool Tail,tool-mode auxiliary tail outside the shared backbone,tool-tail writer MLP,0.21977064217034545,0.14958350327080064,0.14958350327080064,-0.19002667159919184
L19H6,19,tool_tail,Tool Tail,tool-mode auxiliary tail outside the shared backbone,tool-tail router,0.08125109695837758,0.011770351105897478,0.011770351105897478,-0.7469325332849147
MLP19,19,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,shared writer MLP,0.7313243810497828,0.6687255178089268,0.6687255178089268,-0.04471188012076234
L20H5,20,no_tool_bias_backbone,No-Tool-Bias Backbone,shared backbone nodes tilted toward the no-tool endpoint,user-content reader,0.3813120809736454,0.47987015374365755,0.3813120809736454,0.11444508351053648
L21H1,21,tool_bias_backbone,Tool-Bias Backbone,shared backbone nodes tilted toward the tool-call endpoint,format/prefix router,0.9229880554977965,0.4909546316156755,0.4909546316156755,-0.30555228851892596
L21H12,21,tool_bias_backbone,Tool-Bias Backbone,shared backbone nodes tilted toward the tool-call endpoint,format/prefix router,0.9910117272737091,0.9208240163935651,0.9208240163935651,-0.036712207684489795
MLP21,21,tool_tail,Tool Tail,tool-mode auxiliary tail outside the shared backbone,tool-tail writer MLP,0.3561417539077627,0.01897409515173189,0.01897409515173189,-0.8988360785111881
L23H5,23,tool_tail,Tool Tail,tool-mode auxiliary tail outside the shared backbone,format/prefix router,0.12876036546263098,0.005231564241676506,0.005231564241676506,-0.9219122486970448
L23H6,23,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,shared router,0.9990976414610523,0.9542281231165232,0.9542281231165232,-0.02297083218693558
L24H6,24,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,tool-tag reader,0.9866807180013671,0.9895420484225006,0.9866807180013671,0.0014478784830068837
MLP27,27,symmetric_backbone,Symmetric Backbone,shared reversible backbone and output-integrating writers,shared writer MLP,0.9990976414610523,1.0,0.9990976414610523,0.00045138292409180065
