source_group,target_group,sign,n_edges,union_support_median,shared_support_median,direction_balance_median,top_edges
symmetric_backbone,symmetric_backbone,tool_bias,2,0.9324297130693068,0.26257382922283773,-0.21302645263114717,L23H6->L24H6 (0.932) | L17H8->MLP19 (0.248)
tool_bias_backbone,symmetric_backbone,shared,1,0.8166195451717589,0.7451578297412202,0.04575665941794072,L21H12->MLP27 (0.817)
tool_bias_backbone,symmetric_backbone,tool_bias,6,0.7158344840146953,0.1170105751930301,-0.5872313508450203,L21H12->L23H6 (0.947) | L21H12->L24H6 (0.749) | L21H1->L23H6 (0.716) | MLP11->L12H6 (0.280)
no_tool_bias_backbone,tool_bias_backbone,no_tool_bias,2,0.6693153525294229,0.4684654543184562,0.23502602527491934,MLP17->L21H12 (0.669) | MLP16->L21H12 (0.379)
symmetric_backbone,tool_bias_backbone,tool_bias,3,0.6501306770581683,0.30855835696348843,-0.3562910474335975,MLP19->L21H12 (0.693) | MLP19->L21H1 (0.650) | L17H8->L21H12 (0.143)
tool_bias_backbone,symmetric_backbone,no_tool_bias,1,0.4604872307259252,0.379483222535779,0.09643673521562347,L21H1->MLP27 (0.460)
no_tool_bias_backbone,tool_bias_backbone,shared,2,0.41988396098934605,0.3634217785589243,-0.05892359932459507,MLP17->L21H1 (0.420) | MLP16->L21H1 (0.214)
symmetric_backbone,symmetric_backbone,no_tool_bias,5,0.3972959044344061,0.03686766103811742,0.8174875875644927,L24H6->MLP27 (0.962) | MLP19->L23H6 (0.428) | MLP19->L24H6 (0.397) | L17H8->MLP27 (0.367)
no_tool_bias_backbone,no_tool_bias_backbone,no_tool_bias,8,0.3699254020794993,0.1553781988809836,0.4392283098609691,MLP16->MLP17 (0.765) | L16H8->MLP17 (0.503) | L16H4->MLP17 (0.433) | MLP17->L20H5 (0.370)
no_tool_bias_backbone,symmetric_backbone,no_tool_bias,15,0.3676404119818412,0.03519282627183203,0.8252734733390084,MLP17->L23H6 (0.640) | MLP17->L24H6 (0.636) | MLP17->MLP19 (0.594) | MLP16->L17H8 (0.534)
no_tool_bias_backbone,tool_bias_backbone,tool_bias,2,0.31385705910626877,0.05016289214748534,-0.724394819708564,L20H5->L21H12 (0.314) | L20H5->L21H1 (0.260)
no_tool_bias_backbone,no_tool_tail,no_tool_bias,2,0.3078692595005903,0.1618449212146188,0.38407531709561976,MLP16->L17H2 (0.308) | L16H8->L17H2 (0.141)
tool_bias_backbone,no_tool_bias_backbone,shared,2,0.28028577399055316,0.2458504354374184,0.03729451919255939,MLP11->MLP16 (0.280) | MLP11->MLP12 (0.156)
symmetric_backbone,no_tool_bias_backbone,shared,1,0.2752251493944408,0.2438749489659792,0.060393362527730914,MLP19->L20H5 (0.275)
symmetric_backbone,symmetric_backbone,shared,1,0.27451397328610266,0.2530885162877448,-0.04060909002848625,L23H6->MLP27 (0.275)
symmetric_backbone,tool_tail,tool_bias,1,0.22380659730399666,0.011793432722210732,-0.8998859828591799,MLP19->MLP21 (0.224)
tool_bias_backbone,no_tool_bias_backbone,no_tool_bias,2,0.21212010387572242,0.15521506994346218,0.38152130183567623,MLP11->L16H4 (0.212) | MLP11->L16H8 (0.189)
tool_tail,symmetric_backbone,tool_bias,2,0.20054189470491932,0.01104725968478541,-0.8772121391614776,MLP21->MLP27 (0.201) | MLP21->L23H6 (0.135)
no_tool_bias_backbone,tool_tail,tool_bias,1,0.18529552870670926,0.004832279543013851,-0.9491680929002568,L20H5->MLP21 (0.185)
symmetric_backbone,no_tool_bias_backbone,no_tool_bias,1,0.17919364466834967,0.13248433721769373,0.14986399478078605,L12H6->MLP16 (0.179)
no_tool_tail,symmetric_backbone,no_tool_bias,1,0.17070983039253976,0.011757157517761862,0.8711311273078994,L17H2->MLP27 (0.171)
tool_bias_backbone,no_tool_bias_backbone,tool_bias,1,0.14134614375640875,0.03124693106359811,-0.6379121109443728,MLP11->MLP17 (0.141)
tool_tail,tool_bias_backbone,tool_bias,1,0.14111984135155323,0.05303604205434759,-0.4536756638636508,L2H14->MLP11 (0.141)
