node,layer,support_weighted,support_unweighted,median_score_norm,mean_score_norm
MLP27,27,0.9993829715875546,0.9994192799070848,0.8017928286852589,0.7898171102027336
L23H6,23,0.9961053634560207,0.9953542392566783,0.6682195512127632,0.715009327572236
L21H12,21,0.9959893489124966,0.9953542392566783,1.0079260651629074,1.071528016708086
L24H6,24,0.9742125350016168,0.9744483159117305,0.6685992578849722,0.6690821035608882
L21H1,21,0.9501043184232267,0.9454123112659698,0.8044295988685264,0.8727121049742355
MLP19,19,0.718278378271277,0.7148664343786295,0.5616113744075829,0.5599467833028063
MLP16,16,0.7160957724560063,0.7084785133565621,0.6266458691910499,0.61621831145336
MLP17,17,0.678076607713765,0.6718931475029036,0.636986301369863,0.6177576780591085
L17H8,17,0.5551724901266852,0.5499419279907085,0.40119760479041916,0.42712242797073796
L20H5,20,0.4558638643431844,0.4610917537746806,0.4328160888841408,0.4563364967549324
L2H14,2,0.455107363246008,0.45760743321718933,0.08432765151515151,0.09562947700394295
MLP11,11,0.4469276391211729,0.4448315911730546,0.4949258684811794,0.5109745786230471
L12H6,12,0.3727083136558594,0.3832752613240418,0.19355413105413105,0.21355703803079454
MLP12,12,0.3481757669717075,0.3478513356562137,0.5,0.5029647101459179
MLP21,21,0.3297281590486184,0.33914053426248547,0.4389252545002444,0.4291701522598872
L18H14,18,0.30527271257981964,0.30313588850174217,0.38374818254812176,0.3977645452180161
L13H9,13,0.27564372367089973,0.2770034843205575,0.1854575163398693,0.20451740032991803
L16H8,16,0.2630394455129606,0.2601626016260163,0.39645717530332913,0.4086643068528029
L16H4,16,0.2581080320140666,0.2572590011614402,0.39826839826839827,0.42749414995016566
MLP18,18,0.21649805374040662,0.21660859465737514,0.558091286307054,0.5426134965513267
L17H2,17,0.19705590484713945,0.1957026713124274,0.3805970149253731,0.40123826279714303
MLP13,13,0.19177509700622727,0.19802555168408828,0.4772727272727273,0.47947178003754404
L17H12,17,0.18152540090200098,0.17828106852497097,0.3786610878661088,0.4190467561517834
L23H5,23,0.17059095297636406,0.1718931475029036,0.39460595558978306,0.3989731461536523
L10H2,10,0.16971498336127752,0.1718931475029036,0.1943120385021097,0.2037200294102404
L9H3,9,0.14875220744802178,0.14518002322880372,0.2181076322801675,0.23467493376023726
MLP2,2,0.14323813720016806,0.1445993031358885,0.18354430379746836,0.2002885043546503
L13H3,13,0.14303806596032007,0.1440185830429733,0.18779205607476634,0.19276891271553453
MLP5,5,0.1415881694317038,0.14169570267131243,0.16926916506512918,0.18524664422519338
L13H6,13,0.14093200391391586,0.14227642276422764,0.2722602739726027,0.29721179776690837
MLP6,6,0.1340959276799618,0.13182346109175377,0.19083969465648856,0.19310918901264984
L2H15,2,0.13259698070102596,0.13240418118466898,0.05854982838205705,0.06323135893817641
MLP4,4,0.13198437643229385,0.1329849012775842,0.16265060240963855,0.18426253358037833
MLP9,9,0.12364302340088763,0.1254355400696864,0.35222082667275634,0.36178919798647935
L6H0,6,0.12224865120840812,0.1295005807200929,0.05307112068965517,0.05668417852890165
L11H1,11,0.1141747589937612,0.11033681765389082,0.1809023435173605,0.19335246244001728
L20H14,20,0.11034869952956267,0.10627177700348432,0.5,0.6404866488361324
L4H15,4,0.10808839781234716,0.11091753774680604,0.05941901408450704,0.0658696896545258
MLP20,20,0.1079978821054467,0.11207897793263646,0.41295546558704455,0.41081512094650463
MLP3,3,0.09793801197869628,0.0975609756097561,0.17251131221719457,0.17921350820377097
L16H9,16,0.09708910064183097,0.09698025551684088,0.49044585987261147,0.49521378092192114
MLP10,10,0.08708487135202815,0.08304297328687572,0.3577981651376147,0.3618226430236789
L11H9,11,0.08440181397766841,0.08304297328687572,0.22238372093023256,0.2213494825537053
L11H8,11,0.08236124803914607,0.08130081300813008,0.17690497137454697,0.18571705763456542
L15H5,15,0.07998117941923368,0.07607433217189315,0.34022556390977443,0.35504491696267915
L13H10,13,0.07516510202745239,0.07142857142857142,0.2535885167464115,0.27830751930894015
L9H5,9,0.07125675644120073,0.07142857142857142,0.16370558375634517,0.17587224058740678
MLP0,0,0.070702504015868,0.070267131242741,0.1588235294117647,0.16768045047754007
L3H14,3,0.06882527450898951,0.06968641114982578,0.03328265468006346,0.03765064592711329
