node,layer,node_type,structural_group,functional_group,functional_label,evidence,promote_strength,suppress_strength,causal_delta,direction_balance,semantic_hint,tools_block_tool_mass,tools_block_delta,tool_call_tags_tool_mass,tool_call_tags_delta,user_block_tool_mass,user_block_no_tool_mass,user_block_delta,prefix_16_delta
L16H8,16,head,no_tool_bias_backbone,tool_schema_readers,Tool-Schema Readers,"reads tools/tags (tools=0.29, tags=0.002)",0.2722229680523474,0.21365095521453178,0.05857201283781563,0.4802968660894324,no-tool-biased router,0.2850808650255203,-0.049888528883457184,0.0015174249419942498,0.0005120611749589443,0.3986193537712097,0.4448483884334564,0.046229034662246704,0.0028600674122571945
L17H2,17,head,no_tool_tail,tool_schema_readers,Tool-Schema Readers,"reads tools/tags (tools=0.15, tags=0.019)",0.25112684631828275,0.16666666666666666,0.08446017965161609,0.3073957164799224,no-tool-tail router,0.14697441458702087,-0.011665433645248413,0.019455361180007458,-0.007250557187944651,0.22008230537176132,0.2811799794435501,0.06109767407178879,0.029539398849010468
L17H8,17,head,symmetric_backbone,tool_schema_readers,Tool-Schema Readers,"reads tools/tags (tools=0.27, tags=0.012)",0.31846462093242905,0.20224719101123595,0.1162174299211931,0.04600517649482443,shared router,0.2688402235507965,-0.043210044503211975,0.012461131438612938,-0.004857432330027223,0.21386995166540146,0.2608598619699478,0.046989910304546356,0.04978751391172409
L21H1,21,head,tool_bias_backbone,tool_schema_readers,Tool-Schema Readers,"reads tools/tags (tools=0.11, tags=0.025)",0.5725263330775088,0.26336189310485514,0.30916443997265364,-0.2726236445038894,format/prefix router,0.10602998733520508,-0.023303978145122528,0.024856586940586567,-0.014656570740044117,0.2331445813179016,0.23784035444259644,0.004695773124694824,0.1714196503162384
L21H12,21,head,tool_bias_backbone,tool_schema_readers,Tool-Schema Readers,"reads tools/tags (tools=0.25, tags=0.015)",0.70693055307926,0.36799628718838906,0.33893426589087094,-0.07000213552471571,format/prefix router,0.24685949832201004,0.0629730150103569,0.014764437451958656,-0.006128645036369562,0.0488437432795763,0.11634472385048866,0.06750098057091236,0.08706449717283249
L23H5,23,head,tool_tail,tool_schema_readers,Tool-Schema Readers,"reads tools/tags (tools=0.13, tags=0.266)",0.22023848953892694,0.1057480515079634,0.11449043803096354,-0.9134172112125286,format/prefix router,0.13068795949220657,0.016236886382102966,0.2660200893878937,-0.14717356860637665,0.08274317160248756,0.16702431440353394,0.08428114280104637,0.057445138692855835
L2H14,2,head,tool_tail,user_query_readers,User-Query Readers,reads user content on tool endpoint (user=0.31),0.04155902684210011,0.006097560975609756,0.035461465866490356,-0.45399146183078065,tool-tail router,0.146259143948555,-0.008236631751060486,0.0032585719600319862,-0.0001632691128179431,0.3082466870546341,0.3546389192342758,0.046392232179641724,-0.00902143120765686
L15H5,15,head,no_tool_tail,suppression_readers,Suppression Readers,"reads user/prefix more in no-tool mode (d_user=+0.03, d_prefix=+0.00)",0.07207389815522432,0.03723404255319149,0.03483985560203283,0.3353967210040227,no-tool-tail router,0.041732508689165115,-0.00981927290558815,0.002647325163707137,-0.0005690733669325709,0.27840468287467957,0.30410660803318024,0.02570192515850067,0.004410833120346069
L16H13,16,head,no_tool_tail,suppression_readers,Suppression Readers,"reads user/prefix more in no-tool mode (d_user=+0.06, d_prefix=-0.01)",0.13530211745374351,0.1141428429620806,0.02115927449166291,0.495812757550507,no-tool-tail router,0.152025043964386,-0.019991084933280945,0.004282935289666057,0.0006586939562112093,0.20065420866012573,0.26241737604141235,0.06176316738128662,-0.007834423333406448
L16H4,16,head,no_tool_bias_backbone,suppression_readers,Suppression Readers,"reads user/prefix more in no-tool mode (d_user=+0.06, d_prefix=-0.00)",0.25883497612007134,0.19777256258234518,0.06106241353772615,0.3468724363847824,no-tool-biased router,0.02300445456057787,-0.0050024306401610374,0.00013958498311694711,-2.627428330015391e-06,0.45280537009239197,0.5107870697975159,0.0579816997051239,-0.0046168603003025055
