head,layer,set,n,tool_mass_median,no_tool_mass_median,delta_median_no_minus_tool,tool_mass_mean,no_tool_mass_mean
L2H14,2,contrast,1722,0.011012779548764229,0.016666284762322903,0.005653505213558674,0.014573190795216044,0.02051126059662858
L2H14,2,prefix_16,1722,0.14040859043598175,0.1313871592283249,-0.00902143120765686,0.1393121296148336,0.13226814516555002
L2H14,2,recent_32,1722,0.13571113348007202,0.12433570623397827,-0.01137542724609375,0.1254947447930825,0.11797802364853893
L2H14,2,tool_call_tags,1722,0.0032585719600319862,0.003095302847214043,-0.0001632691128179431,0.0032841999743714644,0.0031495676789666405
L2H14,2,tools_block,1722,0.146259143948555,0.1380225121974945,-0.008236631751060486,0.14594368819194942,0.14037800720015609
L2H14,2,user_block,1722,0.3082466870546341,0.3546389192342758,0.046392232179641724,0.315726921654606,0.34753365909873263
L15H5,15,contrast,1722,0.0019086442771367729,0.0021304378751665354,0.0002217935980297625,0.0027170349117742313,0.0024772139376024777
L15H5,15,prefix_16,1722,0.20045147836208344,0.2048623114824295,0.004410833120346069,0.20052876055206018,0.20927825495687236
L15H5,15,recent_32,1722,0.3980325311422348,0.39855825901031494,0.0005257278680801392,0.3988307288022545,0.39632031837268433
L15H5,15,tool_call_tags,1722,0.002647325163707137,0.002078251796774566,-0.0005690733669325709,0.002753484510055675,0.0021717583646840427
L15H5,15,tools_block,1722,0.041732508689165115,0.031913235783576965,-0.00981927290558815,0.04244061922989829,0.032531353170171154
L15H5,15,user_block,1722,0.27840468287467957,0.30410660803318024,0.02570192515850067,0.2801896233314975,0.3054005354815936
L16H13,16,contrast,1722,0.005313712637871504,0.00605927174910903,0.0007455591112375259,0.007453212783941388,0.007854864568321344
L16H13,16,prefix_16,1722,0.08288701623678207,0.07505259290337563,-0.007834423333406448,0.08449950436742394,0.07945865991284139
L16H13,16,recent_32,1722,0.24228806048631668,0.264954537153244,0.022666476666927338,0.2435123170450174,0.26540306161193483
L16H13,16,tool_call_tags,1722,0.004282935289666057,0.004941629245877266,0.0006586939562112093,0.004484116471702186,0.005137810382979049
L16H13,16,tools_block,1722,0.152025043964386,0.13203395903110504,-0.019991084933280945,0.1565435731980374,0.13219233925922683
L16H13,16,user_block,1722,0.20065420866012573,0.26241737604141235,0.06176316738128662,0.1971743120687487,0.2631065418617097
L16H4,16,contrast,1722,0.011251836083829403,0.006216304609552026,-0.005035531474277377,0.012820875979739573,0.0072949789605767585
L16H4,16,prefix_16,1722,0.12219544500112534,0.11757858470082283,-0.0046168603003025055,0.13110032937252564,0.12634975353253705
L16H4,16,recent_32,1722,0.6093259155750275,0.6114235520362854,0.0020976364612579346,0.5992125228272359,0.5953449290873143
L16H4,16,tool_call_tags,1722,0.00013958498311694711,0.00013695755478693172,-2.627428330015391e-06,0.0001530388787955549,0.00014212776257052095
L16H4,16,tools_block,1722,0.02300445456057787,0.018002023920416832,-0.0050024306401610374,0.023877854611503952,0.01879937848580285
L16H4,16,user_block,1722,0.45280537009239197,0.5107870697975159,0.0579816997051239,0.45549621568878074,0.5116223126615242
