node,group,group_label,semantic_hint,n_samples,promote_nec_drop_median,suppress_nec_drop_median,promote_nec_top1_drop_mean,suppress_nec_top1_drop_mean,promote_suff_ratio_median,suppress_suff_ratio_median,promote_suff_top1_rate,suppress_suff_top1_rate
MLP19,symmetric_backbone,Symmetric Backbone,shared writer MLP,1722,0.0001134068974645297,-0.0012577834332369586,0.0005807200929152149,0.0023228803716608595,0.537846956964604,0.376483731322441,0.044715447154471545,0.07200929152148665
MLP17,no_tool_bias_backbone,No-Tool-Bias Backbone,no-tool-biased writer MLP,1722,0.00016071327478001107,-0.001053558362256568,0.0005807200929152149,0.004645760743321719,0.5539392015799125,0.47361459203564465,0.09872241579558652,0.15331010452961671
MLP21,tool_tail,Tool Tail,tool-tail writer MLP,1722,2.0053426578126032e-05,-0.000857118143710256,0.0,0.0,0.4049187764624557,0.14285714285714285,0.0029036004645760743,0.009872241579558653
MLP27,symmetric_backbone,Symmetric Backbone,shared writer MLP,1722,8.430846989726515e-05,-0.0005943014585516049,0.006387921022067364,0.0,0.8089183087027915,0.8071708780431521,0.2886178861788618,0.5278745644599303
L23H6,tool_bias_backbone,Tool-Bias Backbone,tool-biased router,1722,2.1225085596932036e-05,-0.00034012070331457256,0.0011614401858304297,-0.0005807200929152149,0.5251597604597886,0.27993710691823903,0.026713124274099883,0.022067363530778164
L18H14,tool_tail,Tool Tail,format/prefix router,1722,1.3141365223401369e-05,-0.000306904445806111,0.0011614401858304297,0.0,0.26185366850602904,0.11707317073170732,0.0005807200929152149,0.010452961672473868
MLP16,symmetric_backbone,Symmetric Backbone,shared writer MLP,1722,4.457691156256605e-06,-0.00024936464215669085,0.0005807200929152149,0.006387921022067364,0.5244572441293753,0.4313445795088067,0.07897793263646923,0.10859465737514518
L20H5,symmetric_backbone,Symmetric Backbone,user-content reader,1722,1.4469622754198497e-05,-0.00022453391453508553,0.0017421602787456446,0.0011614401858304297,0.307643234704417,0.1936619718309859,0.005226480836236934,0.012195121951219513
L21H12,tool_bias_backbone,Tool-Bias Backbone,format/prefix router,1722,3.329190340906063e-05,-0.00019628334935073433,0.0005807200929152149,0.0,0.7068972611758509,0.36799628718838906,0.15911730545876887,0.06968641114982578
L17H2,no_tool_tail,No-Tool Tail,no-tool-tail router,1722,2.5143630543733586e-06,-0.00010295737393872795,0.0005807200929152149,0.0005807200929152149,0.2511243319552284,0.16666666666666666,0.0005807200929152149,0.012775842044134728
L16H8,no_tool_bias_backbone,No-Tool-Bias Backbone,no-tool-biased router,1722,7.458301252150079e-07,-0.00010154151250080234,0.0011614401858304297,0.0005807200929152149,0.2722222222222222,0.21365095521453178,0.0011614401858304297,0.028455284552845527
L16H4,no_tool_bias_backbone,No-Tool-Bias Backbone,no-tool-biased router,1722,6.10351562624345e-08,-8.585424025603361e-05,0.0005807200929152149,0.0023228803716608595,0.2588349150849151,0.19777256258234518,0.0017421602787456446,0.011614401858304297
MLP12,no_tool_bias_backbone,No-Tool-Bias Backbone,no-tool-biased writer MLP,1722,3.1864980939988463e-06,7.699586225656807e-05,0.0,0.0011614401858304297,0.25683386610103665,0.22692863190397927,0.024390243902439025,0.032520325203252036
L21H1,tool_bias_backbone,Tool-Bias Backbone,format/prefix router,1722,4.913248867421949e-06,-7.377841850120248e-05,0.0005807200929152149,-0.0005807200929152149,0.5725214198286414,0.26336189310485514,0.056329849012775844,0.03774680603948897
L16H13,no_tool_tail,No-Tool Tail,no-tool-tail router,1722,9.427986680243805e-08,-7.383023799500954e-05,0.0005807200929152149,0.0005807200929152149,0.1353020231738767,0.1141428429620806,0.0,0.008710801393728223
L15H5,no_tool_tail,No-Tool Tail,no-tool-tail router,1722,1.8260831522454168e-06,-6.250400025598069e-05,0.0005807200929152149,0.0011614401858304297,0.07207207207207207,0.03723404255319149,0.0,0.011033681765389082
L17H8,symmetric_backbone,Symmetric Backbone,shared router,1722,1.6849499123727796e-07,-6.307189963788984e-05,0.0,0.0017421602787456446,0.3184644524374378,0.20224719101123595,0.0005807200929152149,0.023228803716608595
MLP11,tool_bias_backbone,Tool-Bias Backbone,tool-biased writer MLP,1722,9.399805313503595e-06,-2.6721132999396602e-05,0.0023228803716608595,0.0040650406504065045,0.33122119815668205,0.15266007532956688,0.0272938443670151,0.02148664343786295
L13H9,symmetric_backbone,Symmetric Backbone,shared router,1722,1.719215032502941e-06,-1.804359131640787e-05,0.0005807200929152149,0.0,0.10456030897207368,0.07142857142857142,0.0,0.0023228803716608595
L2H14,tool_tail,Tool Tail,tool-tail router,1722,3.049077305083969e-07,-1.8168604651147557e-05,0.0005807200929152149,0.0,0.0415587219343696,0.006097560975609756,0.0,0.0011614401858304297
L23H5,tool_tail,Tool Tail,format/prefix router,1722,3.9430083170755026e-07,-1.6659675996621992e-05,0.0005807200929152149,-0.0011614401858304297,0.22023809523809523,0.1057480515079634,0.0,0.005226480836236934
L12H6,symmetric_backbone,Symmetric Backbone,shared router,1722,-4.464441591522927e-06,0.0,0.0,0.0017421602787456446,0.10768968392329266,0.041056071551427584,0.0,0.0029036004645760743
L24H6,symmetric_backbone,Symmetric Backbone,format/prefix router,1722,0.0,2.4626828897811315e-06,0.0005807200929152149,0.0023228803716608595,0.5741183767499557,0.4184990074820583,0.004645760743321719,0.09698025551684088
L16H9,no_tool_tail,No-Tool Tail,no-tool-tail router,1722,-5.242943513228404e-07,0.0,0.0005807200929152149,0.0,0.08868249569320649,0.06111111111111111,0.0,0.005226480836236934
