sample_id,variant,tool_endpoint_score,no_tool_endpoint_score,tool_top1_id,tool_top1_is_tool_call,tool_boundary_flip
apps_python_1,clean_full,0.0,-2.90625,151657,True,True
apps_python_1,corrupt_full,-3.453125,0.0,40,False,False
apps_python_1,clean_no_schema,-0.453125,-0.70703125,151657,True,True
apps_python_1,clean_schema_mismatch,-4.21875,-0.038330078125,40,False,False
apps_python_1,clean_no_protocol,-10.9375,-0.275390625,40,False,False
codecontests_cpp_1,clean_full,0.0,-6.1875,151657,True,True
codecontests_cpp_1,corrupt_full,-6.625,0.0,40,False,False
codecontests_cpp_1,clean_no_schema,-2.390625,-0.140625,40,False,False
codecontests_cpp_1,clean_schema_mismatch,-7.0625,-0.072265625,40,False,False
codecontests_cpp_1,clean_no_protocol,-14.25,-0.1552734375,40,False,False
codecontests_java_1,clean_full,0.0,-6.875,151657,True,True
codecontests_java_1,corrupt_full,-12.6875,0.0,40,False,False
codecontests_java_1,clean_no_schema,-10.25,-0.099609375,40,False,False
codecontests_java_1,clean_schema_mismatch,-13.375,-0.60546875,40,False,False
codecontests_java_1,clean_no_protocol,-10.1875,-0.33984375,40,False,False
mbpp_python_1,clean_full,0.0,-2.171875,151657,True,True
mbpp_python_1,corrupt_full,-3.1875,0.0,40,False,False
mbpp_python_1,clean_no_schema,-0.083984375,-1.296875,151657,True,True
mbpp_python_1,clean_schema_mismatch,-4.5625,-0.0791015625,40,False,False
mbpp_python_1,clean_no_protocol,-17.25,-0.58984375,40,False,False
codecontests_java_2,clean_full,0.0,-4.4375,151657,True,True
codecontests_java_2,corrupt_full,-6.75,0.0,40,False,False
codecontests_java_2,clean_no_schema,-4.5625,-0.2236328125,40,False,False
codecontests_java_2,clean_schema_mismatch,-2.359375,-0.166015625,40,False,False
codecontests_java_2,clean_no_protocol,-20.875,-0.1162109375,40,False,False
codecontests_cpp_3,clean_full,0.0,-3.03125,151657,True,True
codecontests_cpp_3,corrupt_full,-3.8125,0.0,40,False,False
codecontests_cpp_3,clean_no_schema,-5.78125,-0.05126953125,40,False,False
codecontests_cpp_3,clean_schema_mismatch,-7.6875,-0.1015625,40,False,False
codecontests_cpp_3,clean_no_protocol,-15.25,-0.32421875,40,False,False
codecontests_java_3,clean_full,0.0,-6.5625,151657,True,True
codecontests_java_3,corrupt_full,-9.25,0.0,40,False,False
codecontests_java_3,clean_no_schema,-11.75,-0.2138671875,40,False,False
codecontests_java_3,clean_schema_mismatch,-1.9609375,-0.4609375,40,False,False
codecontests_java_3,clean_no_protocol,-7.65625,-0.349609375,40,False,False
apps_python_4,clean_full,0.0,-4.875,151657,True,True
apps_python_4,corrupt_full,-4.15625,0.0,40,False,False
apps_python_4,clean_no_schema,-0.0234375,-3.578125,151657,True,True
apps_python_4,clean_schema_mismatch,-5.09375,-0.7421875,8420,False,False
apps_python_4,clean_no_protocol,-16.0,-1.1640625,8420,False,False
codecontests_cpp_4,clean_full,0.0,-1.703125,151657,True,True
codecontests_cpp_4,corrupt_full,-4.28125,0.0,40,False,False
codecontests_cpp_4,clean_no_schema,-2.015625,-0.1708984375,40,False,False
codecontests_cpp_4,clean_schema_mismatch,-6.375,-0.1396484375,40,False,False
codecontests_cpp_4,clean_no_protocol,-6.84375,-0.294921875,40,False,False
codecontests_java_4,clean_full,0.0,-5.65625,151657,True,True
codecontests_java_4,corrupt_full,-11.3125,0.0,40,False,False
codecontests_java_4,clean_no_schema,-5.78125,-0.3828125,785,False,False
codecontests_java_4,clean_schema_mismatch,-0.69140625,-0.79296875,151657,True,True
codecontests_java_4,clean_no_protocol,-12.6875,-1.5625,785,False,False
mbpp_python_4,clean_full,0.0,-2.03125,151657,True,True
mbpp_python_4,corrupt_full,-4.84375,0.0,40,False,False
mbpp_python_4,clean_no_schema,-0.236328125,-0.953125,151657,True,True
mbpp_python_4,clean_schema_mismatch,-5.09375,-0.5390625,40,False,False
mbpp_python_4,clean_no_protocol,-13.375,-1.265625,8420,False,False
apps_python_5,clean_full,0.0,-1.3671875,151657,True,True
apps_python_5,corrupt_full,-5.34375,0.0,40,False,False
apps_python_5,clean_no_schema,-1.5625,-0.19921875,40,False,False
apps_python_5,clean_schema_mismatch,-2.328125,-0.10009765625,40,False,False
apps_python_5,clean_no_protocol,-13.25,-0.1796875,40,False,False
codecontests_cpp_5,clean_full,0.0,-3.640625,151657,True,True
codecontests_cpp_5,corrupt_full,-4.625,0.0,40,False,False
codecontests_cpp_5,clean_no_schema,-5.375,-0.053955078125,40,False,False
codecontests_cpp_5,clean_schema_mismatch,-4.9375,-0.029052734375,40,False,False
codecontests_cpp_5,clean_no_protocol,-16.75,-0.2578125,40,False,False
codecontests_java_5,clean_full,0.0,-3.796875,151657,True,True
codecontests_java_5,corrupt_full,-8.0,0.0,40,False,False
codecontests_java_5,clean_no_schema,-7.40625,-0.16015625,40,False,False
codecontests_java_5,clean_schema_mismatch,-2.109375,-0.259765625,40,False,False
codecontests_java_5,clean_no_protocol,-18.25,-0.1337890625,40,False,False
codecontests_cpp_6,clean_full,0.0,-3.40625,151657,True,True
codecontests_cpp_6,corrupt_full,-2.9375,0.0,40,False,False
codecontests_cpp_6,clean_no_schema,-1.9296875,-0.10400390625,40,False,False
codecontests_cpp_6,clean_schema_mismatch,-6.46875,-0.259765625,40,False,False
codecontests_cpp_6,clean_no_protocol,-14.6875,-0.77734375,40,False,False
codecontests_java_6,clean_full,0.0,-3.375,151657,True,True
codecontests_java_6,corrupt_full,-9.625,0.0,40,False,False
codecontests_java_6,clean_no_schema,-5.28125,-0.162109375,40,False,False
codecontests_java_6,clean_schema_mismatch,-9.6875,-0.17578125,40,False,False
codecontests_java_6,clean_no_protocol,-19.5,-0.140625,40,False,False
codecontests_java_7,clean_full,0.0,-3.96875,151657,True,True
codecontests_java_7,corrupt_full,-6.375,0.0,40,False,False
codecontests_java_7,clean_no_schema,-5.125,-0.1015625,40,False,False
codecontests_java_7,clean_schema_mismatch,-10.875,-0.240234375,40,False,False
codecontests_java_7,clean_no_protocol,-11.9375,-0.474609375,40,False,False
apps_python_8,clean_full,0.0,-3.015625,151657,True,True
apps_python_8,corrupt_full,-3.265625,0.0,40,False,False
apps_python_8,clean_no_schema,-0.0849609375,-1.6640625,151657,True,True
apps_python_8,clean_schema_mismatch,-7.28125,-0.130859375,40,False,False
apps_python_8,clean_no_protocol,-12.9375,-1.953125,8420,False,False
apps_python_9,clean_full,0.0,-3.015625,151657,True,True
apps_python_9,corrupt_full,-3.296875,0.0,40,False,False
apps_python_9,clean_no_schema,-0.11572265625,-1.5,151657,True,True
apps_python_9,clean_schema_mismatch,-3.46875,-0.05224609375,40,False,False
apps_python_9,clean_no_protocol,-11.6875,-0.337890625,40,False,False
codecontests_cpp_9,clean_full,0.0,-3.3125,151657,True,True
codecontests_cpp_9,corrupt_full,-3.46875,0.0,40,False,False
codecontests_cpp_9,clean_no_schema,-3.890625,-0.1787109375,40,False,False
codecontests_cpp_9,clean_schema_mismatch,-12.25,-0.6953125,40,False,False
codecontests_cpp_9,clean_no_protocol,-16.0,-0.71484375,785,False,False
codecontests_java_9,clean_full,0.0,-4.4375,151657,True,True
codecontests_java_9,corrupt_full,-9.1875,0.0,40,False,False
codecontests_java_9,clean_no_schema,-5.75,-0.3828125,785,False,False
codecontests_java_9,clean_schema_mismatch,-10.875,-0.126953125,40,False,False
codecontests_java_9,clean_no_protocol,-19.0,-1.25,785,False,False
apps_python_10,clean_full,0.0,-2.78125,151657,True,True
apps_python_10,corrupt_full,-2.015625,0.0,40,False,False
apps_python_10,clean_no_schema,-0.93359375,-0.1748046875,40,False,False
apps_python_10,clean_schema_mismatch,-5.4375,-0.328125,40,False,False
apps_python_10,clean_no_protocol,-13.8125,-1.3046875,40,False,False
codecontests_cpp_11,clean_full,0.0,-3.375,151657,True,True
codecontests_cpp_11,corrupt_full,-2.703125,0.0,40,False,False
codecontests_cpp_11,clean_no_schema,-1.5,-0.1005859375,40,False,False
