node,layer,forward_support,reverse_support,shared_support_min,union_support_max,support_delta_reverse_minus_forward,direction_balance,forward_score_norm_median,reverse_score_norm_median
MLP16,16,1.0,1.0,1.0,1.0,0.0,0.0,0.9268094211559805,0.5648419680677745
L21H1,21,1.0,1.0,1.0,1.0,0.0,0.0,1.3145009818150772,0.14853168784620396
L23H6,23,1.0,1.0,1.0,1.0,0.0,0.0,0.9526380944249979,0.20170454545454547
L24H6,24,1.0,1.0,1.0,1.0,0.0,0.0,0.6700354307180056,0.2524437927663734
MLP27,27,1.0,1.0,1.0,1.0,0.0,0.0,0.7991147656450098,0.6576857282502444
L12H0,12,0.5637391725936897,1.0,0.5637391725936897,1.0,0.43626082740631034,0.27898567424304405,0.19117647058823528,0.08352170902574128
L16H8,16,0.5637391725936897,1.0,0.5637391725936897,1.0,0.43626082740631034,0.27898567424304405,0.7601809954751131,0.26239206581948515
MLP17,17,0.5637391725936897,1.0,0.5637391725936897,1.0,0.43626082740631034,0.27898567424304405,0.9462669683257918,0.5308528836754642
MLP10,10,0.5637391725936897,0.519801535236432,0.519801535236432,0.5637391725936897,-0.04393763735725764,-0.04055005690118125,0.45248868778280543,0.11827956989247312
L11H5,11,0.5637391725936897,0.519801535236432,0.519801535236432,0.5637391725936897,-0.04393763735725764,-0.04055005690118125,0.34615384615384615,0.1774193548387097
L18H14,18,0.5637391725936897,0.519801535236432,0.519801535236432,0.5637391725936897,-0.04393763735725764,-0.04055005690118125,0.751131221719457,0.28763440860215056
MLP18,18,0.5637391725936897,0.519801535236432,0.519801535236432,0.5637391725936897,-0.04393763735725764,-0.04055005690118125,0.8506787330316742,0.3951612903225806
L21H12,21,1.0,0.48019846476356787,0.48019846476356787,1.0,-0.5198015352364321,-0.35117016238728505,1.061833006061641,0.14962121212121213
L13H9,13,0.43626082740631034,0.48019846476356787,0.43626082740631034,0.48019846476356787,0.04393763735725753,0.04794281397183225,0.23231132075471697,0.07828282828282829
MLP13,13,0.43626082740631034,0.48019846476356787,0.43626082740631034,0.48019846476356787,0.04393763735725753,0.04794281397183225,0.6132075471698113,0.12626262626262627
MLP19,19,0.43626082740631034,0.48019846476356787,0.43626082740631034,0.48019846476356787,0.04393763735725753,0.04794281397183225,0.7877358490566038,0.23232323232323232
L20H5,20,0.43626082740631034,0.48019846476356787,0.43626082740631034,0.48019846476356787,0.04393763735725753,0.04794281397183225,0.5188679245283019,0.09406565656565656
L5H5,5,1.0,0.0,0.0,1.0,-1.0,-1.0,0.03840017501920943,nan
L2H14,2,0.5637391725936897,0.0,0.0,0.5637391725936897,-0.5637391725936897,-1.0,0.07748868778280543,nan
MLP6,6,0.5637391725936897,0.0,0.0,0.5637391725936897,-0.5637391725936897,-1.0,0.3257918552036199,nan
MLP5,5,0.0,0.519801535236432,0.0,0.519801535236432,0.519801535236432,1.0,nan,0.043010752688172046
L15H5,15,0.0,0.519801535236432,0.0,0.519801535236432,0.519801535236432,1.0,nan,0.2768817204301075
L17H8,17,0.0,0.519801535236432,0.0,0.519801535236432,0.519801535236432,1.0,nan,0.1814516129032258
L20H14,20,0.0,0.519801535236432,0.0,0.519801535236432,0.519801535236432,1.0,nan,0.23655913978494625
MLP4,4,0.0,0.48019846476356787,0.0,0.48019846476356787,0.48019846476356787,1.0,nan,0.04040404040404041
L16H4,16,0.0,0.48019846476356787,0.0,0.48019846476356787,0.48019846476356787,1.0,nan,0.09595959595959595
L17H12,17,0.0,0.48019846476356787,0.0,0.48019846476356787,0.48019846476356787,1.0,nan,0.0946969696969697
MLP1,1,0.43626082740631034,0.0,0.0,0.43626082740631034,-0.43626082740631034,-1.0,0.2830188679245283,nan
L4H4,4,0.43626082740631034,0.0,0.0,0.43626082740631034,-0.43626082740631034,-1.0,0.03744103773584906,nan
L12H6,12,0.43626082740631034,0.0,0.0,0.43626082740631034,-0.43626082740631034,-1.0,0.16863207547169812,nan
L16H9,16,0.43626082740631034,0.0,0.0,0.43626082740631034,-0.43626082740631034,-1.0,0.4410377358490566,nan
MLP21,21,0.43626082740631034,0.0,0.0,0.43626082740631034,-0.43626082740631034,-1.0,0.7570754716981132,nan
