sample_id,edge,source,target,sign,promote_source_ratio,promote_blocked_ratio,promote_mediated_ratio,suppress_source_ratio,suppress_blocked_ratio,suppress_mediated_ratio
apps_python_1,L21H1->MLP27,L21H1,MLP27,shared,0.6266968325791855,0.33031674208144796,0.29638009049773756,0.3763440860215054,0.23118279569892472,0.14516129032258066
apps_python_1,L16H8->MLP17,L16H8,MLP17,no_tool_bias,0.6538461538461539,0.45701357466063347,0.19683257918552038,0.34946236559139787,0.3118279569892473,0.03763440860215056
apps_python_1,MLP16->MLP17,MLP16,MLP17,no_tool_bias,0.9680429864253394,0.6289592760180995,0.33908371040723984,0.8689516129032258,0.5134408602150538,0.355510752688172
apps_python_1,L21H1->L23H6,L21H1,L23H6,tool_bias,0.6266968325791855,0.5158371040723982,0.11085972850678727,0.3763440860215054,0.23118279569892472,0.14516129032258066
apps_python_1,L21H1->L24H6,L21H1,L24H6,tool_bias,0.6266968325791855,0.45248868778280543,0.17420814479638008,0.3763440860215054,0.34139784946236557,0.03494623655913981
apps_python_1,L21H12->L23H6,L21H12,L23H6,tool_bias,0.45701357466063347,0.33031674208144796,0.12669683257918551,0.1935483870967742,0.08064516129032258,0.11290322580645161
apps_python_1,L24H6->MLP27,L24H6,MLP27,no_tool_bias,0.5475113122171946,0.23529411764705882,0.3122171945701358,0.45161290322580644,0.16129032258064516,0.29032258064516125
apps_python_1,MLP16->L21H1,MLP16,L21H1,no_tool_bias,0.9680429864253394,0.8789592760180995,0.08908371040723984,0.8689516129032258,0.7190860215053764,0.14986559139784938
apps_python_1,MLP16->L23H6,MLP16,L23H6,no_tool_bias,0.9680429864253394,0.9066742081447964,0.06136877828054299,0.8689516129032258,0.7419354838709677,0.127016129032258
apps_python_1,MLP16->L24H6,MLP16,L24H6,no_tool_bias,0.9680429864253394,0.8619909502262444,0.10605203619909498,0.8689516129032258,0.7849462365591398,0.084005376344086
codecontests_cpp_1,L21H1->MLP27,L21H1,MLP27,shared,0.8443396226415094,0.4528301886792453,0.3915094339622641,0.15151515151515152,0.08585858585858586,0.06565656565656566
codecontests_cpp_1,L16H8->MLP17,L16H8,MLP17,no_tool_bias,0.20754716981132076,0.22641509433962265,-0.018867924528301883,0.08585858585858586,0.06565656565656566,0.020202020202020193
codecontests_cpp_1,MLP16->MLP17,MLP16,MLP17,no_tool_bias,0.7794811320754716,0.6533018867924528,0.12617924528301883,0.29292929292929293,0.21212121212121213,0.0808080808080808
codecontests_cpp_1,L21H1->L23H6,L21H1,L23H6,tool_bias,0.8443396226415094,0.7169811320754716,0.12735849056603776,0.15151515151515152,0.1111111111111111,0.040404040404040414
codecontests_cpp_1,L21H1->L24H6,L21H1,L24H6,tool_bias,0.8443396226415094,0.6179245283018868,0.2264150943396226,0.15151515151515152,0.14646464646464646,0.005050505050505055
codecontests_cpp_1,L21H12->L23H6,L21H12,L23H6,tool_bias,0.8466981132075472,0.7028301886792453,0.14386792452830188,0.15151515151515152,0.1111111111111111,0.040404040404040414
codecontests_cpp_1,L24H6->MLP27,L24H6,MLP27,no_tool_bias,0.5778301886792453,0.2783018867924528,0.29952830188679247,0.20707070707070707,0.06565656565656566,0.1414141414141414
codecontests_cpp_1,MLP16->L21H1,MLP16,L21H1,no_tool_bias,0.7794811320754716,0.6367924528301887,0.14268867924528295,0.29292929292929293,0.20707070707070707,0.08585858585858586
codecontests_cpp_1,MLP16->L23H6,MLP16,L23H6,no_tool_bias,0.7794811320754716,0.6698113207547169,0.1096698113207547,0.29292929292929293,0.23232323232323232,0.06060606060606061
codecontests_cpp_1,MLP16->L24H6,MLP16,L24H6,no_tool_bias,0.7794811320754716,0.6014150943396226,0.17806603773584906,0.29292929292929293,0.2878787878787879,0.0050505050505050275
