edge,source,target,sign,n_samples,promote_source_ratio_median,promote_blocked_ratio_median,promote_mediated_ratio_median,suppress_source_ratio_median,suppress_blocked_ratio_median,suppress_mediated_ratio_median
L24H6->MLP27,L24H6,MLP27,no_tool_bias,2,0.56267075044822,0.2567980022197558,0.3058727482284641,0.3293418051482567,0.11347344411860541,0.21586836102965135
MLP16->MLP17,MLP16,MLP17,no_tool_bias,2,0.8737620592504055,0.6411305814052761,0.23263147784512933,0.5809404529162594,0.36278103616813295,0.2181594167481264
L21H1->MLP27,L21H1,MLP27,shared,2,0.7355182276103475,0.39157346538034665,0.3439447622300008,0.26392961876832843,0.1585206907787553,0.10540892798957316
MLP16->L21H1,MLP16,L21H1,no_tool_bias,2,0.8737620592504055,0.7578758644241441,0.11588619482626139,0.5809404529162594,0.4630783642880417,0.11786208862821762
L21H1->L24H6,L21H1,L24H6,tool_bias,2,0.7355182276103475,0.5352066080423461,0.20031161956800134,0.26392961876832843,0.24393124796350601,0.019998370804822432
L21H12->L23H6,L21H12,L23H6,tool_bias,2,0.6518558439340904,0.5165734653803467,0.1352823785537437,0.17253176930596287,0.09587813620071683,0.076653633105246
L21H1->L23H6,L21H1,L23H6,tool_bias,2,0.7355182276103475,0.616409118073935,0.11910910953641252,0.26392961876832843,0.1711469534050179,0.09278266536331053
MLP16->L24H6,MLP16,L24H6,no_tool_bias,2,0.8737620592504055,0.7317030222829335,0.14205903696747202,0.5809404529162594,0.5364125122189638,0.044527940697295515
MLP16->L23H6,MLP16,L23H6,no_tool_bias,2,0.8737620592504055,0.7882427644497567,0.08551929480064885,0.5809404529162594,0.4871293580971,0.09381109481915931
L16H8->MLP17,L16H8,MLP17,no_tool_bias,2,0.43069666182873734,0.34171433450012806,0.08898232732860925,0.21766047572499186,0.1887422613229065,0.028918214402085377
