source,target,source_group,target_group,forward_support,reverse_support,shared_support_min,union_support_max,direction_balance,sign
L21H1,MLP27,symmetric_backbone,symmetric_backbone,1.0,1.0,1.0,1.0,0.0,shared
L23H6,Residual Output: decision,symmetric_backbone,output,1.0,1.0,1.0,1.0,0.0,shared
L24H6,Residual Output: decision,symmetric_backbone,output,1.0,1.0,1.0,1.0,0.0,shared
MLP27,Residual Output: decision,symmetric_backbone,output,1.0,1.0,1.0,1.0,0.0,shared
L16H8,MLP17,no_tool_bias_backbone,no_tool_bias_backbone,0.5637391725936897,1.0,0.5637391725936897,1.0,0.27898567424304405,no_tool_bias
MLP16,MLP17,symmetric_backbone,no_tool_bias_backbone,0.5637391725936897,1.0,0.5637391725936897,1.0,0.27898567424304405,no_tool_bias
L11H5,L12H0,symmetric_backbone,no_tool_bias_backbone,0.5637391725936897,0.519801535236432,0.519801535236432,0.5637391725936897,-0.04055005690118125,shared
L11H5,MLP16,symmetric_backbone,symmetric_backbone,0.5637391725936897,0.519801535236432,0.519801535236432,0.5637391725936897,-0.04055005690118125,shared
L12H0,MLP16,no_tool_bias_backbone,symmetric_backbone,0.5637391725936897,0.519801535236432,0.519801535236432,0.5637391725936897,-0.04055005690118125,shared
MLP10,L11H5,symmetric_backbone,symmetric_backbone,0.5637391725936897,0.519801535236432,0.519801535236432,0.5637391725936897,-0.04055005690118125,shared
MLP10,L12H0,symmetric_backbone,no_tool_bias_backbone,0.5637391725936897,0.519801535236432,0.519801535236432,0.5637391725936897,-0.04055005690118125,shared
MLP10,L16H8,symmetric_backbone,no_tool_bias_backbone,0.5637391725936897,0.519801535236432,0.519801535236432,0.5637391725936897,-0.04055005690118125,shared
MLP16,L18H14,symmetric_backbone,symmetric_backbone,0.5637391725936897,0.519801535236432,0.519801535236432,0.5637391725936897,-0.04055005690118125,shared
MLP16,MLP18,symmetric_backbone,symmetric_backbone,0.5637391725936897,0.519801535236432,0.519801535236432,0.5637391725936897,-0.04055005690118125,shared
MLP17,L18H14,no_tool_bias_backbone,symmetric_backbone,0.5637391725936897,0.519801535236432,0.519801535236432,0.5637391725936897,-0.04055005690118125,shared
MLP17,L21H1,no_tool_bias_backbone,symmetric_backbone,0.5637391725936897,0.519801535236432,0.519801535236432,0.5637391725936897,-0.04055005690118125,shared
MLP17,MLP18,no_tool_bias_backbone,symmetric_backbone,0.5637391725936897,0.519801535236432,0.519801535236432,0.5637391725936897,-0.04055005690118125,shared
L23H6,L24H6,symmetric_backbone,symmetric_backbone,0.5637391725936897,0.48019846476356787,0.48019846476356787,0.5637391725936897,-0.08002461530327257,tool_bias
L23H6,MLP27,symmetric_backbone,symmetric_backbone,0.5637391725936897,0.48019846476356787,0.48019846476356787,0.5637391725936897,-0.08002461530327257,tool_bias
L13H9,MLP16,symmetric_backbone,symmetric_backbone,0.43626082740631034,0.48019846476356787,0.43626082740631034,0.48019846476356787,0.04794281397183225,shared
L21H12,MLP27,tool_bias_backbone,symmetric_backbone,0.43626082740631034,0.48019846476356787,0.43626082740631034,0.48019846476356787,0.04794281397183225,shared
MLP13,MLP16,symmetric_backbone,symmetric_backbone,0.43626082740631034,0.48019846476356787,0.43626082740631034,0.48019846476356787,0.04794281397183225,shared
