source,target,support_weighted,support_unweighted
MLP27,Residual Output: <tool_call>,1.0,1.0
L24H6,Residual Output: <tool_call>,1.0,1.0
L21H1,L24H6,1.0,1.0
L21H1,L23H6,1.0,1.0
L21H12,L23H6,1.0,1.0
L21H1,MLP27,1.0,1.0
L23H6,Residual Output: <tool_call>,1.0,1.0
L16H8,MLP17,0.5637391725936897,0.5
Input Embed,L2H14,0.5637391725936897,0.5
MLP17,MLP18,0.5637391725936897,0.5
MLP16,L18H14,0.5637391725936897,0.5
MLP6,L11H5,0.5637391725936897,0.5
MLP10,L12H0,0.5637391725936897,0.5
MLP10,MLP16,0.5637391725936897,0.5
MLP6,MLP10,0.5637391725936897,0.5
MLP10,L16H8,0.5637391725936897,0.5
L2H14,MLP10,0.5637391725936897,0.5
MLP18,L21H12,0.5637391725936897,0.5
MLP18,L21H1,0.5637391725936897,0.5
L2H14,L5H5,0.5637391725936897,0.5
MLP16,MLP17,0.5637391725936897,0.5
L11H5,L12H0,0.5637391725936897,0.5
L11H5,MLP16,0.5637391725936897,0.5
L11H5,L16H8,0.5637391725936897,0.5
Input Embed,L5H5,0.5637391725936897,0.5
L5H5,MLP6,0.5637391725936897,0.5
MLP16,MLP18,0.5637391725936897,0.5
MLP17,L21H12,0.5637391725936897,0.5
L18H14,L21H1,0.5637391725936897,0.5
L23H6,L24H6,0.5637391725936897,0.5
MLP17,L21H1,0.5637391725936897,0.5
MLP10,L11H5,0.5637391725936897,0.5
L2H14,MLP6,0.5637391725936897,0.5
MLP17,L18H14,0.5637391725936897,0.5
L23H6,MLP27,0.5637391725936897,0.5
L12H0,MLP16,0.5637391725936897,0.5
L13H9,MLP16,0.43626082740631034,0.5
MLP21,L23H6,0.43626082740631034,0.5
MLP19,L20H5,0.43626082740631034,0.5
L5H5,L21H1,0.43626082740631034,0.5
MLP16,L20H5,0.43626082740631034,0.5
L20H5,MLP21,0.43626082740631034,0.5
Input Embed,L4H4,0.43626082740631034,0.5
MLP19,MLP21,0.43626082740631034,0.5
Input Embed,MLP1,0.43626082740631034,0.5
MLP16,MLP19,0.43626082740631034,0.5
MLP1,MLP13,0.43626082740631034,0.5
L21H12,L24H6,0.43626082740631034,0.5
MLP13,L16H9,0.43626082740631034,0.5
L20H5,L21H12,0.43626082740631034,0.5
L4H4,L5H5,0.43626082740631034,0.5
MLP1,L4H4,0.43626082740631034,0.5
L20H5,L21H1,0.43626082740631034,0.5
MLP1,L13H9,0.43626082740631034,0.5
MLP19,L21H12,0.43626082740631034,0.5
L4H4,L12H6,0.43626082740631034,0.5
L12H6,MLP13,0.43626082740631034,0.5
MLP19,L21H1,0.43626082740631034,0.5
L13H9,L16H9,0.43626082740631034,0.5
MLP1,L5H5,0.43626082740631034,0.5
MLP13,MLP16,0.43626082740631034,0.5
MLP1,L12H6,0.43626082740631034,0.5
L21H12,MLP27,0.43626082740631034,0.5
L12H6,L13H9,0.43626082740631034,0.5
L16H9,MLP19,0.43626082740631034,0.5
